#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0720500.1-p1   -            846 3825at5820           -            620         0 1151.6  53.8   1   2   2.9e-98   1.9e-95  319.1  12.2     1   182     1   196     1   208 0.93 | transcript=PVP01_0720500.1 | gene=PVP01_0720500 | organism=Plasmodium_vivax_P01 | gene_product=dynein intermediate chain, putative | transcript_product=dynein intermediate chain, putative | location=PvP01_07_v2:886504-890140(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0720500.1-p1   -            846 3825at5820           -            620         0 1151.6  53.8   2   2  1.7e-255  1.1e-252  838.4  33.7   188   620   389   846   359   846 0.96 | transcript=PVP01_0720500.1 | gene=PVP01_0720500 | organism=Plasmodium_vivax_P01 | gene_product=dynein intermediate chain, putative | transcript_product=dynein intermediate chain, putative | location=PvP01_07_v2:886504-890140(+) | protein_length=846 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1431200.1-p1   -           1226 3825at5820           -            620   4.4e-17   60.2  47.3   1   5        10   6.5e+03  -26.7  30.9    70   150   229   309   155   439 0.47 | transcript=PVP01_1431200.1 | gene=PVP01_1431200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:1362318-1367456(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1431200.1-p1   -           1226 3825at5820           -            620   4.4e-17   60.2  47.3   2   5      0.46     3e+02   -2.0   4.2   188   242   577   637   549   657 0.63 | transcript=PVP01_1431200.1 | gene=PVP01_1431200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:1362318-1367456(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1431200.1-p1   -           1226 3825at5820           -            620   4.4e-17   60.2  47.3   3   5   8.7e-08   5.7e-05   20.2  29.6   172   414   620   897   575   908 0.72 | transcript=PVP01_1431200.1 | gene=PVP01_1431200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:1362318-1367456(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1431200.1-p1   -           1226 3825at5820           -            620   4.4e-17   60.2  47.3   4   5      0.12        80   -0.1   0.3   241   308   889   955   881   963 0.67 | transcript=PVP01_1431200.1 | gene=PVP01_1431200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:1362318-1367456(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1431200.1-p1   -           1226 3825at5820           -            620   4.4e-17   60.2  47.3   5   5     2e-18   1.3e-15   55.4   9.7   440   602  1041  1207  1012  1218 0.79 | transcript=PVP01_1431200.1 | gene=PVP01_1431200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_14_v2:1362318-1367456(+) | protein_length=1226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 3825at5820           -            620   1.1e-06   25.9   2.0   1   3       1.5   9.7e+02   -3.6   2.6     6    24    15    33    12    59 0.85 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 3825at5820           -            620   1.1e-06   25.9   2.0   2   3       1.9   1.3e+03   -4.0   2.6   209   231    96   118    40   153 0.53 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455700.1-p1   -            511 3825at5820           -            620   1.1e-06   25.9   2.0   3   3   1.7e-09   1.1e-06   25.9   2.0   428   589   286   452   270   458 0.72 | transcript=PVP01_1455700.1 | gene=PVP01_1455700 | organism=Plasmodium_vivax_P01 | gene_product=periodic tryptophan protein 1, putative | transcript_product=periodic tryptophan protein 1, putative | location=PvP01_14_v2:2421554-2423408(+) | protein_length=511 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439900.1-p1   -            430 3825at5820           -            620   5.8e-06   23.5   2.3   1   1   1.4e-08   8.8e-06   22.9   1.7   429   512   290   373   277   418 0.74 | transcript=PVP01_1439900.1 | gene=PVP01_1439900 | organism=Plasmodium_vivax_P01 | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=PvP01_14_v2:1702773-1704065(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 3825at5820           -            620   1.1e-05   22.6   7.5   1   3   4.1e-06    0.0027   14.7   0.9   392   554    33   196    28   207 0.79 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 3825at5820           -            620   1.1e-05   22.6   7.5   2   3       0.1        68    0.2   0.1   472   512   239   276   230   292 0.72 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 3825at5820           -            620   1.1e-05   22.6   7.5   3   3   0.00014     0.091    9.6   0.1   340   368   292   320   289   322 0.94 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618600.1-p1   -            700 3825at5820           -            620   2.8e-05   21.3   3.2   1   2   2.4e-07   0.00015   18.8   0.4   470   513   183   226   145   262 0.80 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618600.1-p1   -            700 3825at5820           -            620   2.8e-05   21.3   3.2   2   2     0.029        19    2.0   0.6   433   507   248   329   234   342 0.67 | transcript=PVP01_0618600.1 | gene=PVP01_0618600 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 70, putative | transcript_product=WD repeat-containing protein 70, putative | location=PvP01_06_v2:764153-766255(+) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316200.1-p1   -            509 3825at5820           -            620   3.2e-05   21.1   4.6   1   3      0.28   1.8e+02   -1.2   2.6   321   372   122   173   105   226 0.70 | transcript=PVP01_1316200.1 | gene=PVP01_1316200 | organism=Plasmodium_vivax_P01 | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=PvP01_13_v2:766781-768818(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316200.1-p1   -            509 3825at5820           -            620   3.2e-05   21.1   4.6   2   3   4.9e-08   3.2e-05   21.1   4.6   408   506   328   436   326   441 0.74 | transcript=PVP01_1316200.1 | gene=PVP01_1316200 | organism=Plasmodium_vivax_P01 | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=PvP01_13_v2:766781-768818(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316200.1-p1   -            509 3825at5820           -            620   3.2e-05   21.1   4.6   3   3      0.75   4.9e+02   -2.7   0.1   473   508   460   495   453   496 0.71 | transcript=PVP01_1316200.1 | gene=PVP01_1316200 | organism=Plasmodium_vivax_P01 | gene_product=histone-binding protein RBBP7, putative | transcript_product=histone-binding protein RBBP7, putative | location=PvP01_13_v2:766781-768818(-) | protein_length=509 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444900.1-p1   -            638 3825at5820           -            620   0.00016   18.7   1.5   1   3       8.9   5.8e+03   -6.2   2.9   159   233   110   182   107   197 0.44 | transcript=PVP01_1444900.1 | gene=PVP01_1444900 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=PvP01_14_v2:1943799-1945715(+) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444900.1-p1   -            638 3825at5820           -            620   0.00016   18.7   1.5   2   3   7.7e-05      0.05   10.5   8.8   394   515   381   500   366   510 0.79 | transcript=PVP01_1444900.1 | gene=PVP01_1444900 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=PvP01_14_v2:1943799-1945715(+) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444900.1-p1   -            638 3825at5820           -            620   0.00016   18.7   1.5   3   3   2.5e-07   0.00016   18.7   1.5   442   507   511   576   504   587 0.87 | transcript=PVP01_1444900.1 | gene=PVP01_1444900 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=PvP01_14_v2:1943799-1945715(+) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 3825at5820           -            620   0.00047   17.2   1.1   1   3       0.2   1.3e+02   -0.8   0.0   429   458   205   234   169   247 0.81 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 3825at5820           -            620   0.00047   17.2   1.1   2   3   9.8e-06    0.0064   13.5   0.2   465   550   318   405   313   410 0.81 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 3825at5820           -            620   0.00047   17.2   1.1   3   3      0.13        83   -0.1   0.1   286   311   426   450   417   454 0.73 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 3825at5820           -            620    0.0011   16.0  12.8   1   4       1.6     1e+03   -3.8   0.6   558   606   107   155    99   159 0.74 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 3825at5820           -            620    0.0011   16.0  12.8   2   4      0.16   1.1e+02   -0.5   0.0   354   371   281   298   270   309 0.76 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 3825at5820           -            620    0.0011   16.0  12.8   3   4   1.8e-05     0.012   12.6   0.3   427   513   336   427   305   429 0.80 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 3825at5820           -            620    0.0011   16.0  12.8   4   4   2.5e-05     0.016   12.1   0.2   471   552   427   508   422   530 0.69 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3825at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3825at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3825at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:52 2026
# [ok]
