#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9479931.1         -           1336 3881at5820           -            856         0 1346.1 102.7   1   4  3.8e-116  3.8e-113  377.5   9.7     1   169    21   189    21   194 0.99 | transcript=PVW1_050031000_t1 | gene=PVW1_050031000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1076178-1080546(+) | protein_length=1336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479931.1         -           1336 3881at5820           -            856         0 1346.1 102.7   2   4   5.1e-26   5.1e-23   79.3  14.9   169   337   219   393   208   403 0.56 | transcript=PVW1_050031000_t1 | gene=PVW1_050031000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1076178-1080546(+) | protein_length=1336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479931.1         -           1336 3881at5820           -            856         0 1346.1 102.7   3   4   1.5e-24   1.5e-21   74.5  19.1   221   378   367   539   349   570 0.67 | transcript=PVW1_050031000_t1 | gene=PVW1_050031000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1076178-1080546(+) | protein_length=1336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479931.1         -           1336 3881at5820           -            856         0 1346.1 102.7   4   4  3.3e-252  3.3e-249  827.6  45.9   383   856   684  1336   658  1336 0.90 | transcript=PVW1_050031000_t1 | gene=PVW1_050031000 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000010:1076178-1080546(+) | protein_length=1336 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9475609.1         -            243 3881at5820           -            856       0.1    8.9  26.5   1   1   0.00012      0.12    8.6  26.5   242   382    67   208    34   234 0.53 | transcript=PVW1_130020900_t1 | gene=PVW1_130020900 | organism=Plasmodium_vivax_PvW1 | gene_product=Clathrin light chain [Source:UniProtKB/TrEMBL;Acc:A0A1G4H357] | transcript_product=Clathrin light chain [Source:UniProtKB/TrEMBL;Acc:A0A1G4H357] | location=CAJZCX010000006:722208-722939(-) | protein_length=243 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9480655.1         -             99 3881at5820           -            856      0.14    8.4  19.4   1   1   0.00013      0.13    8.6  19.4   487   543     5    59     1    96 0.43 | transcript=PVW1_070032900_t1 | gene=PVW1_070032900 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000011:1214216-1214722(+) | protein_length=99 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9474932.1         -            155 3881at5820           -            856      0.98    5.6  21.2   1   1    0.0011       1.1    5.5  21.2   480   543    61   134    31   150 0.45 | transcript=PVW1_100041400_t1 | gene=PVW1_100041400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000005:1681178-1681961(-) | protein_length=155 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478828.1         -            381 3881at5820           -            856       1.4    5.1  20.3   1   1    0.0019       1.9    4.7  20.3   204   355    79   233    51   261 0.54 | transcript=PVW1_080015800_t1 | gene=PVW1_080015800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000009:517891-519976(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9472403.1         -            133 3881at5820           -            856       1.8    4.7  13.3   1   1     0.002         2    4.6  13.3   482   534    68   120    29   132 0.49 | transcript=PVW1_140057800_t1 | gene=PVW1_140057800 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000003:2299791-2300192(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3881at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3881at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3881at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:12 2026
# [ok]
