#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74930.1           -            351 8708at5820           -            293  3.5e-185  612.6   5.3   1   1  7.6e-188  4.3e-185  612.3   5.3     9   293    64   350    47   350 0.98 FeS assembly ATPase SufC, putative [Plasmodium vivax]
SCO73121.1           -           1464 8708at5820           -            293   1.9e-15   55.4   5.7   1   4   7.4e-05     0.042   11.6   0.1    56   107   393   442   344   487 0.78 multidrug resistance protein 1, putative [Plasmodium vivax]
SCO73121.1           -           1464 8708at5820           -            293   1.9e-15   55.4   5.7   2   4   5.4e-08   3.1e-05   21.9   0.1   191   250   579   639   538   664 0.82 multidrug resistance protein 1, putative [Plasmodium vivax]
SCO73121.1           -           1464 8708at5820           -            293   1.9e-15   55.4   5.7   3   4     0.091        52    1.5   0.0    63    94  1181  1212  1138  1230 0.71 multidrug resistance protein 1, putative [Plasmodium vivax]
SCO73121.1           -           1464 8708at5820           -            293   1.9e-15   55.4   5.7   4   4   2.9e-07   0.00016   19.5   0.0   189   247  1354  1412  1335  1432 0.84 multidrug resistance protein 1, putative [Plasmodium vivax]
SCO74436.1           -           1559 8708at5820           -            293   1.1e-10   39.8   0.2   1   1   4.2e-13   2.4e-10   38.7   0.2    63   282   705   913   700   920 0.82 multidrug resistance protein 2, putative [Plasmodium vivax]
SCO74817.1           -            695 8708at5820           -            293   1.9e-10   39.0   0.4   1   1   5.2e-13     3e-10   38.4   0.4    58   248    48   231    29   269 0.84 ABC transporter G family member 2, putative [Plasmodium vivax]
SCO72703.1           -            792 8708at5820           -            293   4.5e-10   37.8  13.4   1   4   0.00011     0.061   11.1   0.1    58    95   192   229   162   251 0.80 protein GCN20, putative [Plasmodium vivax]
SCO72703.1           -            792 8708at5820           -            293   4.5e-10   37.8  13.4   2   4     1e-05    0.0057   14.5   0.7   178   284   351   453   337   461 0.86 protein GCN20, putative [Plasmodium vivax]
SCO72703.1           -            792 8708at5820           -            293   4.5e-10   37.8  13.4   3   4    0.0016      0.93    7.2   0.0    65    94   593   622   587   637 0.87 protein GCN20, putative [Plasmodium vivax]
SCO72703.1           -            792 8708at5820           -            293   4.5e-10   37.8  13.4   4   4   0.00012     0.068   10.9   0.9   174   275   680   777   650   785 0.82 protein GCN20, putative [Plasmodium vivax]
SCO73404.1           -            619 8708at5820           -            293     2e-09   35.7   3.2   1   4     0.093        53    1.4   0.0    73    96   116   139   107   146 0.88 ABC transporter E family member 1, putative [Plasmodium vivax]
SCO73404.1           -            619 8708at5820           -            293     2e-09   35.7   3.2   2   4   2.9e-05     0.017   12.9   0.1   182   258   222   298   205   315 0.88 ABC transporter E family member 1, putative [Plasmodium vivax]
SCO73404.1           -            619 8708at5820           -            293     2e-09   35.7   3.2   3   4   0.00057      0.32    8.7   0.0    61    96   371   411   349   419 0.73 ABC transporter E family member 1, putative [Plasmodium vivax]
