#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74943.1           -            798 5178at5820           -            464  1.1e-183  609.6  87.7   1   5   3.7e-22   2.3e-19   67.8   6.0     2    51    11    60    10    73 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74943.1           -            798 5178at5820           -            464  1.1e-183  609.6  87.7   2   5  2.4e-101   1.5e-98  328.9  33.6    42   251    71   300    62   315 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74943.1           -            798 5178at5820           -            464  1.1e-183  609.6  87.7   3   5     0.046        29    1.6   2.3   255   281   453   479   438   507 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74943.1           -            798 5178at5820           -            464  1.1e-183  609.6  87.7   4   5   4.8e-12     3e-09   34.4   2.3   271   321   508   559   482   566 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74943.1           -            798 5178at5820           -            464  1.1e-183  609.6  87.7   5   5   1.7e-59   1.1e-56  190.9  15.1   306   464   617   798   601   798 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71682.1           -            369 5178at5820           -            464   5.8e-28   96.2  69.7   1   6   3.5e-07   0.00022   18.4   4.0    90   151    14    74     9    78 0.90 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 5178at5820           -            464   5.8e-28   96.2  69.7   2   6   5.5e-07   0.00035   17.8   7.1   107   152    77   121    74   125 0.91 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 5178at5820           -            464   5.8e-28   96.2  69.7   3   6   4.5e-07   0.00029   18.1   5.7   109   151   125   171   121   180 0.82 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 5178at5820           -            464   5.8e-28   96.2  69.7   4   6   6.6e-05     0.041   10.9   0.5   133   152   176   195   172   199 0.89 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 5178at5820           -            464   5.8e-28   96.2  69.7   5   6   7.7e-08   4.9e-05   20.6  11.4    87   150   200   262   196   267 0.90 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO71682.1           -            369 5178at5820           -            464   5.8e-28   96.2  69.7   6   6   2.5e-13   1.6e-10   38.7   5.2    87   151   269   333   265   347 0.94 MORN repeat-containing protein 1, putative [Plasmodium vivax]
SCO72783.1           -           1002 5178at5820           -            464   3.6e-12   44.1  34.3   1   3   2.1e-06    0.0013   15.8   1.7    90   162   160   229   128   232 0.82 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO72783.1           -           1002 5178at5820           -            464   3.6e-12   44.1  34.3   2   3   3.4e-07   0.00021   18.5   7.4    90   151   230   290   227   295 0.93 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO72783.1           -           1002 5178at5820           -            464   3.6e-12   44.1  34.3   3   3   8.9e-08   5.6e-05   20.4  11.3    89   152   298   361   292   369 0.90 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO74298.1           -            326 5178at5820           -            464   4.4e-11   40.5  23.5   1   2   9.3e-11   5.8e-08   30.2   8.0    89   165    49   126    46   132 0.89 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO74298.1           -            326 5178at5820           -            464   4.4e-11   40.5  23.5   2   2   1.7e-06     0.001   16.2   7.4   108   177   183   253   169   286 0.80 phosphatidylinositol-4-phosphate 5-kinase, putative [Plasmodium vivax]
SCO72249.1           -            381 5178at5820           -            464   5.3e-08   30.3  38.1   1   2   0.00094      0.59    7.1  11.3    86   136    44    94     4    99 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72249.1           -            381 5178at5820           -            464   5.3e-08   30.3  38.1   2   2   2.6e-10   1.6e-07   28.7  18.8    39   165   195   328   186   357 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71141.1           -            191 5178at5820           -            464   2.3e-06   25.0  15.9   1   2   6.3e-05      0.04   11.0   1.9    99   142    35    77    26    79 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71141.1           -            191 5178at5820           -            464   2.3e-06   25.0  15.9   2   2   1.9e-08   1.2e-05   22.6  10.1    90   165    72   148    69   161 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO73241.1           -           1374 5178at5820           -            464   3.2e-05   21.2  10.5   1   4       1.7     1e+03   -3.6   5.3   386   460   723   802   703   806 0.73 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 5178at5820           -            464   3.2e-05   21.2  10.5   2   4   5.1e-08   3.2e-05   21.2  10.5   105   167   825   891   807   905 0.85 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 5178at5820           -            464   3.2e-05   21.2  10.5   3   4   0.00016       0.1    9.7  10.4    87   151   924   987   912  1007 0.87 MORN repeat protein, putative [Plasmodium vivax]
SCO73241.1           -           1374 5178at5820           -            464   3.2e-05   21.2  10.5   4   4     0.024        15    2.5   6.2    24   127  1216  1306  1192  1326 0.69 MORN repeat protein, putative [Plasmodium vivax]
SCO72016.1           -           1177 5178at5820           -            464   4.4e-05   20.7  12.0   1   2   6.9e-08   4.4e-05   20.7  12.0   106   165    39   100    36   108 0.88 protein kinase, putative [Plasmodium vivax]
SCO72016.1           -           1177 5178at5820           -            464   4.4e-05   20.7  12.0   2   2     0.015       9.2    3.2   0.9    90   129    93   131    90   146 0.69 protein kinase, putative [Plasmodium vivax]
SCO72561.1           -           1330 5178at5820           -            464   0.00022   18.4   2.9   1   2   3.4e-07   0.00022   18.4   2.9    86   152    17    83     7   105 0.77 protein kinase, putative [Plasmodium vivax]
SCO72561.1           -           1330 5178at5820           -            464   0.00022   18.4   2.9   2   2         1   6.4e+02   -2.9   2.6    48    66   533   551   526   558 0.84 protein kinase, putative [Plasmodium vivax]
SCO74818.1           -            148 5178at5820           -            464     0.027   11.6   4.3   1   1     5e-05     0.032   11.3   4.3   104   160    16    72     7   101 0.80 MORN repeat protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5178at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
