#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70075.1           -           1155 2955at5820           -            678  2.3e-262  870.9  36.9   1   7   4.9e-24   1.5e-20   71.8   0.4     1    55     3    59     3    61 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70075.1           -           1155 2955at5820           -            678  2.3e-262  870.9  36.9   2   7   7.7e-24   2.3e-20   71.1   0.1    54   104    86   136    83   152 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70075.1           -           1155 2955at5820           -            678  2.3e-262  870.9  36.9   3   7   2.1e-76   6.5e-73  244.8   0.8   103   304   237   479   219   501 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70075.1           -           1155 2955at5820           -            678  2.3e-262  870.9  36.9   4   7   3.4e-77     1e-73  247.4   0.2   301   478   530   737   508   743 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70075.1           -           1155 2955at5820           -            678  2.3e-262  870.9  36.9   5   7   6.6e-36     2e-32  111.0   3.3   477   578   851   961   845   968 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70075.1           -           1155 2955at5820           -            678  2.3e-262  870.9  36.9   6   7   6.9e-12   2.1e-08   31.6   0.0   577   616   983  1027   978  1035 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70075.1           -           1155 2955at5820           -            678  2.3e-262  870.9  36.9   7   7   9.1e-36   2.8e-32  110.5   0.9   615   678  1082  1145  1075  1145 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65804.1           -            322 2955at5820           -            678    0.0044   14.0   0.0   1   2    0.0035        11    2.8   0.0   267   338   112   192    92   203 0.72 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 2955at5820           -            678    0.0044   14.0   0.0   2   2     4e-05      0.12    9.3   0.0   272   338   247   322   234   322 0.74 receptor for activated c kinase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2955at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2955at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2955at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:47:09 2026
# [ok]
