#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719570.1         -            769 4573at5820           -            540  5.3e-246  815.8  39.2   1   2   7.4e-74   1.2e-70  237.0   1.5    48   215   220   394   208   403 0.93 | transcript=PVPAM_070018400_t1 | gene=PVPAM_070018400 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:654090-656399(-) | protein_length=769 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719570.1         -            769 4573at5820           -            540  5.3e-246  815.8  39.2   2   2  8.8e-178  1.4e-174  580.0  30.3   211   540   414   769   411   769 0.94 | transcript=PVPAM_070018400_t1 | gene=PVPAM_070018400 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:654090-656399(-) | protein_length=769 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720704.1         -            735 4573at5820           -            540     0.032   11.2  16.8   1   3   4.4e-05     0.072   10.1   2.2   431   506   205   280   201   287 0.90 | transcript=PVPAM_090046900_t1 | gene=PVPAM_090046900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000009:1895232-1897439(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720704.1         -            735 4573at5820           -            540     0.032   11.2  16.8   2   3   3.7e-05     0.059   10.3   2.0   236   272   291   327   276   332 0.74 | transcript=PVPAM_090046900_t1 | gene=PVPAM_090046900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000009:1895232-1897439(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720704.1         -            735 4573at5820           -            540     0.032   11.2  16.8   3   3      0.15   2.4e+02   -1.6   0.6   398   419   492   513   463   597 0.62 | transcript=PVPAM_090046900_t1 | gene=PVPAM_090046900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000009:1895232-1897439(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719595.1         -            719 4573at5820           -            540     0.041   10.8   6.5   1   2   0.00011      0.17    8.8   1.4   428   497    60   133    44   145 0.81 | transcript=PVPAM_070020900_t1 | gene=PVPAM_070020900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:732429-734588(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719595.1         -            719 4573at5820           -            540     0.041   10.8   6.5   2   2    0.0023       3.7    4.4   0.3   233   271   538   576   522   616 0.78 | transcript=PVPAM_070020900_t1 | gene=PVPAM_070020900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:732429-734588(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 4573at5820           -            540     0.097    9.6  46.5   1   3   0.00012      0.19    8.7  17.5    19   266    43   297    27   306 0.71 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 4573at5820           -            540     0.097    9.6  46.5   2   3   1.6e-05     0.027   11.5  10.5   352   473   300   421   292   427 0.84 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 4573at5820           -            540     0.097    9.6  46.5   3   3     0.068   1.1e+02   -0.5   9.1   216   321   409   514   403   521 0.62 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
