#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091480.1-p1      -           1041 5341at5820           -            799         0 1275.6  20.0   1   2  1.3e-221  7.2e-219  727.4   0.0     1   442     1   602     1   656 0.88 | transcript=PVX_091480.1 | gene=PVX_091480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:556998-560776(-) | protein_length=1041 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091480.1-p1      -           1041 5341at5820           -            799         0 1275.6  20.0   2   2  1.2e-166  6.6e-164  545.6  20.6   456   799   686  1041   662  1041 0.84 | transcript=PVX_091480.1 | gene=PVX_091480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:556998-560776(-) | protein_length=1041 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122947.1-p1      -            244 5341at5820           -            799     0.045   10.4  14.1   1   1   8.7e-05     0.048   10.3  14.1   424   539    50   156    11   217 0.45 | transcript=PVX_122947.1 | gene=PVX_122947 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr14:1024055-1025199(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115355.1-p1      -            250 5341at5820           -            799     0.086    9.4   9.1   1   1   0.00019       0.1    9.1   9.1   426   570    69   210    59   236 0.56 | transcript=PVX_115355.1 | gene=PVX_115355 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:125696-126448(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122365.1-p1      -            158 5341at5820           -            799         2    4.9   8.4   1   1    0.0034       1.9    5.0   8.4   431   546    90   150     7   158 0.41 | transcript=PVX_122365.1 | gene=PVX_122365 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:516583-517059(-) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094740.1-p1      -            381 5341at5820           -            799       3.3    4.2  13.6   1   1    0.0073         4    3.9  13.6   439   579   123   270    22   280 0.55 | transcript=PVX_094740.1 | gene=PVX_094740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:496098-498183(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122285.1-p1      -            162 5341at5820           -            799       3.6    4.1  12.7   1   1    0.0074       4.1    3.9  12.7   380   499    46   154    32   162 0.53 | transcript=PVX_122285.1 | gene=PVX_122285 | organism=Plasmodium_vivax_Sal-1 | gene_product=60S ribosomal protein L24, putative | transcript_product=60S ribosomal protein L24, putative | location=Pv_Sal1_chr14:463554-464772(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122130.1-p1      -            543 5341at5820           -            799       3.9    4.0  14.2   1   1     0.011       6.2    3.3  14.2   422   530   111   221    49   268 0.61 | transcript=PVX_122130.1 | gene=PVX_122130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:313448-315441(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084120.1-p1      -            251 5341at5820           -            799       4.6    3.7   6.9   1   1    0.0087       4.8    3.6   6.9   422   545    24   129     8   205 0.51 | transcript=PVX_084120.1 | gene=PVX_084120 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:23506-24683(-) | protein_length=251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090860.1-p1      -            585 5341at5820           -            799       6.4    3.2   9.4   1   1     0.016       8.9    2.8   9.4   472   570    79   182    44   199 0.51 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122690.1-p1      -            209 5341at5820           -            799       7.2    3.1  13.2   1   1     0.017       9.1    2.7  13.2   437   566    27   164     9   193 0.56 | transcript=PVX_122690.1 | gene=PVX_122690 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:797605-798234(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
