#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71968.1           -           2212 787at5820            -           1546         0 1901.7 103.4   1   9   3.8e-62   2.4e-58  196.3  10.3     1   158    14   174    14   185 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71968.1           -           2212 787at5820            -           1546         0 1901.7 103.4   2   9   3.3e-93   2.1e-89  299.2   2.3   150   397   256   543   243   547 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71968.1           -           2212 787at5820            -           1546         0 1901.7 103.4   3   9   4.5e-45   2.9e-41  139.7   0.6   384   502   566   705   560   713 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71968.1           -           2212 787at5820            -           1546         0 1901.7 103.4   4   9   8.6e-34   5.4e-30  102.3   0.0   510   640   744   911   735   916 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71968.1           -           2212 787at5820            -           1546         0 1901.7 103.4   5   9  3.7e-115  2.3e-111  372.0  12.8   642   910   944  1228   940  1233 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71968.1           -           2212 787at5820            -           1546         0 1901.7 103.4   6   9   1.3e-40   7.9e-37  125.0   7.9   910  1048  1257  1452  1253  1457 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71968.1           -           2212 787at5820            -           1546         0 1901.7 103.4   7   9   2.1e-12   1.3e-08   31.4   0.0  1049  1090  1519  1567  1517  1568 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71968.1           -           2212 787at5820            -           1546         0 1901.7 103.4   8   9   3.5e-14   2.2e-10   37.3   0.0  1107  1169  1631  1706  1590  1712 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71968.1           -           2212 787at5820            -           1546         0 1901.7 103.4   9   9  7.8e-191  4.9e-187  622.8  24.7  1182  1545  1833  2211  1829  2212 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/787at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/787at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/787at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:05:20 2026
# [ok]
