#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9472560.1         -            424 6938at5820           -            387  9.5e-271  895.4   7.3   1   1  4.5e-273  1.2e-270  895.1   7.3     6   387    36   424    33   424 0.99 | transcript=PVW1_140072500_t1 | gene=PVW1_140072500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5W3] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H5W3] | location=CAJZCX010000003:2878631-2879905(-) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477911.1         -            822 6938at5820           -            387  7.1e-108  359.3   0.0   1   2     1e-56   2.7e-54  182.9   0.0   123   363   199   437   189   459 0.93 | transcript=PVW1_110035700_t1 | gene=PVW1_110035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | location=CAJZCX010000008:1317437-1320072(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477911.1         -            822 6938at5820           -            387  7.1e-108  359.3   0.0   2   2   4.6e-54   1.2e-51  174.2   0.0   122   354   471   704   460   712 0.95 | transcript=PVW1_110035700_t1 | gene=PVW1_110035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4HFI3] | location=CAJZCX010000008:1317437-1320072(+) | protein_length=822 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9478777.1         -            447 6938at5820           -            387  9.9e-108  358.8   0.1   1   1  5.2e-110  1.4e-107  358.3   0.1    91   374   152   436    92   441 0.95 | transcript=PVW1_080013400_t1 | gene=PVW1_080013400 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW49] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GW49] | location=CAJZCX010000009:415093-416725(-) | protein_length=447 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471929.1         -            420 6938at5820           -            387  1.6e-104  348.2   0.4   1   1    8e-107  2.1e-104  347.8   0.4    73   373    97   405    72   415 0.92 | transcript=PVW1_140018700_t1 | gene=PVW1_140018700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK13] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4HK13] | location=CAJZCX010000003:612748-614241(-) | protein_length=420 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 6938at5820           -            387  9.2e-104  345.7   0.1   1   2     4e-58   1.1e-55  187.5   0.2   123   363   468   705   463   718 0.93 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484907.1         -           1089 6938at5820           -            387  9.2e-104  345.7   0.1   2   2   1.7e-48   4.6e-46  155.8   0.0   124   361   789  1025   778  1028 0.95 | transcript=PVW1_010015500_t1 | gene=PVW1_010015500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | transcript_product=AAA family ATPase, CDC48 subfamily, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H6H4] | location=CAJZCX010000016:501194-504463(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9471851.1         -            393 6938at5820           -            387  1.6e-100  335.1   5.4   1   1  7.4e-103  1.9e-100  334.8   5.4     9   372     7   379     1   388 0.88 | transcript=PVW1_140013500_t1 | gene=PVW1_140013500 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H453] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H453] | location=CAJZCX010000003:405987-407168(-) | protein_length=393 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9477003.1         -            441 6938at5820           -            387   5.6e-93  310.3   0.0   1   1   3.3e-95   8.6e-93  309.6   0.0    92   374   149   432   141   441 0.96 | transcript=PVW1_090035700_t1 | gene=PVW1_090035700 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXS1] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4GXS1] | location=CAJZCX010000007:1346540-1347865(+) | protein_length=441 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479867.1         -            392 6938at5820           -            387   1.3e-91  305.8   1.3   1   1   6.2e-94   1.6e-91  305.4   1.3    40   374    40   383     6   390 0.87 | transcript=PVW1_050025300_t1 | gene=PVW1_050025300 | organism=Plasmodium_vivax_PvW1 | gene_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H907] | transcript_product=AAA domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H907] | location=CAJZCX010000010:849428-850791(-) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9476175.1         -           1174 6938at5820           -            387   1.1e-64  217.1   8.1   1   4   6.9e-08   1.8e-05   22.2   0.0   130   190   344   404   331   425 0.85 | transcript=PVW1_130042600_t1 | gene=PVW1_130042600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000006:1643990-1647514(-) | protein_length=1174 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
