#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO75721.1           -            390 8201at5820           -            316  9.9e-195  644.7  16.2   1   2  1.7e-192  2.7e-189  626.8  10.4     1   297     1   302     1   311 0.97 RNA-binding protein, putative [Plasmodium vivax]
SCO75721.1           -            390 8201at5820           -            316  9.9e-195  644.7  16.2   2   2   2.7e-08   4.3e-05   21.6   0.3   285   316   359   390   337   390 0.83 RNA-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 8201at5820           -            316     2e-08   32.5   7.4   1   4      0.12     2e+02   -0.3   0.0   224   259    18    52     9    97 0.66 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 8201at5820           -            316     2e-08   32.5   7.4   2   4   0.00025       0.4    8.6   0.2   216   286    98   175    85   178 0.74 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 8201at5820           -            316     2e-08   32.5   7.4   3   4   3.2e-06     0.005   14.8   0.6   198   273   170   250   168   261 0.75 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO75490.1           -            885 8201at5820           -            316     2e-08   32.5   7.4   4   4   4.5e-05      0.07   11.0   0.0   211   258   438   485   419   525 0.78 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO73179.1           -            316 8201at5820           -            316     0.046   11.7   1.8   1   2   3.3e-05     0.051   11.5   0.0   221   289     7    80     2    92 0.80 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO73179.1           -            316 8201at5820           -            316     0.046   11.7   1.8   2   2      0.39   6.2e+02   -1.9   0.8   145   172   264   292   252   297 0.79 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO72029.1           -           1234 8201at5820           -            316     0.066   11.1   1.2   1   2   0.00021      0.32    8.9   0.2   158   183     6    31     3    46 0.89 zinc finger protein, putative [Plasmodium vivax]
SCO72029.1           -           1234 8201at5820           -            316     0.066   11.1   1.2   2   2     0.086   1.3e+02    0.3   0.1   158   188    74   105    70   125 0.72 zinc finger protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8201at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8201at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8201at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:06:46 2026
# [ok]
