#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098690.1-p1      -           2073 870at5820            -           1107         0 1929.2 147.0   1   6     7e-19   1.3e-15   54.6   0.8     1    91     1    98     1   104 0.84 | transcript=PVX_098690.1 | gene=PVX_098690 | organism=Plasmodium_vivax_Sal-1 | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=Pv_Sal1_chr07:128569-135124(-) | protein_length=2073 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098690.1-p1      -           2073 870at5820            -           1107         0 1929.2 147.0   2   6  5.3e-122  9.8e-119  396.1  21.5    63   304   307   572   300   582 0.89 | transcript=PVX_098690.1 | gene=PVX_098690 | organism=Plasmodium_vivax_Sal-1 | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=Pv_Sal1_chr07:128569-135124(-) | protein_length=2073 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098690.1-p1      -           2073 870at5820            -           1107         0 1929.2 147.0   3   6   8.9e-77   1.6e-73  246.3  12.4   308   440   967  1099   946  1112 0.94 | transcript=PVX_098690.1 | gene=PVX_098690 | organism=Plasmodium_vivax_Sal-1 | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=Pv_Sal1_chr07:128569-135124(-) | protein_length=2073 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098690.1-p1      -           2073 870at5820            -           1107         0 1929.2 147.0   4   6  1.1e-170    2e-167  557.3  26.7   438   706  1200  1469  1195  1475 0.98 | transcript=PVX_098690.1 | gene=PVX_098690 | organism=Plasmodium_vivax_Sal-1 | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=Pv_Sal1_chr07:128569-135124(-) | protein_length=2073 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098690.1-p1      -           2073 870at5820            -           1107         0 1929.2 147.0   5   6   1.6e-31   2.9e-28   96.5  11.2   706   800  1590  1708  1582  1715 0.84 | transcript=PVX_098690.1 | gene=PVX_098690 | organism=Plasmodium_vivax_Sal-1 | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=Pv_Sal1_chr07:128569-135124(-) | protein_length=2073 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098690.1-p1      -           2073 870at5820            -           1107         0 1929.2 147.0   6   6  1.2e-184  2.3e-181  603.5  35.6   792  1107  1728  2062  1709  2062 0.92 | transcript=PVX_098690.1 | gene=PVX_098690 | organism=Plasmodium_vivax_Sal-1 | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=Pv_Sal1_chr07:128569-135124(-) | protein_length=2073 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 870at5820            -           1107   1.1e-08   31.7   0.4   1   2    0.0064        12    1.8   4.7   484   673   170   366   138   377 0.69 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 870at5820            -           1107   1.1e-08   31.7   0.4   2   2   5.8e-12   1.1e-08   31.7   0.4   984  1076   847   939   836   969 0.76 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 870at5820            -           1107   2.5e-08   30.5   1.3   1   3     0.001       1.9    4.3   0.2   569   685   444   556   328   571 0.69 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 870at5820            -           1107   2.5e-08   30.5   1.3   2   3    0.0042       7.7    2.4   0.0   940   990   827   877   818   898 0.90 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084625.1-p1      -           1355 870at5820            -           1107   2.5e-08   30.5   1.3   3   3   1.6e-08     3e-05   20.3   0.5   993  1083   929  1019   923  1037 0.72 | transcript=PVX_084625.1 | gene=PVX_084625 | organism=Plasmodium_vivax_Sal-1 | gene_product=P-type ATPase4, putative | transcript_product=P-type ATPase4, putative | location=Pv_Sal1_chr13:492630-496697(-) | protein_length=1355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
