#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69999.1           -            883 4121at5820           -            615         0 1236.1  90.4   1   4  1.7e-193    3e-191  635.6   6.6     1   273     1   273     1   276 1.00 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 4121at5820           -            615         0 1236.1  90.4   2   4  1.3e-128  2.2e-126  421.3  19.9   265   484   405   648   370   672 0.85 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 4121at5820           -            615         0 1236.1  90.4   3   4       1.5   2.6e+02   -1.7  16.0   474   508   669   701   651   709 0.70 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 4121at5820           -            615         0 1236.1  90.4   4   4   3.5e-60   6.2e-58  195.2  27.4   454   615   715   883   710   883 0.80 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69394.1           -            475 4121at5820           -            615   1.2e-28   98.5   1.8   1   1   9.2e-31   1.6e-28   98.1   1.8    15   185    19   188     9   214 0.94 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO68014.1           -            392 4121at5820           -            615   1.8e-25   88.0  11.9   1   3   8.8e-09   1.6e-06   25.4   1.0   193   257    18    80     6    98 0.88 poly(A)-binding protein, putative [Plasmodium vivax]
SCO68014.1           -            392 4121at5820           -            615   1.8e-25   88.0  11.9   2   3   1.7e-10   3.1e-08   31.1   0.3   105   169   119   183   107   201 0.87 poly(A)-binding protein, putative [Plasmodium vivax]
SCO68014.1           -            392 4121at5820           -            615   1.8e-25   88.0  11.9   3   3   1.5e-12   2.7e-10   37.9   0.6    94   185   198   288   186   299 0.85 poly(A)-binding protein, putative [Plasmodium vivax]
SCO68028.1           -            513 4121at5820           -            615   9.7e-22   75.7   0.3   1   2   3.1e-13   5.5e-11   40.2   0.0   106   258    90   255    86   269 0.84 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 4121at5820           -            615   9.7e-22   75.7   0.3   2   2   5.1e-10   9.2e-08   29.5   0.0   104   184   372   451   360   471 0.78 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO69492.1           -            503 4121at5820           -            615   1.8e-18   64.9   6.3   1   3   6.8e-08   1.2e-05   22.5   0.1   194   256    83   148    78   153 0.89 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO69492.1           -            503 4121at5820           -            615   1.8e-18   64.9   6.3   2   3   1.1e-10     2e-08   31.7   0.5   192   259   179   248   160   263 0.84 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO69492.1           -            503 4121at5820           -            615   1.8e-18   64.9   6.3   3   3     1e-09   1.9e-07   28.5   0.1   104   184   394   473   385   485 0.83 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO65839.1           -            292 4121at5820           -            615   2.3e-13   48.0   0.1   1   2   1.1e-05    0.0019   15.2   0.0   194   261     8    77     2   102 0.85 RNA-binding protein, putative [Plasmodium vivax]
SCO65839.1           -            292 4121at5820           -            615   2.3e-13   48.0   0.1   2   2   2.3e-10   4.1e-08   30.7   0.0   104   176   155   227   146   239 0.88 RNA-binding protein, putative [Plasmodium vivax]
SCO69795.1           -            124 4121at5820           -            615   1.2e-12   45.7   0.1   1   1   7.6e-15   1.4e-12   45.5   0.1    13    93     5    85     1    93 0.91 RNA-binding protein, putative [Plasmodium vivax]
SCO68708.1           -           1033 4121at5820           -            615   5.8e-11   40.1   0.0   1   2   7.3e-12   1.3e-09   35.6   0.0   106   257   644   811   637   827 0.82 splicing factor 1, putative [Plasmodium vivax]
SCO68708.1           -           1033 4121at5820           -            615   5.8e-11   40.1   0.0   2   2      0.29        52    0.6   0.0   208   254   966  1011   955  1017 0.85 splicing factor 1, putative [Plasmodium vivax]
SCO66658.1           -            725 4121at5820           -            615   1.4e-10   38.9   0.0   1   1     1e-12   1.9e-10   38.4   0.0    12    95     3    86     1    98 0.93 mRNA processing protein, putative [Plasmodium vivax]
SCO68331.1           -            632 4121at5820           -            615   3.7e-10   37.4   5.5   1   2   3.3e-07   5.9e-05   20.3   0.1   194   254    10    70     3    89 0.87 RNA-binding protein, putative [Plasmodium vivax]
SCO68331.1           -            632 4121at5820           -            615   3.7e-10   37.4   5.5   2   2   1.1e-06    0.0002   18.5   1.8   194   275   167   249   143   309 0.83 RNA-binding protein, putative [Plasmodium vivax]
SCO66159.1           -           1579 4121at5820           -            615   6.3e-10   36.7   1.2   1   1   1.1e-11     2e-09   35.0   1.2   182   453   324   597   302   609 0.74 RNA-binding protein, putative [Plasmodium vivax]
SCO70117.1           -            505 4121at5820           -            615   5.5e-09   33.6   0.3   1   2   0.00033      0.06   10.3   0.3   193   238    16    63     4   116 0.69 clustered-asparagine-rich protein, putative [Plasmodium vivax]
SCO70117.1           -            505 4121at5820           -            615   5.5e-09   33.6   0.3   2   2   3.1e-11   5.5e-09   33.6   0.3   103   186   421   502   364   505 0.86 clustered-asparagine-rich protein, putative [Plasmodium vivax]
