#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_1315500|PVP01_1315500.1|unknown -            257 11045at5820          -            214   9.1e-65  216.8   2.1   1   1   2.4e-67   1.3e-64  216.3   2.1     1   125     1   140     1   144 0.92 -
GCA_040114635.1|PVP01_0922300|PVP01_0922300.1|unknown -            792 11045at5820          -            214   1.1e-13   49.8  15.9   1   4       5.1   2.7e+03   -3.7   0.0   186   212    38    66    35    68 0.70 -
GCA_040114635.1|PVP01_0922300|PVP01_0922300.1|unknown -            792 11045at5820          -            214   1.1e-13   49.8  15.9   2   4   0.00049      0.26    9.4   0.1    13    52   194   233   180   269 0.68 -
GCA_040114635.1|PVP01_0922300|PVP01_0922300.1|unknown -            792 11045at5820          -            214   1.1e-13   49.8  15.9   3   4   7.7e-08     4e-05   21.8   0.7   109   199   357   444   335   459 0.82 -
GCA_040114635.1|PVP01_0922300|PVP01_0922300.1|unknown -            792 11045at5820          -            214   1.1e-13   49.8  15.9   4   4   2.7e-09   1.4e-06   26.6   2.6    18   191   593   771   578   784 0.69 -
GCA_040114635.1|PVP01_1010900|PVP01_1010900.1|unknown -           1464 11045at5820          -            214   1.5e-12   46.1  12.1   1   5   0.00013     0.067   11.3   0.1    14    98   398   482   380   512 0.75 -
GCA_040114635.1|PVP01_1010900|PVP01_1010900.1|unknown -           1464 11045at5820          -            214   1.5e-12   46.1  12.1   2   5   8.6e-07   0.00045   18.4   0.2   114   179   578   643   551   660 0.86 -
GCA_040114635.1|PVP01_1010900|PVP01_1010900.1|unknown -           1464 11045at5820          -            214   1.5e-12   46.1  12.1   3   5       4.6   2.4e+03   -3.6   0.1   123   175   900   951   889   957 0.71 -
GCA_040114635.1|PVP01_1010900|PVP01_1010900.1|unknown -           1464 11045at5820          -            214   1.5e-12   46.1  12.1   4   5    0.0049       2.6    6.1   0.0    16    63  1181  1228  1162  1239 0.75 -
GCA_040114635.1|PVP01_1010900|PVP01_1010900.1|unknown -           1464 11045at5820          -            214   1.5e-12   46.1  12.1   5   5   7.9e-06    0.0042   15.3   0.1   114   177  1355  1418  1334  1431 0.85 -
GCA_040114635.1|PVP01_1103800|PVP01_1103800.1|unknown -            619 11045at5820          -            214   6.2e-11   40.8  12.7   1   3     0.032        17    3.5   0.1    32    50   122   140   111   146 0.86 -
GCA_040114635.1|PVP01_1103800|PVP01_1103800.1|unknown -            619 11045at5820          -            214   6.2e-11   40.8  12.7   2   3     6e-06    0.0031   15.7   0.7    97   182   213   300   195   314 0.68 -
GCA_040114635.1|PVP01_1103800|PVP01_1103800.1|unknown -            619 11045at5820          -            214   6.2e-11   40.8  12.7   3   3   1.1e-08   5.7e-06   24.6   1.9    15   188   372   554   360   567 0.69 -
GCA_040114635.1|PVP01_1214900|PVP01_1214900.1|unknown -            823 11045at5820          -            214   9.1e-09   33.7   5.1   1   3      0.95     5e+02   -1.3   0.1   113   139   313   339   296   347 0.74 -
GCA_040114635.1|PVP01_1214900|PVP01_1214900.1|unknown -            823 11045at5820          -            214   9.1e-09   33.7   5.1   2   3   4.7e-05     0.025   12.7   0.1    15    69   508   568   493   575 0.76 -
