#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72676.1           -            366 10221at5820          -            271  1.4e-117  390.4   6.9   1   3     1e-37   4.9e-35  119.7   0.5     1   100     8   129     8   151 0.83 acyl-CoA-binding protein, putative [Plasmodium vivax]
SCO72676.1           -            366 10221at5820          -            271  1.4e-117  390.4   6.9   2   3   1.7e-20   8.4e-18   63.2   0.0    99   155   156   217   149   221 0.89 acyl-CoA-binding protein, putative [Plasmodium vivax]
SCO72676.1           -            366 10221at5820          -            271  1.4e-117  390.4   6.9   3   3     7e-63   3.4e-60  202.2   1.5   155   271   244   361   241   361 0.97 acyl-CoA-binding protein, putative [Plasmodium vivax]
SCO74840.1           -            708 10221at5820          -            271   6.9e-23   79.9   1.2   1   3   5.3e-14   2.5e-11   42.0   0.0   161   253   380   475   349   480 0.84 ankyrin, putative [Plasmodium vivax]
SCO74840.1           -            708 10221at5820          -            271   6.9e-23   79.9   1.2   2   3   2.2e-08   1.1e-05   23.5   0.0   196   249   487   540   475   557 0.87 ankyrin, putative [Plasmodium vivax]
SCO74840.1           -            708 10221at5820          -            271   6.9e-23   79.9   1.2   3   3   6.3e-05      0.03   12.2   0.1   196   256   620   677   548   682 0.76 ankyrin, putative [Plasmodium vivax]
SCO71590.1           -           1866 10221at5820          -            271   2.8e-22   77.9   7.2   1   3   3.7e-16   1.8e-13   49.0   0.9   173   257  1024  1108  1012  1118 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71590.1           -           1866 10221at5820          -            271   2.8e-22   77.9   7.2   2   3   3.6e-09   1.7e-06   26.1   0.2   197   249  1124  1176  1111  1191 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71590.1           -           1866 10221at5820          -            271   2.8e-22   77.9   7.2   3   3     0.013       6.1    4.6   0.0   198   249  1192  1243  1180  1250 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72250.1           -            188 10221at5820          -            271   5.6e-18   63.8   3.4   1   2   4.7e-13   2.3e-10   38.8   0.1   198   262    42   106    35   108 0.95 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO72250.1           -            188 10221at5820          -            271   5.6e-18   63.8   3.4   2   2   9.7e-10   4.7e-07   28.0   1.0   194   252   104   162   100   175 0.89 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO73271.1           -           1589 10221at5820          -            271   8.5e-18   63.2   2.9   1   3       3.4   1.6e+03   -3.3   0.0   195   235   880   921   870   924 0.65 SET domain protein, putative [Plasmodium vivax]
SCO73271.1           -           1589 10221at5820          -            271   8.5e-18   63.2   2.9   2   3   5.1e-11   2.5e-08   32.2   0.2   197   248  1219  1270  1149  1272 0.74 SET domain protein, putative [Plasmodium vivax]
SCO73271.1           -           1589 10221at5820          -            271   8.5e-18   63.2   2.9   3   3   8.6e-14   4.2e-11   41.3   0.2   193   269  1248  1324  1244  1326 0.94 SET domain protein, putative [Plasmodium vivax]
SCO71707.1           -            482 10221at5820          -            271   1.4e-16   59.2   0.4   1   3   2.8e-05     0.014   13.3   0.1   150   253    12   117     6   118 0.83 bromodomain protein 1, putative [Plasmodium vivax]
SCO71707.1           -            482 10221at5820          -            271   1.4e-16   59.2   0.4   2   3   3.5e-10   1.7e-07   29.4   0.0   175   256    70   153    43   160 0.81 bromodomain protein 1, putative [Plasmodium vivax]
SCO71707.1           -            482 10221at5820          -            271   1.4e-16   59.2   0.4   3   3   2.1e-09     1e-06   26.8   0.0   198   257   161   219   152   231 0.88 bromodomain protein 1, putative [Plasmodium vivax]
SCO73591.1           -           1853 10221at5820          -            271   1.5e-15   55.8  10.8   1   4    0.0089       4.3    5.1   0.0   214   259  1216  1261  1205  1266 0.88 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO73591.1           -           1853 10221at5820          -            271   1.5e-15   55.8  10.8   2   4     0.047        23    2.8   0.0   195   253  1457  1518  1454  1526 0.70 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO73591.1           -           1853 10221at5820          -            271   1.5e-15   55.8  10.8   3   4   1.4e-11   6.6e-09   34.0   2.2   180   261  1613  1695  1567  1702 0.83 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO73591.1           -           1853 10221at5820          -            271   1.5e-15   55.8  10.8   4   4   1.5e-05    0.0075   14.2   0.3   190   236  1725  1771  1707  1786 0.89 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO72475.1           -            611 10221at5820          -            271   1.2e-11   43.0  10.5   1   4   5.8e-08   2.8e-05   22.1   0.1   195   250    48   104    17   120 0.82 palmitoyltransferase, putative [Plasmodium vivax]
SCO72475.1           -            611 10221at5820          -            271   1.2e-11   43.0  10.5   2   4   1.4e-09   6.9e-07   27.4   0.0   189   252   151   214   136   225 0.93 palmitoyltransferase, putative [Plasmodium vivax]
SCO72475.1           -            611 10221at5820          -            271   1.2e-11   43.0  10.5   3   4       2.3   1.1e+03   -2.8   0.2    65   103   255   291   247   299 0.65 palmitoyltransferase, putative [Plasmodium vivax]
SCO72475.1           -            611 10221at5820          -            271   1.2e-11   43.0  10.5   4   4       5.3   2.6e+03   -4.0   0.3     5    29   518   542   516   545 0.87 palmitoyltransferase, putative [Plasmodium vivax]
SCO75216.1           -            400 10221at5820          -            271   5.4e-10   37.6  19.9   1   5   0.00052      0.25    9.2   0.3   167   226     5    67     1    75 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75216.1           -            400 10221at5820          -            271   5.4e-10   37.6  19.9   2   5   1.1e-10   5.5e-08   31.0   6.6   153   262    65   172    63   181 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75216.1           -            400 10221at5820          -            271   5.4e-10   37.6  19.9   3   5   5.1e-05     0.024   12.5   0.3   200   246   143   189   139   201 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75216.1           -            400 10221at5820          -            271   5.4e-10   37.6  19.9   4   5     0.003       1.4    6.7   0.1   204   270   179   248   172   249 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO75216.1           -            400 10221at5820          -            271   5.4e-10   37.6  19.9   5   5       3.3   1.6e+03   -3.3   0.2   116   136   281   301   261   324 0.63 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71248.1           -            185 10221at5820          -            271   6.7e-10   37.3   5.5   1   2   1.8e-06   0.00088   17.2   0.9   187   266     5    83     1    88 0.87 conserved protein, unknown function [Plasmodium vivax]
SCO71248.1           -            185 10221at5820          -            271   6.7e-10   37.3   5.5   2   2   4.9e-08   2.4e-05   22.4   0.4   187   233   105   151    82   175 0.81 conserved protein, unknown function [Plasmodium vivax]
SCO75369.1           -             92 10221at5820          -            271   2.9e-07   28.7   1.1   1   1   6.7e-10   3.3e-07   28.5   1.1    57   135     4    87     1    90 0.78 acyl-CoA binding protein, putative [Plasmodium vivax]
SCO74163.1           -            641 10221at5820          -            271   0.00015   19.7   2.5   1   4    0.0016      0.77    7.6   0.0   215   261    33    79    27    82 0.84 palmitoyltransferase, putative [Plasmodium vivax]
SCO74163.1           -            641 10221at5820          -            271   0.00015   19.7   2.5   2   4     2e-05    0.0098   13.8   0.0   189   261    73   145    73   151 0.92 palmitoyltransferase, putative [Plasmodium vivax]
SCO74163.1           -            641 10221at5820          -            271   0.00015   19.7   2.5   3   4     0.023        11    3.8   0.0   195   259   112   176   108   179 0.88 palmitoyltransferase, putative [Plasmodium vivax]
SCO74163.1           -            641 10221at5820          -            271   0.00015   19.7   2.5   4   4      0.98   4.8e+02   -1.6   0.8   140   183   376   418   370   422 0.63 palmitoyltransferase, putative [Plasmodium vivax]
SCO72910.1           -            584 10221at5820          -            271    0.0013   16.7   0.2   1   1   6.1e-06     0.003   15.5   0.2   161   245    24   111    14   120 0.78 methyltransferase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10221at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10221at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10221at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:28:25 2026
# [ok]
