#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1232100.1-p1   -            641 4787at5820           -            540    2e-267  886.6  16.4   1   3  3.5e-162  1.2e-159  530.9   0.0     1   314    16   352    16   356 0.96 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 4787at5820           -            540    2e-267  886.6  16.4   2   3   7.6e-65   2.5e-62  209.7  10.3   311   438   374   503   364   509 0.94 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 4787at5820           -            540    2e-267  886.6  16.4   3   3   4.8e-46   1.6e-43  147.6   0.3   434   540   520   636   513   636 0.93 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422200.1-p1   -            287 4787at5820           -            540   6.5e-15   53.1  18.1   1   2   2.4e-16     8e-14   49.6  10.3   356   442    86   172    76   188 0.87 | transcript=PVP01_0422200.1 | gene=PVP01_0422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC12, putative | transcript_product=palmitoyltransferase DHHC12, putative | location=PvP01_04_v2:898201-900382(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422200.1-p1   -            287 4787at5820           -            540   6.5e-15   53.1  18.1   2   2   0.00077      0.25    8.3   0.9   434   473   210   250   190   255 0.81 | transcript=PVP01_0422200.1 | gene=PVP01_0422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC12, putative | transcript_product=palmitoyltransferase DHHC12, putative | location=PvP01_04_v2:898201-900382(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 4787at5820           -            540   4.8e-13   47.0  40.8   1   3    0.0017      0.56    7.1   2.8    31   120    48   143    17   147 0.69 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 4787at5820           -            540   4.8e-13   47.0  40.8   2   3   1.7e-05    0.0054   13.8   3.0    49   138   142   236   130   262 0.51 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 4787at5820           -            540   4.8e-13   47.0  40.8   3   3   2.9e-12   9.3e-10   36.1  19.7   353   472   413   552   382   597 0.72 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1422200.1-p1   -            297 4787at5820           -            540   9.2e-12   42.8  15.3   1   1   2.8e-14   9.2e-12   42.8  15.3   372   488   128   249   114   279 0.69 | transcript=PVP01_1422200.1 | gene=PVP01_1422200 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC8, putative | transcript_product=palmitoyltransferase DHHC8, putative | location=PvP01_14_v2:967105-969730(+) | protein_length=297 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810600.1-p1   -            188 4787at5820           -            540   5.2e-11   40.3   0.9   1   2   3.4e-13   1.1e-10   39.2   0.5    16    97    57   138    44   146 0.91 | transcript=PVP01_0810600.1 | gene=PVP01_0810600 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_08_v2:467502-469232(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810600.1-p1   -            188 4787at5820           -            540   5.2e-11   40.3   0.9   2   2    0.0047       1.5    5.7   0.2    13    58   120   165   115   172 0.81 | transcript=PVP01_0810600.1 | gene=PVP01_0810600 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_08_v2:467502-469232(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
