#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721277.1         -           2042 1083at5820           -           1203         0 1957.3 176.2   1   9  1.2e-107  7.7e-104  347.0  45.2     1   226    25   275    25   280 0.90 | transcript=PVPAM_110017900_t1 | gene=PVPAM_110017900 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000011:548517-554804(+) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721277.1         -           2042 1083at5820           -           1203         0 1957.3 176.2   2   9   5.2e-16   3.3e-12   43.5   0.1   225   261   405   444   398   451 0.89 | transcript=PVPAM_110017900_t1 | gene=PVPAM_110017900 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000011:548517-554804(+) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721277.1         -           2042 1083at5820           -           1203         0 1957.3 176.2   3   9   3.9e-18   2.5e-14   50.5   2.2   259   295   490   526   487   540 0.91 | transcript=PVPAM_110017900_t1 | gene=PVPAM_110017900 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000011:548517-554804(+) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721277.1         -           2042 1083at5820           -           1203         0 1957.3 176.2   4   9   1.8e-10   1.2e-06   25.1   4.0   291   342   596   661   578   671 0.74 | transcript=PVPAM_110017900_t1 | gene=PVPAM_110017900 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000011:548517-554804(+) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721277.1         -           2042 1083at5820           -           1203         0 1957.3 176.2   5   9  2.4e-145  1.5e-141  471.9  28.5   349   615   770  1053   759  1058 0.96 | transcript=PVPAM_110017900_t1 | gene=PVPAM_110017900 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000011:548517-554804(+) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721277.1         -           2042 1083at5820           -           1203         0 1957.3 176.2   6   9  3.9e-123  2.5e-119  398.3  11.5   617   806  1125  1314  1114  1317 0.98 | transcript=PVPAM_110017900_t1 | gene=PVPAM_110017900 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000011:548517-554804(+) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721277.1         -           2042 1083at5820           -           1203         0 1957.3 176.2   7   9  7.7e-145    5e-141  470.2  18.7   804  1045  1404  1660  1387  1664 0.93 | transcript=PVPAM_110017900_t1 | gene=PVPAM_110017900 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000011:548517-554804(+) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721277.1         -           2042 1083at5820           -           1203         0 1957.3 176.2   8   9   1.1e-54   7.3e-51  171.5   7.9  1045  1168  1727  1870  1723  1879 0.88 | transcript=PVPAM_110017900_t1 | gene=PVPAM_110017900 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000011:548517-554804(+) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721277.1         -           2042 1083at5820           -           1203         0 1957.3 176.2   9   9   1.2e-08   8.1e-05   19.0   0.7  1158  1202  1993  2041  1978  2042 0.77 | transcript=PVPAM_110017900_t1 | gene=PVPAM_110017900 | organism=Plasmodium_vivax_PAM | gene_product=patatin-like phospholipase, putative | transcript_product=patatin-like phospholipase, putative | location=CASCJQ010000011:548517-554804(+) | protein_length=2042 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1083at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1083at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1083at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:27 2026
# [ok]
