#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0916900.1-p1   -            167 12375at5820          -            142   8.4e-91  300.3   1.3   1   2       3.9   2.6e+03   -2.8   0.0     1     9     1     9     1    12 0.85 | transcript=PVP01_0916900.1 | gene=PVP01_0916900 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_09_v2:757527-759141(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916900.1-p1   -            167 12375at5820          -            142   8.4e-91  300.3   1.3   2   2   1.4e-93   9.2e-91  300.2   0.5     6   142    25   163    22   163 0.98 | transcript=PVP01_0916900.1 | gene=PVP01_0916900 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_09_v2:757527-759141(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005100.1-p1   -            203 12375at5820          -            142   1.3e-39  134.3   0.3   1   1     3e-42   1.9e-39  133.8   0.3     8   132    72   196    66   202 0.91 | transcript=PVP01_1005100.1 | gene=PVP01_1005100 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:242428-243039(+) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023800.1-p1   -            731 12375at5820          -            142   1.1e-31  108.7   0.2   1   1   3.8e-34   2.4e-31  107.5   0.2     7   129   602   724   598   730 0.91 | transcript=PVP01_1023800.1 | gene=PVP01_1023800 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_10_v2:1029851-1032046(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0916400.1-p1   -            193 12375at5820          -            142   9.6e-30  102.3   0.3   1   1   2.2e-32   1.4e-29  101.8   0.3    17   130    76   188    56   191 0.89 | transcript=PVP01_0916400.1 | gene=PVP01_0916400 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=PvP01_09_v2:736280-737370(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818200.1-p1   -            170 12375at5820          -            142   1.4e-28   98.6   0.2   1   1   2.7e-31   1.8e-28   98.2   0.2    17   120    53   155    31   167 0.85 | transcript=PVP01_0818200.1 | gene=PVP01_0818200 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_08_v2:789722-790234(+) | protein_length=170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0115700.1-p1   -            262 12375at5820          -            142   1.5e-25   88.7   0.4   1   1   4.1e-28   2.7e-25   87.9   0.4    18   117   142   242   122   257 0.84 | transcript=PVP01_0115700.1 | gene=PVP01_0115700 | organism=Plasmodium_vivax_P01 | gene_product=cyclophilin, putative, peptidyl-prolyl cis-trans isomerase precursor, putative | transcript_product=peptidyl-prolyl cis-trans isomerase precursor, putative | location=PvP01_01_v2:702548-703336(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301700.1-p1   -            226 12375at5820          -            142   2.5e-21   75.1   0.2   1   1   5.2e-24   3.4e-21   74.6   0.2    17   129    56   168    34   174 0.89 | transcript=PVP01_1301700.1 | gene=PVP01_1301700 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_13_v2:84447-86136(-) | protein_length=226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325800.1-p1   -            456 12375at5820          -            142   3.1e-20   71.5   0.4   1   1   9.8e-23   6.4e-20   70.5   0.4     7   137    38   173    35   176 0.84 | transcript=PVP01_1325800.1 | gene=PVP01_1325800 | organism=Plasmodium_vivax_P01 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=PvP01_13_v2:1121936-1124357(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1434000.1-p1   -            276 12375at5820          -            142   6.3e-14   51.1   1.0   1   1   1.7e-16   1.1e-13   50.3   1.0    18   128   110   217    92   225 0.88 | transcript=PVP01_1434000.1 | gene=PVP01_1434000 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_14_v2:1457406-1458236(+) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117200.1-p1   -            590 12375at5820          -            142   1.7e-05   23.7   0.6   1   2     1e-07   6.7e-05   21.8   0.0    38   125    97   184    63   197 0.78 | transcript=PVP01_0117200.1 | gene=PVP01_0117200 | organism=Plasmodium_vivax_P01 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=PvP01_01_v2:778390-780162(-) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
