#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO71821.1           -            839 7115at5820           -            359  1.4e-173  575.5  73.9   1   4  7.8e-133  4.9e-130  432.2  21.9     1   220     3   252     3   267 0.91 zinc finger protein, putative [Plasmodium vivax]
SCO71821.1           -            839 7115at5820           -            359  1.4e-173  575.5  73.9   2   4   1.3e-20     8e-18   63.0   4.8   199   285   342   428   314   440 0.77 zinc finger protein, putative [Plasmodium vivax]
SCO71821.1           -            839 7115at5820           -            359  1.4e-173  575.5  73.9   3   4    0.0093       5.9    4.3   8.5   266   302   472   513   453   532 0.68 zinc finger protein, putative [Plasmodium vivax]
SCO71821.1           -            839 7115at5820           -            359  1.4e-173  575.5  73.9   4   4   8.2e-32   5.1e-29   99.9   7.6   265   359   746   839   676   839 0.83 zinc finger protein, putative [Plasmodium vivax]
SCO73100.1           -            964 7115at5820           -            359   2.7e-36  123.8  12.4   1   6   4.2e-39   2.7e-36  123.8  12.4    20   270    12   271     1   296 0.66 zinc finger protein, putative [Plasmodium vivax]
SCO73100.1           -            964 7115at5820           -            359   2.7e-36  123.8  12.4   2   6        10   6.3e+03   -9.9  12.1   194   288   283   380   272   398 0.57 zinc finger protein, putative [Plasmodium vivax]
SCO73100.1           -            964 7115at5820           -            359   2.7e-36  123.8  12.4   3   6        10   6.3e+03   -6.2   7.0   251   299   456   505   403   518 0.59 zinc finger protein, putative [Plasmodium vivax]
SCO73100.1           -            964 7115at5820           -            359   2.7e-36  123.8  12.4   4   6       4.4   2.8e+03   -4.5   8.7   244   295   600   653   594   681 0.48 zinc finger protein, putative [Plasmodium vivax]
SCO73100.1           -            964 7115at5820           -            359   2.7e-36  123.8  12.4   5   6      0.72   4.6e+02   -1.9   8.0   194   278   713   802   681   815 0.62 zinc finger protein, putative [Plasmodium vivax]
SCO73100.1           -            964 7115at5820           -            359   2.7e-36  123.8  12.4   6   6       2.5   1.6e+03   -3.7   0.7   202   242   906   942   899   952 0.58 zinc finger protein, putative [Plasmodium vivax]
SCO73500.1           -            965 7115at5820           -            359   4.9e-24   83.5   8.8   1   4   7.9e-27   4.9e-24   83.5   8.8    35   139     8   114     3   127 0.95 zinc finger protein, putative [Plasmodium vivax]
SCO73500.1           -            965 7115at5820           -            359   4.9e-24   83.5   8.8   2   4        10   6.3e+03   -7.0  10.4   204   287   274   355   235   380 0.54 zinc finger protein, putative [Plasmodium vivax]
SCO73500.1           -            965 7115at5820           -            359   4.9e-24   83.5   8.8   3   4         1   6.3e+02   -2.4   3.8   232   282   508   555   476   618 0.65 zinc finger protein, putative [Plasmodium vivax]
SCO73500.1           -            965 7115at5820           -            359   4.9e-24   83.5   8.8   4   4       5.8   3.6e+03   -4.9   2.7   192   192   831   831   756   944 0.47 zinc finger protein, putative [Plasmodium vivax]
SCO72831.1           -           2193 7115at5820           -            359   2.3e-23   81.3  11.1   1   4       9.9   6.2e+03   -5.7   2.4   258   312   272   325   210   332 0.49 zinc finger protein, putative [Plasmodium vivax]
SCO72831.1           -           2193 7115at5820           -            359   2.3e-23   81.3  11.1   2   4   3.7e-26   2.3e-23   81.3  11.1    38   148   488   598   482   637 0.88 zinc finger protein, putative [Plasmodium vivax]
SCO72831.1           -           2193 7115at5820           -            359   2.3e-23   81.3  11.1   3   4       4.8     3e+03   -4.6   0.9   321   345  1435  1457  1373  1466 0.73 zinc finger protein, putative [Plasmodium vivax]
SCO72831.1           -           2193 7115at5820           -            359   2.3e-23   81.3  11.1   4   4       4.6   2.9e+03   -4.6   4.0   276   345  1817  1888  1785  1895 0.70 zinc finger protein, putative [Plasmodium vivax]
SCO72227.1           -            510 7115at5820           -            359   1.2e-22   78.9   9.2   1   2   1.9e-25   1.2e-22   78.9   9.2    33   139    18   126     2   177 0.88 zinc finger C-x8-C-x5-C-x3-H type, putative [Plasmodium vivax]
SCO72227.1           -            510 7115at5820           -            359   1.2e-22   78.9   9.2   2   2       1.8   1.1e+03   -3.2   3.3   208   304   259   358   234   378 0.49 zinc finger C-x8-C-x5-C-x3-H type, putative [Plasmodium vivax]
SCO73122.1           -           1940 7115at5820           -            359   2.3e-20   71.4  21.1   1   4        10   6.3e+03   -6.2   8.6   197   300    28   116    10   131 0.44 zinc finger protein, putative [Plasmodium vivax]
SCO73122.1           -           1940 7115at5820           -            359   2.3e-20   71.4  21.1   2   4   3.6e-23   2.3e-20   71.4  21.1    13   140   355   491   343   502 0.80 zinc finger protein, putative [Plasmodium vivax]
SCO73122.1           -           1940 7115at5820           -            359   2.3e-20   71.4  21.1   3   4        10   6.3e+03   -7.5  10.5   161   229   669   735   636   761 0.51 zinc finger protein, putative [Plasmodium vivax]
