#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719603.1         -            179 12730at5820          -            150   9.4e-74  244.9   8.8   1   2   8.3e-23     9e-20   69.7   2.3     1    46     1    49     1    53 0.83 | transcript=PVPAM_070021700_t1 | gene=PVPAM_070021700 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=CASCJQ010000007:760911-762124(+) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719603.1         -            179 12730at5820          -            150   9.4e-74  244.9   8.8   2   2   5.1e-57   5.5e-54  180.7   0.7    32   150    48   175    45   175 0.94 | transcript=PVPAM_070021700_t1 | gene=PVPAM_070021700 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=CASCJQ010000007:760911-762124(+) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722312.1         -            104 12730at5820          -            150   1.7e-11   42.8   0.3   1   1   1.9e-14     2e-11   42.6   0.3    61   149    16   103     8   104 0.79 | transcript=PVPAM_120054900_t1 | gene=PVPAM_120054900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=CASCJQ010000012:2015654-2016102(+) | protein_length=104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719696.1         -            133 12730at5820          -            150   8.9e-08   30.7   0.0   1   1   9.8e-11   1.1e-07   30.5   0.0    59   144    37   121    10   126 0.70 | transcript=PVPAM_070031000_t1 | gene=PVPAM_070031000 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=CASCJQ010000007:1124314-1125388(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721909.1         -            157 12730at5820          -            150   3.7e-05   22.2   0.3   1   1   4.7e-08     5e-05   21.8   0.3    33   140    43   148    35   156 0.68 | transcript=PVPAM_120014300_t1 | gene=PVPAM_120014300 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=CASCJQ010000012:383174-384266(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721835.1         -            209 12730at5820          -            150   5.7e-05   21.6   0.5   1   2   5.3e-08   5.7e-05   21.6   0.5    46   120    27   106     7   117 0.79 | transcript=PVPAM_120006900_t1 | gene=PVPAM_120006900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=CASCJQ010000012:82418-83438(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721835.1         -            209 12730at5820          -            150   5.7e-05   21.6   0.5   2   2       4.5   4.8e+03   -4.1   0.7    22    30   180   188   171   198 0.43 | transcript=PVPAM_120006900_t1 | gene=PVPAM_120006900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=CASCJQ010000012:82418-83438(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 12730at5820          -            150    0.0033   15.9   1.8   1   3     6e-05     0.064   11.7   0.0    60   121    44   112    22   118 0.76 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 12730at5820          -            150    0.0033   15.9   1.8   2   3       2.3   2.5e+03   -3.2   0.2    99   132   144   176   138   196 0.50 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718746.1         -            482 12730at5820          -            150    0.0033   15.9   1.8   3   3     0.033        36    2.8   0.0    63    86   371   394   347   434 0.77 | transcript=PVPAM_050014000_t1 | gene=PVPAM_050014000 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000005:415150-416716(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12730at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12730at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12730at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:44 2026
# [ok]
