#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118490.1-p1      -           2008 1110at5820           -            876         0 1273.2 160.8   1  10   6.5e-21   3.6e-17   60.1   1.3     1    39     1    39     1    45 0.95 | transcript=PVX_118490.1 | gene=PVX_118490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2759423-2766068(+) | protein_length=2008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118490.1-p1      -           2008 1110at5820           -            876         0 1273.2 160.8   2  10    0.0007       3.9    3.8   0.0    47    66   224   243   219   258 0.80 | transcript=PVX_118490.1 | gene=PVX_118490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2759423-2766068(+) | protein_length=2008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118490.1-p1      -           2008 1110at5820           -            876         0 1273.2 160.8   3  10   6.1e-41   3.4e-37  126.4   2.0    64   142   268   350   263   354 0.92 | transcript=PVX_118490.1 | gene=PVX_118490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2759423-2766068(+) | protein_length=2008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118490.1-p1      -           2008 1110at5820           -            876         0 1273.2 160.8   4  10   1.3e-06    0.0071   12.8   0.4   136   183   436   485   419   492 0.73 | transcript=PVX_118490.1 | gene=PVX_118490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2759423-2766068(+) | protein_length=2008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118490.1-p1      -           2008 1110at5820           -            876         0 1273.2 160.8   5  10   6.3e-12   3.5e-08   30.4   3.6   167   204   493   530   488   545 0.88 | transcript=PVX_118490.1 | gene=PVX_118490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2759423-2766068(+) | protein_length=2008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118490.1-p1      -           2008 1110at5820           -            876         0 1273.2 160.8   6  10   1.6e-09   8.7e-06   22.5   0.0   195   233   896   936   862   967 0.89 | transcript=PVX_118490.1 | gene=PVX_118490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2759423-2766068(+) | protein_length=2008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118490.1-p1      -           2008 1110at5820           -            876         0 1273.2 160.8   7  10   1.2e-11   6.9e-08   29.4   0.1   227   270  1006  1049   992  1066 0.80 | transcript=PVX_118490.1 | gene=PVX_118490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2759423-2766068(+) | protein_length=2008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118490.1-p1      -           2008 1110at5820           -            876         0 1273.2 160.8   8  10  8.3e-119  4.6e-115  384.0  55.3   270   517  1182  1429  1177  1435 0.98 | transcript=PVX_118490.1 | gene=PVX_118490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2759423-2766068(+) | protein_length=2008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118490.1-p1      -           2008 1110at5820           -            876         0 1273.2 160.8   9  10     2e-23   1.1e-19   68.5  10.9   510   583  1464  1552  1457  1558 0.81 | transcript=PVX_118490.1 | gene=PVX_118490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2759423-2766068(+) | protein_length=2008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118490.1-p1      -           2008 1110at5820           -            876         0 1273.2 160.8  10  10    2e-173  1.1e-169  564.8  38.2   578   876  1687  2008  1684  2008 0.91 | transcript=PVX_118490.1 | gene=PVX_118490 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2759423-2766068(+) | protein_length=2008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1110at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1110at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1110at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:24 2026
# [ok]
