#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66492.1           -           1913 608at5820            -           1306         0 2387.5 133.3   1   9   4.9e-66     3e-62  209.2   6.6     9   120    41   152    34   156 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66492.1           -           1913 608at5820            -           1306         0 2387.5 133.3   2   9  1.7e-143    1e-139  465.8  13.3   120   354   186   428   180   435 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66492.1           -           1913 608at5820            -           1306         0 2387.5 133.3   3   9   1.6e-73   9.6e-70  234.0   8.4   352   480   476   608   468   615 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66492.1           -           1913 608at5820            -           1306         0 2387.5 133.3   4   9   8.4e-88   5.1e-84  281.3  12.2   479   615   691   827   688   837 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66492.1           -           1913 608at5820            -           1306         0 2387.5 133.3   5   9  1.3e-135  7.8e-132  439.7  18.0   612   836   870  1115   863  1123 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66492.1           -           1913 608at5820            -           1306         0 2387.5 133.3   6   9  5.9e-176  3.6e-172  573.3  18.0   835  1113  1152  1430  1144  1438 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66492.1           -           1913 608at5820            -           1306         0 2387.5 133.3   7   9     0.011        70   -0.8   0.4  1113  1135  1455  1477  1452  1496 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66492.1           -           1913 608at5820            -           1306         0 2387.5 133.3   8   9     1e-54   6.1e-51  171.7   0.1  1113  1251  1504  1667  1492  1685 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66492.1           -           1913 608at5820            -           1306         0 2387.5 133.3   9   9   1.9e-18   1.1e-14   51.5   0.5  1245  1306  1836  1913  1824  1913 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/608at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/608at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/608at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:59:17 2026
# [ok]
