#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0204900.1-p1   -            776 5049at5820           -            494  2.1e-225  747.6  18.0   1   6   5.8e-37   2.5e-34  117.3   0.6     1    59     1    59     1    65 0.95 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 5049at5820           -            494  2.1e-225  747.6  18.0   2   6   2.6e-51   1.1e-48  164.6   1.2    60   164   121   231   117   233 0.96 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 5049at5820           -            494  2.1e-225  747.6  18.0   3   6   0.00016     0.068   10.3   0.0   162   184   292   314   285   318 0.89 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 5049at5820           -            494  2.1e-225  747.6  18.0   4   6   1.8e-75   7.9e-73  244.3   0.4   179   322   354   499   348   503 0.96 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 5049at5820           -            494  2.1e-225  747.6  18.0   5   6         3   1.3e+03   -3.8   0.0   320   332   523   535   521   536 0.89 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 5049at5820           -            494  2.1e-225  747.6  18.0   6   6   5.9e-68   2.6e-65  219.5   0.1   333   494   572   754   568   754 0.94 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223900.1-p1   -            456 5049at5820           -            494   1.2e-26   91.9   0.8   1   1   4.5e-29     2e-26   91.2   0.8     4   284    73   372    71   380 0.77 | transcript=PVP01_1223900.1 | gene=PVP01_1223900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:927062-928432(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API02800.1-p1  -            409 5049at5820           -            494   2.3e-26   91.0  25.6   1   2     5e-27   2.2e-24   84.5  22.7     3   283    12   319    10   325 0.76 | transcript=PVP01_API02800.1 | gene=PVP01_API02800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_API_v2:8576-9805(+) | protein_length=409 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API02800.1-p1  -            409 5049at5820           -            494   2.3e-26   91.0  25.6   2   2     0.086        37    1.3   0.0   218   253   343   378   338   390 0.86 | transcript=PVP01_API02800.1 | gene=PVP01_API02800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_API_v2:8576-9805(+) | protein_length=409 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338300.1-p1   -            465 5049at5820           -            494   7.5e-18   62.9   2.3   1   2     1e-06   0.00045   17.5   0.0     3    56    35    84    33    95 0.86 | transcript=PVP01_1338300.1 | gene=PVP01_1338300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2 subunit gamma, putative | transcript_product=eukaryotic translation initiation factor 2 subunit gamma, putative | location=PvP01_13_v2:1653729-1655126(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338300.1-p1   -            465 5049at5820           -            494   7.5e-18   62.9   2.3   2   2   4.6e-15     2e-12   45.0   0.6    64   199   122   261   113   304 0.80 | transcript=PVP01_1338300.1 | gene=PVP01_1338300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2 subunit gamma, putative | transcript_product=eukaryotic translation initiation factor 2 subunit gamma, putative | location=PvP01_13_v2:1653729-1655126(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
