#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65990.1           -           2193 943at5820            -           1188         0 1662.1  63.6   1  10   2.6e-35   1.6e-31  107.3   0.2     1    78     1    86     1    93 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65990.1           -           2193 943at5820            -           1188         0 1662.1  63.6   2  10   9.7e-48   5.9e-44  148.5   0.0    77   169   189   281   181   285 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65990.1           -           2193 943at5820            -           1188         0 1662.1  63.6   3  10   1.3e-49   7.8e-46  154.7   0.8   170   283   326   451   324   455 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65990.1           -           2193 943at5820            -           1188         0 1662.1  63.6   4  10  1.8e-118  1.1e-114  382.8  12.1   284   517   500   770   491   776 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65990.1           -           2193 943at5820            -           1188         0 1662.1  63.6   5  10   3.8e-48   2.3e-44  149.8   0.1   520   610   890   980   886   986 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65990.1           -           2193 943at5820            -           1188         0 1662.1  63.6   6  10   9.3e-43   5.7e-39  132.0   0.0   610   710  1003  1112   991  1117 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65990.1           -           2193 943at5820            -           1188         0 1662.1  63.6   7  10   1.1e-17   6.6e-14   49.0   0.1   711   772  1232  1298  1218  1319 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65990.1           -           2193 943at5820            -           1188         0 1662.1  63.6   8  10   8.7e-43   5.3e-39  132.1   2.9   778   884  1522  1635  1497  1639 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65990.1           -           2193 943at5820            -           1188         0 1662.1  63.6   9  10   2.5e-54   1.5e-50  170.3   3.8   906  1027  1806  1937  1800  1947 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65990.1           -           2193 943at5820            -           1188         0 1662.1  63.6  10  10   6.7e-80   4.1e-76  255.0   4.6  1032  1188  2012  2185  1999  2185 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/943at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/943at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/943at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:10:59 2026
# [ok]
