#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119715.1-p1      -           1123 2874at5820           -            780  1.9e-278  924.2  24.4   1   6     3e-67   2.8e-64  216.0  12.4     1   143    25   168    25   173 0.98 | transcript=PVX_119715.1 | gene=PVX_119715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1242268-1245639(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119715.1-p1      -           1123 2874at5820           -            780  1.9e-278  924.2  24.4   2   6   3.5e-94   3.2e-91  305.1   4.5   142   319   192   373   188   375 0.97 | transcript=PVX_119715.1 | gene=PVX_119715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1242268-1245639(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119715.1-p1      -           1123 2874at5820           -            780  1.9e-278  924.2  24.4   3   6   1.7e-41   1.5e-38  130.8   0.0   318   488   419   627   412   635 0.80 | transcript=PVX_119715.1 | gene=PVX_119715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1242268-1245639(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119715.1-p1      -           1123 2874at5820           -            780  1.9e-278  924.2  24.4   4   6   3.2e-30   2.9e-27   93.6   0.0   491   574   688   777   684   780 0.94 | transcript=PVX_119715.1 | gene=PVX_119715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1242268-1245639(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119715.1-p1      -           1123 2874at5820           -            780  1.9e-278  924.2  24.4   5   6   7.5e-18   6.9e-15   52.6   0.0   575   635   808   883   802   889 0.84 | transcript=PVX_119715.1 | gene=PVX_119715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1242268-1245639(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119715.1-p1      -           1123 2874at5820           -            780  1.9e-278  924.2  24.4   6   6   1.5e-39   1.4e-36  124.3   0.0   634   778   932  1112   928  1114 0.85 | transcript=PVX_119715.1 | gene=PVX_119715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1242268-1245639(+) | protein_length=1123 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 2874at5820           -            780   1.6e-14   51.5  46.2   1   4   3.3e-05     0.031   10.8   2.4   189   342     3   147     1   184 0.77 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 2874at5820           -            780   1.6e-14   51.5  46.2   2   4     0.062        57   -0.0   2.4   525   598   130   204   115   215 0.82 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 2874at5820           -            780   1.6e-14   51.5  46.2   3   4   4.6e-11   4.2e-08   30.2  20.5   169   306   210   347   193   357 0.76 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084820.1-p1      -            559 2874at5820           -            780   1.6e-14   51.5  46.2   4   4   5.2e-08   4.8e-05   20.1   8.6   173   331   353   500   341   522 0.79 | transcript=PVX_084820.1 | gene=PVX_084820 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=Pv_Sal1_chr13:677284-678963(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100995.1-p1      -            571 2874at5820           -            780   2.1e-11   41.1   7.0   1   1   3.4e-14   3.1e-11   40.5   7.0   193   339   399   531   380   539 0.83 | transcript=PVX_100995.1 | gene=PVX_100995 | organism=Plasmodium_vivax_Sal-1 | gene_product=TPR domain containing protein | transcript_product=TPR domain containing protein | location=Pv_Sal1_chr14:2571947-2573662(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
