#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69014.1           -           1914 775at5820            -           1195         0 2200.5 201.6   1   9   1.5e-56   4.4e-53  178.7  10.7     1   109    46   155    46   179 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69014.1           -           1914 775at5820            -           1195         0 2200.5 201.6   2   9  9.4e-168  2.9e-164  547.0  21.0    95   373   194   473   184   476 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69014.1           -           1914 775at5820            -           1195         0 2200.5 201.6   3   9  2.6e-163  7.9e-160  532.3  43.0   360   645   530   860   524   864 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69014.1           -           1914 775at5820            -           1195         0 2200.5 201.6   4   9   1.3e-30     4e-27   92.8   1.6   637   706   877   946   874   959 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69014.1           -           1914 775at5820            -           1195         0 2200.5 201.6   5   9  4.7e-225  1.4e-221  736.8  55.5   670  1064   953  1386   945  1393 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69014.1           -           1914 775at5820            -           1195         0 2200.5 201.6   6   9   6.8e-34   2.1e-30  103.7   7.9  1058  1124  1405  1471  1397  1505 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69014.1           -           1914 775at5820            -           1195         0 2200.5 201.6   7   9   3.8e-05      0.12    8.4   0.5  1118  1140  1519  1541  1508  1592 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69014.1           -           1914 775at5820            -           1195         0 2200.5 201.6   8   9   3.7e-08   0.00011   18.4   0.3  1142  1176  1658  1704  1648  1718 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69014.1           -           1914 775at5820            -           1195         0 2200.5 201.6   9   9   4.5e-06     0.014   11.5   3.3  1139  1195  1797  1855  1784  1855 0.72 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66663.1           -           1285 775at5820            -           1195   0.00027   17.2  17.4   1   2    0.0019       5.6    2.9   2.5   182   272   582   678   547   692 0.70 gamma-tubulin complex component, putative [Plasmodium vivax]
SCO66663.1           -           1285 775at5820            -           1195   0.00027   17.2  17.4   2   2   8.7e-08   0.00027   17.2  17.4   874  1017   866  1009   791  1012 0.92 gamma-tubulin complex component, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/775at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/775at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/775at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:04:04 2026
# [ok]
