#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72475.1           -            611 4261at5820           -            540         0 1038.5  61.0   1   1         0         0 1022.6  61.0     2   535     4   594     3   607 0.93 palmitoyltransferase, putative [Plasmodium vivax]
SCO71031.1           -            272 4261at5820           -            540   2.2e-15   55.1   7.2   1   2       3.1   1.2e+03   -3.5   2.1   241   274    26    60     3    70 0.45 palmitoyltransferase, putative [Plasmodium vivax]
SCO71031.1           -            272 4261at5820           -            540   2.2e-15   55.1   7.2   2   2   5.5e-18   2.2e-15   55.1   7.2   374   441    91   160    82   224 0.80 palmitoyltransferase, putative [Plasmodium vivax]
SCO73758.1           -            284 4261at5820           -            540   6.2e-15   53.6  15.6   1   1   1.6e-17   6.2e-15   53.6  15.6   373   488    95   231    82   261 0.71 palmitoyltransferase, putative [Plasmodium vivax]
SCO74163.1           -            641 4261at5820           -            540   1.4e-14   52.5  10.5   1   2   0.00047      0.18    9.1   0.3    62   211    62   136    23   206 0.66 palmitoyltransferase, putative [Plasmodium vivax]
SCO74163.1           -            641 4261at5820           -            540   1.4e-14   52.5  10.5   2   2   2.1e-15   8.2e-13   46.6   4.8   373   489   433   553   381   584 0.81 palmitoyltransferase, putative [Plasmodium vivax]
SCO75291.1           -            297 4261at5820           -            540   1.3e-12   45.9  15.1   1   1   3.4e-15   1.3e-12   45.9  15.1   377   488   128   253   120   274 0.68 palmitoyltransferase, putative [Plasmodium vivax]
SCO71163.1           -            287 4261at5820           -            540   3.9e-12   44.4   8.6   1   1   1.4e-14   5.6e-12   43.8   8.6   368   450    95   175    71   214 0.86 palmitoyltransferase, putative [Plasmodium vivax]
SCO72645.1           -            294 4261at5820           -            540   7.9e-12   43.3  16.2   1   1     6e-14   2.3e-11   41.8  16.2   357   488    77   218     2   243 0.67 palmitoyltransferase, putative [Plasmodium vivax]
SCO72250.1           -            188 4261at5820           -            540     2e-09   35.4   0.9   1   2   3.1e-08   1.2e-05   22.9   0.0   152   209    37    94    29   101 0.93 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO72250.1           -            188 4261at5820           -            540     2e-09   35.4   0.9   2   2   3.9e-05     0.015   12.7   0.5    66   103    92   129    87   148 0.71 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO72696.1           -            289 4261at5820           -            540   2.8e-07   28.3  26.7   1   1   7.1e-10   2.8e-07   28.3  26.7   355   515    85   264    57   272 0.70 palmitoyltransferase, putative [Plasmodium vivax]
SCO73057.1           -            437 4261at5820           -            540   3.8e-06   24.6  32.9   1   1   2.9e-08   1.2e-05   23.0  32.7   287   490   146   366   132   406 0.58 palmitoyltransferase, putative [Plasmodium vivax]
SCO71590.1           -           1866 4261at5820           -            540   1.8e-05   22.4   1.9   1   1   7.4e-08   2.9e-05   21.7   1.9    38   196  1036  1198  1020  1232 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO71649.1           -            281 4261at5820           -            540   5.5e-05   20.8   8.7   1   2       4.4   1.7e+03   -4.0   1.2   187   196    35    44    19    77 0.50 palmitoyltransferase, putative [Plasmodium vivax]
SCO71649.1           -            281 4261at5820           -            540   5.5e-05   20.8   8.7   2   2   1.4e-07   5.5e-05   20.8   8.7   378   479   113   226   100   237 0.67 palmitoyltransferase, putative [Plasmodium vivax]
SCO71248.1           -            185 4261at5820           -            540   5.6e-05   20.7   4.4   1   2    0.0008      0.31    8.4   3.4   164   243    23   100     9   103 0.80 conserved protein, unknown function [Plasmodium vivax]
SCO71248.1           -            185 4261at5820           -            540   5.6e-05   20.7   4.4   2   2   5.4e-07   0.00021   18.8   4.2   127   217    56   143    33   165 0.79 conserved protein, unknown function [Plasmodium vivax]
SCO75303.1           -           1010 4261at5820           -            540     9e-05   20.1  32.6   1   2   2.3e-07     9e-05   20.1  32.6   367   492   127   270    40   290 0.70 palmitoyltransferase, putative [Plasmodium vivax]
SCO75303.1           -           1010 4261at5820           -            540     9e-05   20.1  32.6   2   2       3.6   1.4e+03   -3.7   1.0   369   369   915   915   869  1001 0.52 palmitoyltransferase, putative [Plasmodium vivax]
SCO71707.1           -            482 4261at5820           -            540   0.00028   18.5   0.1   1   1   1.7e-06   0.00066   17.2   0.1   151   244    89   181    41   190 0.79 bromodomain protein 1, putative [Plasmodium vivax]
SCO72676.1           -            366 4261at5820           -            540    0.0038   14.7   0.1   1   1   1.5e-05    0.0059   14.1   0.1    29   209   270   340   256   351 0.57 acyl-CoA-binding protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4261at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4261at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4261at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:46:48 2026
# [ok]
