#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1142300.1-p1   -           1899 841at5820            -            990         0 1435.3  68.9   1  10  2.1e-153  1.4e-149  498.3   8.8     1   294     1   330     1   339 0.90 | transcript=PVP01_1142300.1 | gene=PVP01_1142300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1795943-1801854(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142300.1-p1   -           1899 841at5820            -            990         0 1435.3  68.9   2  10  2.7e-101   1.8e-97  325.8   3.5   294   477   361   572   355   623 0.85 | transcript=PVP01_1142300.1 | gene=PVP01_1142300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1795943-1801854(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142300.1-p1   -           1899 841at5820            -            990         0 1435.3  68.9   3  10   5.8e-17   3.8e-13   46.7   1.9   510   553   973  1016   966  1028 0.85 | transcript=PVP01_1142300.1 | gene=PVP01_1142300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1795943-1801854(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142300.1-p1   -           1899 841at5820            -            990         0 1435.3  68.9   4  10   6.6e-10   4.3e-06   23.3   1.8   544   576  1048  1083  1014  1088 0.71 | transcript=PVP01_1142300.1 | gene=PVP01_1142300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1795943-1801854(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142300.1-p1   -           1899 841at5820            -            990         0 1435.3  68.9   5  10   1.4e-08   8.8e-05   19.0   0.0   573   601  1197  1225  1192  1235 0.90 | transcript=PVP01_1142300.1 | gene=PVP01_1142300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1795943-1801854(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142300.1-p1   -           1899 841at5820            -            990         0 1435.3  68.9   6  10   1.1e-12   6.9e-09   32.6   0.0   599   644  1255  1300  1247  1304 0.92 | transcript=PVP01_1142300.1 | gene=PVP01_1142300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1795943-1801854(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142300.1-p1   -           1899 841at5820            -            990         0 1435.3  68.9   7  10   4.4e-16   2.9e-12   43.8   0.4   644   711  1330  1402  1327  1406 0.91 | transcript=PVP01_1142300.1 | gene=PVP01_1142300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1795943-1801854(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142300.1-p1   -           1899 841at5820            -            990         0 1435.3  68.9   8  10   1.2e-62   8.1e-59  197.8   1.0   696   820  1430  1560  1418  1565 0.93 | transcript=PVP01_1142300.1 | gene=PVP01_1142300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1795943-1801854(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142300.1-p1   -           1899 841at5820            -            990         0 1435.3  68.9   9  10     3e-82   1.9e-78  262.8   2.4   818   962  1668  1812  1662  1835 0.92 | transcript=PVP01_1142300.1 | gene=PVP01_1142300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1795943-1801854(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142300.1-p1   -           1899 841at5820            -            990         0 1435.3  68.9  10  10   4.3e-08   0.00028   17.3   0.3   965   990  1858  1883  1844  1883 0.90 | transcript=PVP01_1142300.1 | gene=PVP01_1142300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_11_v2:1795943-1801854(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
