#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66893.1           -           1398 2733at5820           -            722         0 1075.4 168.9   1  10   1.2e-08   3.7e-05   20.7   6.9     1    27    40    66    40    85 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66893.1           -           1398 2733at5820           -            722         0 1075.4 168.9   2  10         2   6.1e+03  -18.4  29.1    23    49   110   137   102   139 0.50 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66893.1           -           1398 2733at5820           -            722         0 1075.4 168.9   3  10   1.4e-10   4.4e-07   27.1  32.9    24    72   129   182   128   195 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66893.1           -           1398 2733at5820           -            722         0 1075.4 168.9   4  10   4.1e-07    0.0013   15.6   1.6    70    97   209   236   198   245 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66893.1           -           1398 2733at5820           -            722         0 1075.4 168.9   5  10   2.2e-72   6.6e-69  231.4  15.3   101   228   318   445   306   451 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66893.1           -           1398 2733at5820           -            722         0 1075.4 168.9   6  10   7.1e-90   2.2e-86  289.2  12.7   225   374   494   643   489   648 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66893.1           -           1398 2733at5820           -            722         0 1075.4 168.9   7  10   1.4e-11   4.3e-08   30.4   0.1   372   404   709   741   696   749 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66893.1           -           1398 2733at5820           -            722         0 1075.4 168.9   8  10   1.7e-09   5.1e-06   23.5   0.2   402   431   806   835   800   841 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66893.1           -           1398 2733at5820           -            722         0 1075.4 168.9   9  10   1.1e-42   3.3e-39  133.2   0.9   425   526   896  1011   890  1031 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66893.1           -           1398 2733at5820           -            722         0 1075.4 168.9  10  10  2.7e-112  8.3e-109  363.3  20.0   540   721  1169  1350  1158  1351 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65861.1           -            519 2733at5820           -            722   2.4e-18   64.3  47.7   1   3   1.3e-12   4.1e-09   33.8   7.5    89   207    45   164    14   171 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65861.1           -            519 2733at5820           -            722   2.4e-18   64.3  47.7   2   3   1.5e-15   4.5e-12   43.5  14.7   233   369   169   304   161   312 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65861.1           -            519 2733at5820           -            722   2.4e-18   64.3  47.7   3   3     0.048   1.4e+02   -1.1  10.5   539   674   326   468   313   506 0.62 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2733at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2733at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2733at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:43:36 2026
# [ok]
