#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73310.1           -            522 6576at5820           -            385  6.4e-200  662.3  28.1   1   2   1.6e-52   2.9e-50  169.7   0.8    12   121    86   203    84   214 0.91 ATP-dependent helicase, putative [Plasmodium vivax]
SCO73310.1           -            522 6576at5820           -            385  6.4e-200  662.3  28.1   2   2  4.6e-152  8.2e-150  497.4  20.6   116   385   224   500   216   500 0.98 ATP-dependent helicase, putative [Plasmodium vivax]
SCO75518.1           -            717 6576at5820           -            385   1.2e-26   91.9   0.5   1   2   1.5e-05    0.0026   15.1   0.0    17    85   277   344   266   347 0.91 DNA helicase 60, putative [Plasmodium vivax]
SCO75518.1           -            717 6576at5820           -            385   1.2e-26   91.9   0.5   2   2   2.7e-23   4.9e-21   73.5   0.7   114   353   452   686   441   696 0.81 DNA helicase 60, putative [Plasmodium vivax]
SCO74455.1           -            528 6576at5820           -            385   4.1e-24   83.6   0.2   1   2   9.3e-06    0.0017   15.8   0.0    27    84   122   179   113   218 0.88 ATP-dependent RNA helicase DDX5, putative [Plasmodium vivax]
SCO74455.1           -            528 6576at5820           -            385   4.1e-24   83.6   0.2   2   2   8.7e-21   1.6e-18   65.2   0.1   114   348   237   467   229   479 0.84 ATP-dependent RNA helicase DDX5, putative [Plasmodium vivax]
SCO73552.1           -            599 6576at5820           -            385     2e-22   78.0  11.1   1   1   2.3e-22   4.2e-20   70.4  11.1    14   350   142   499   136   537 0.79 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO73265.1           -           1435 6576at5820           -            385   3.6e-21   73.9   5.2   1   2   0.00016     0.028   11.7   0.0    56   116   706   772   674   777 0.72 pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative [Plasmodium vivax]
SCO73265.1           -           1435 6576at5820           -            385   3.6e-21   73.9   5.2   2   2   3.3e-19   5.9e-17   60.0   5.0   114   365   792  1040   780  1052 0.80 pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative [Plasmodium vivax]
SCO74062.1           -            489 6576at5820           -            385   1.3e-20   72.0   0.2   1   3   1.6e-06   0.00028   18.3   0.0    19   119    59   160    56   168 0.89 ATP-dependent RNA helicase DBP8, putative [Plasmodium vivax]
SCO74062.1           -            489 6576at5820           -            385   1.3e-20   72.0   0.2   2   3    0.0081       1.5    6.1   0.0   114   160   177   224   166   232 0.82 ATP-dependent RNA helicase DBP8, putative [Plasmodium vivax]
SCO74062.1           -            489 6576at5820           -            385   1.3e-20   72.0   0.2   3   3   2.4e-14   4.4e-12   44.0   0.2   245   347   318   423   277   439 0.83 ATP-dependent RNA helicase DBP8, putative [Plasmodium vivax]
SCO71006.1           -            533 6576at5820           -            385   2.2e-20   71.3   8.3   1   1   5.7e-21     1e-18   65.8   8.3    18   347   126   470   121   496 0.77 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO75363.1           -            923 6576at5820           -            385   6.1e-20   69.9  12.3   1   2   3.5e-06   0.00062   17.2   0.2    23    84   345   406   338   449 0.88 DEAD/DEAH box helicase, putative [Plasmodium vivax]
