#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO72294.1           -           2420 682at5820            -           1021  7.4e-249  827.1 208.4   1  15         1   6.3e+03  -12.0  19.3   419   534    52   174    27   281 0.48 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72294.1           -           2420 682at5820            -           1021  7.4e-249  827.1 208.4   2  15   2.2e-21   1.4e-17   61.5   5.2    11    93   295   384   283   390 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72294.1           -           2420 682at5820            -           1021  7.4e-249  827.1 208.4   3  15   3.3e-19   2.1e-15   54.3   0.1   110   149   440   479   407   500 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72294.1           -           2420 682at5820            -           1021  7.4e-249  827.1 208.4   4  15   1.3e-36   8.5e-33  111.8   0.3   154   237   529   615   515   618 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72294.1           -           2420 682at5820            -           1021  7.4e-249  827.1 208.4   5  15   6.5e-76   4.1e-72  242.0  12.2   230   366   635   784   631   797 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72294.1           -           2420 682at5820            -           1021  7.4e-249  827.1 208.4   6  15   1.4e-15   8.5e-12   42.3   3.8   364   405   836   877   827   885 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72294.1           -           2420 682at5820            -           1021  7.4e-249  827.1 208.4   7  15         1   6.3e+03   -7.9  28.4   395   480   959  1047   948  1065 0.69 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72294.1           -           2420 682at5820            -           1021  7.4e-249  827.1 208.4   8  15     3e-05      0.19    8.0   2.7   407   476  1065  1135  1040  1161 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72294.1           -           2420 682at5820            -           1021  7.4e-249  827.1 208.4   9  15   0.00034       2.2    4.6   0.2   497   534  1271  1308  1217  1322 0.69 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72294.1           -           2420 682at5820            -           1021  7.4e-249  827.1 208.4  10  15   2.1e-16   1.3e-12   45.0  10.6   520   621  1454  1560  1429  1573 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72294.1           -           2420 682at5820            -           1021  7.4e-249  827.1 208.4  11  15   8.4e-22   5.3e-18   62.9   8.0   616   728  1613  1723  1591  1762 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72294.1           -           2420 682at5820            -           1021  7.4e-249  827.1 208.4  12  15     0.024   1.5e+02   -1.6   7.6   400   480  1757  1840  1746  1853 0.56 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72294.1           -           2420 682at5820            -           1021  7.4e-249  827.1 208.4  13  15    0.0017        11    2.2   0.1   739   765  1942  1968  1922  1995 0.66 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72294.1           -           2420 682at5820            -           1021  7.4e-249  827.1 208.4  14  15   2.6e-23   1.7e-19   67.8  15.2   772   908  2012  2216  1984  2225 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO72294.1           -           2420 682at5820            -           1021  7.4e-249  827.1 208.4  15  15   3.3e-66   2.1e-62  209.8   4.5   906  1021  2298  2415  2281  2415 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/682at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/682at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/682at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:53:53 2026
# [ok]
