#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0833400.1-p1   -            532 4796at5820           -            494         0 1064.1  12.5   1   1         0         0 1063.9  12.5     1   494     8   529     8   529 0.98 | transcript=PVP01_0833400.1 | gene=PVP01_0833400 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=PvP01_08_v2:1424407-1426005(+) | protein_length=532 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0933000.1-p1   -            543 4796at5820           -            494   5.8e-84  281.0   6.6   1   1   1.1e-86   7.7e-84  280.6   6.6    14   494    15   538     6   538 0.84 | transcript=PVP01_0933000.1 | gene=PVP01_0933000 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=PvP01_09_v2:1413429-1415302(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819900.1-p1   -            535 4796at5820           -            494   1.8e-76  256.3  18.6   1   1   3.1e-79   2.2e-76  256.0  18.6     9   488    23   530    14   533 0.84 | transcript=PVP01_0819900.1 | gene=PVP01_0819900 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=PvP01_08_v2:879599-881206(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0832000.1-p1   -            540 4796at5820           -            494   1.3e-70  237.0  12.7   1   1   2.9e-73   2.1e-70  236.3  12.7     2   489    12   526    11   530 0.84 | transcript=PVP01_0832000.1 | gene=PVP01_0832000 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=PvP01_08_v2:1369899-1371678(+) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114100.1-p1   -            529 4796at5820           -            494   7.9e-66  221.2  17.5   1   1   1.5e-68   1.1e-65  220.7  17.5    10   489    18   528    11   529 0.83 | transcript=PVP01_1114100.1 | gene=PVP01_1114100 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1, delta subunit, putative | transcript_product=T-complex protein 1, delta subunit, putative | location=PvP01_11_v2:606928-609269(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1447600.1-p1   -            544 4796at5820           -            494   7.5e-54  181.7  15.2   1   1   1.3e-56   9.7e-54  181.3  15.2     3   488    12   527    10   532 0.81 | transcript=PVP01_1447600.1 | gene=PVP01_1447600 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=PvP01_14_v2:2070243-2072059(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410900.1-p1   -            544 4796at5820           -            494     4e-36  123.2  22.6   1   1   6.9e-39     5e-36  122.9  22.6     2   491    12   527    11   529 0.80 | transcript=PVP01_0410900.1 | gene=PVP01_0410900 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=PvP01_04_v2:447288-449168(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140200.1-p1   -            543 4796at5820           -            494   2.7e-23   80.9  12.3   1   1   3.9e-25   2.8e-22   77.5  12.3    25   489    29   535    17   538 0.77 | transcript=PVP01_1140200.1 | gene=PVP01_1140200 | organism=Plasmodium_vivax_P01 | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=PvP01_11_v2:1716030-1717840(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442100.1-p1   -            244 4796at5820           -            494    0.0016   15.7   0.2   1   2   0.00013     0.097    9.8   0.1    22    70    55    99    48   119 0.86 | transcript=PVP01_1442100.1 | gene=PVP01_1442100 | organism=Plasmodium_vivax_P01 | gene_product=50S ribosomal protein L24, putative | transcript_product=50S ribosomal protein L24, putative | location=PvP01_14_v2:1835221-1835955(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442100.1-p1   -            244 4796at5820           -            494    0.0016   15.7   0.2   2   2    0.0076       5.5    4.0   0.0   172   209   161   201   152   208 0.82 | transcript=PVP01_1442100.1 | gene=PVP01_1442100 | organism=Plasmodium_vivax_P01 | gene_product=50S ribosomal protein L24, putative | transcript_product=50S ribosomal protein L24, putative | location=PvP01_14_v2:1835221-1835955(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4796at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4796at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4796at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:06 2026
# [ok]
