#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66831.1           -            273 9897at5820           -            230  7.9e-147  485.3   8.4   1   2       4.4   2.4e+03   -3.8   0.3     1     8    12    19    12    20 0.90 proteasome subunit beta type-5, putative [Plasmodium vivax]
SCO66831.1           -            273 9897at5820           -            230  7.9e-147  485.3   8.4   2   2  1.4e-149  7.9e-147  485.3   8.4     2   230    28   273    27   273 0.97 proteasome subunit beta type-5, putative [Plasmodium vivax]
SCO68642.1           -            270 9897at5820           -            230   1.4e-21   75.5   0.0   1   1   3.3e-24   1.8e-21   75.1   0.0    23   218    36   239    21   246 0.88 proteasome subunit beta type-7, putative [Plasmodium vivax]
SCO66647.1           -            282 9897at5820           -            230   3.3e-13   48.1   5.1   1   2     2e-08   1.1e-05   23.5   0.0    25    78    27    80    18   102 0.91 proteasome subunit beta type-6, putative [Plasmodium vivax]
SCO66647.1           -            282 9897at5820           -            230   3.3e-13   48.1   5.1   2   2   4.7e-09   2.6e-06   25.6   2.3   110   201   166   266   139   282 0.75 proteasome subunit beta type-6, putative [Plasmodium vivax]
SCO65017.1           -            256 9897at5820           -            230   1.2e-11   43.0   1.3   1   2   1.1e-13   6.2e-11   40.7   0.1    26    90     8    72     3   130 0.86 proteasome subunit beta type-4, putative [Plasmodium vivax]
SCO65017.1           -            256 9897at5820           -            230   1.2e-11   43.0   1.3   2   2      0.12        65    1.3   0.1   138   203   152   225   141   245 0.70 proteasome subunit beta type-4, putative [Plasmodium vivax]
SCO67716.1           -            241 9897at5820           -            230     2e-07   29.2   1.2   1   1   1.8e-09   9.8e-07   26.9   1.2    24   170    35   182    18   237 0.82 proteasome subunit beta type-1, putative [Plasmodium vivax]
SCO70060.1           -            207 9897at5820           -            230     4e-07   28.2   0.0   1   2   2.7e-08   1.5e-05   23.1   0.0    21    89    31   100    19   111 0.87 ATP-dependent protease subunit ClpQ, putative [Plasmodium vivax]
SCO70060.1           -            207 9897at5820           -            230     4e-07   28.2   0.0   2   2     0.031        17    3.2   0.0   149   182   152   187   136   196 0.78 ATP-dependent protease subunit ClpQ, putative [Plasmodium vivax]
SCO65182.1           -            256 9897at5820           -            230   1.3e-06   26.5   0.1   1   1   4.9e-09   2.7e-06   25.5   0.1    25   174    32   191    22   225 0.81 proteasome subunit alpha type-5, putative [Plasmodium vivax]
SCO65121.1           -            218 9897at5820           -            230     2e-06   25.9   0.1   1   1   6.5e-09   3.6e-06   25.1   0.1    26   148     8   127     2   137 0.87 proteasome subunit beta type-3, putative [Plasmodium vivax]
SCO68081.1           -            246 9897at5820           -            230   7.5e-05   20.8   2.5   1   1   1.8e-07    0.0001   20.3   2.5    27   171    31   180    20   240 0.79 proteasome subunit alpha type-4, putative [Plasmodium vivax]
SCO68307.1           -            235 9897at5820           -            230   0.00012   20.0   0.4   1   1   2.9e-07   0.00016   19.7   0.4    29   182    34   191    22   203 0.82 proteasome subunit alpha type-2, putative [Plasmodium vivax]
SCO69076.1           -            269 9897at5820           -            230    0.0071   14.3   0.6   1   1   1.7e-05    0.0097   13.9   0.6    25   152    30   157    23   178 0.70 proteasome subunit alpha type-1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9897at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9897at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9897at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:16:04 2026
# [ok]
