#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723237.1         -            337 11923at5820          -            253  5.5e-136  450.3  53.7   1   1  1.7e-138  7.1e-136  449.9  53.7     1   248    67   321    67   326 0.97 | transcript=PVPAM_140015600_t1 | gene=PVPAM_140015600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000014:496845-497858(-) | protein_length=337 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720654.1         -            381 11923at5820          -            253   7.9e-08   30.4   2.4   1   2   1.8e-10   7.9e-08   30.4   2.4    32   111   101   178    87   183 0.86 | transcript=PVPAM_090041800_t1 | gene=PVPAM_090041800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1633073-1634829(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720654.1         -            381 11923at5820          -            253   7.9e-08   30.4   2.4   2   2       7.3   3.1e+03   -4.3   5.4   130   167   307   345   268   376 0.56 | transcript=PVPAM_090041800_t1 | gene=PVPAM_090041800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1633073-1634829(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723355.1         -            718 11923at5820          -            253   2.6e-07   28.7   0.1   1   3       3.8   1.7e+03   -3.4   0.3   213   241    56    88    49    98 0.57 | transcript=PVPAM_140027400_t1 | gene=PVPAM_140027400 | organism=Plasmodium_vivax_PAM | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=CASCJQ010000014:968475-970631(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723355.1         -            718 11923at5820          -            253   2.6e-07   28.7   0.1   2   3   6.1e-10   2.6e-07   28.7   0.1    44   106   128   191   116   195 0.84 | transcript=PVPAM_140027400_t1 | gene=PVPAM_140027400 | organism=Plasmodium_vivax_PAM | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=CASCJQ010000014:968475-970631(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723355.1         -            718 11923at5820          -            253   2.6e-07   28.7   0.1   3   3       6.1   2.6e+03   -4.0   0.3   206   246   304   344   287   346 0.50 | transcript=PVPAM_140027400_t1 | gene=PVPAM_140027400 | organism=Plasmodium_vivax_PAM | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=CASCJQ010000014:968475-970631(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722759.1         -            245 11923at5820          -            253   2.9e-07   28.6   0.2   1   1   9.1e-10   3.9e-07   28.1   0.2    42   105     3    68     1    92 0.86 | transcript=PVPAM_130026000_t1 | gene=PVPAM_130026000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=CASCJQ010000013:953395-955087(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721341.1         -            380 11923at5820          -            253   5.6e-07   27.6   3.5   1   2   1.3e-09   5.6e-07   27.6   3.5    43   116    44   117    35   135 0.87 | transcript=PVPAM_110024400_t1 | gene=PVPAM_110024400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:833152-834294(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721341.1         -            380 11923at5820          -            253   5.6e-07   27.6   3.5   2   2       1.4   6.1e+02   -2.0   0.8   207   233   229   255   212   273 0.63 | transcript=PVPAM_110024400_t1 | gene=PVPAM_110024400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:833152-834294(+) | protein_length=380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722769.1         -            421 11923at5820          -            253     1e-06   26.7   0.1   1   2   2.4e-09     1e-06   26.7   0.1    37   106    19    85    12    95 0.85 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722769.1         -            421 11923at5820          -            253     1e-06   26.7   0.1   2   2       2.2   9.5e+02   -2.6   7.8   139   198   339   402   331   412 0.61 | transcript=PVPAM_130027000_t1 | gene=PVPAM_130027000 | organism=Plasmodium_vivax_PAM | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=CASCJQ010000013:998505-1000337(-) | protein_length=421 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 11923at5820          -            253     9e-06   23.7   0.9   1   1   3.7e-08   1.6e-05   22.9   0.9    47   107     6    70     2    77 0.82 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722526.1         -            406 11923at5820          -            253   1.6e-05   22.9   0.1   1   1   7.5e-08   3.2e-05   21.9   0.1    40   106    77   147    63   158 0.84 | transcript=PVPAM_120076500_t1 | gene=PVPAM_120076500 | organism=Plasmodium_vivax_PAM | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=CASCJQ010000012:3002108-3003951(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722051.1         -            334 11923at5820          -            253   2.1e-05   22.5   0.0   1   1   8.5e-08   3.7e-05   21.7   0.0    46   107    44   107    17   112 0.84 | transcript=PVPAM_120028900_t1 | gene=PVPAM_120028900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:922936-924975(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722993.1         -            381 11923at5820          -            253   4.6e-05   21.4   0.7   1   1   2.2e-07   9.5e-05   20.3   0.7    40   108    50   118    46   130 0.88 | transcript=PVPAM_130049900_t1 | gene=PVPAM_130049900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1983241-1984755(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721196.1         -            128 11923at5820          -            253   0.00014   19.8   7.9   1   1   3.5e-07   0.00015   19.7   7.9   116   197    19   103     6   126 0.80 | transcript=PVPAM_110009800_t1 | gene=PVPAM_110009800 | organism=Plasmodium_vivax_PAM | gene_product=DIP13 homolog, putative | transcript_product=DIP13 homolog, putative | location=CASCJQ010000011:194349-194932(-) | protein_length=128 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721120.1         -            177 11923at5820          -            253   0.00021   19.2   6.9   1   1   3.3e-06    0.0014   16.5   6.9    45   165     8   133     2   140 0.61 | transcript=PVPAM_100038800_t1 | gene=PVPAM_100038800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:1445270-1445803(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719632.1         -            378 11923at5820          -            253     0.001   17.0   0.1   1   2   2.3e-06     0.001   17.0   0.1    45   105    53   113    45   121 0.87 | transcript=PVPAM_070024600_t1 | gene=PVPAM_070024600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000007:878362-880295(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719632.1         -            378 11923at5820          -            253     0.001   17.0   0.1   2   2         9   3.9e+03   -4.6   9.5   170   234   282   349   242   359 0.48 | transcript=PVPAM_070024600_t1 | gene=PVPAM_070024600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000007:878362-880295(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721290.1         -            201 11923at5820          -            253    0.0055   14.6   0.7   1   2   1.3e-05    0.0055   14.6   0.7    48   103     5    60     2    83 0.91 | transcript=PVPAM_110019200_t1 | gene=PVPAM_110019200 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:606094-607727(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721290.1         -            201 11923at5820          -            253    0.0055   14.6   0.7   2   2      0.34   1.5e+02    0.0   1.1   175   199    94   118    71   146 0.60 | transcript=PVPAM_110019200_t1 | gene=PVPAM_110019200 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:606094-607727(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
