#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66542.1           -            147 3825at5820           -            620     2e-68  229.7   8.7   1   1   4.8e-71   3.3e-68  229.0   8.7     1   132     1   147     1   147 0.92 dynein intermediate chain, putative [Plasmodium vivax]
SCO69886.1           -           1226 3825at5820           -            620   6.5e-17   59.6  48.2   1   5         9   6.1e+03  -26.4  30.1   192   274   207   298   164   436 0.53 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69886.1           -           1226 3825at5820           -            620   6.5e-17   59.6  48.2   2   5      0.51   3.4e+02   -2.3   4.4   188   242   577   637   549   655 0.63 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69886.1           -           1226 3825at5820           -            620   6.5e-17   59.6  48.2   3   5   1.2e-07   8.4e-05   19.6  30.5   172   415   620   898   574   913 0.72 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69886.1           -           1226 3825at5820           -            620   6.5e-17   59.6  48.2   4   5      0.17   1.1e+02   -0.7   0.4   245   308   893   955   887   967 0.70 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69886.1           -           1226 3825at5820           -            620   6.5e-17   59.6  48.2   5   5   1.8e-18   1.2e-15   55.4   9.7   440   602  1041  1207  1012  1218 0.79 WD repeat-containing protein, putative [Plasmodium vivax]
SCO69972.1           -            430 3825at5820           -            620   5.4e-06   23.5   2.3   1   1   1.2e-08   8.2e-06   22.9   1.7   429   512   290   373   277   418 0.74 protein TSSC1, putative [Plasmodium vivax]
SCO65804.1           -            322 3825at5820           -            620     1e-05   22.6   7.5   1   3   3.7e-06    0.0025   14.7   0.9   392   554    33   196    28   207 0.79 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 3825at5820           -            620     1e-05   22.6   7.5   2   3     0.094        64    0.2   0.1   472   512   239   276   230   292 0.72 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 3825at5820           -            620     1e-05   22.6   7.5   3   3   0.00013     0.085    9.6   0.1   340   368   292   320   289   322 0.94 receptor for activated c kinase, putative [Plasmodium vivax]
SCO69273.1           -            509 3825at5820           -            620     3e-05   21.1   4.6   1   3      0.25   1.7e+02   -1.2   2.6   321   372   122   173   105   226 0.70 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
