#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70630.1           -           1196 1494at5820           -            912         0 1833.5  44.9   1   4  4.6e-222  4.8e-219  728.2  10.5     7   351    40   394    35   400 0.98 calcium-transporting ATPase, putative [Plasmodium vivax]
SCO70630.1           -           1196 1494at5820           -            912         0 1833.5  44.9   2   4   3.5e-41   3.6e-38  129.6   0.8   355   438   490   582   481   588 0.90 calcium-transporting ATPase, putative [Plasmodium vivax]
SCO70630.1           -           1196 1494at5820           -            912         0 1833.5  44.9   3   4   1.1e-62   1.1e-59  200.8   7.3   431   562   619   788   613   800 0.86 calcium-transporting ATPase, putative [Plasmodium vivax]
SCO70630.1           -           1196 1494at5820           -            912         0 1833.5  44.9   4   4  6.5e-239  6.8e-236  783.9   3.8   560   912   827  1185   817  1185 0.98 calcium-transporting ATPase, putative [Plasmodium vivax]
SCO74697.1           -           1351 1494at5820           -            912  1.9e-107  358.9  18.0   1   5   8.8e-52   9.2e-49  164.7   6.2     6   336   226   544   222   553 0.90 non-SERCA-type Ca2+-transporting P-ATPase, putative [Plasmodium vivax]
SCO74697.1           -           1351 1494at5820           -            912  1.9e-107  358.9  18.0   2   5    0.0057         6    3.1   0.0   406   481   535   618   534   633 0.80 non-SERCA-type Ca2+-transporting P-ATPase, putative [Plasmodium vivax]
SCO74697.1           -           1351 1494at5820           -            912  1.9e-107  358.9  18.0   3   5   2.4e-08   2.5e-05   20.9   0.0   508   559   813   864   803   867 0.91 non-SERCA-type Ca2+-transporting P-ATPase, putative [Plasmodium vivax]
SCO74697.1           -           1351 1494at5820           -            912  1.9e-107  358.9  18.0   4   5     2e-53   2.1e-50  170.1   0.1   582   741   921  1080   884  1123 0.89 non-SERCA-type Ca2+-transporting P-ATPase, putative [Plasmodium vivax]
SCO74697.1           -           1351 1494at5820           -            912  1.9e-107  358.9  18.0   5   5   0.00035      0.36    7.2   0.2   813   904  1245  1337  1228  1346 0.79 non-SERCA-type Ca2+-transporting P-ATPase, putative [Plasmodium vivax]
SCO75481.1           -           1592 1494at5820           -            912   5.6e-12   43.0  38.6   1   5   1.2e-05     0.013   12.0   1.1    24   172    79   227    66   231 0.68 phospholipid-transporting ATPase, putative [Plasmodium vivax]
SCO75481.1           -           1592 1494at5820           -            912   5.6e-12   43.0  38.6   2   5     3e-05     0.031   10.7   2.3   169   338   619   775   565   819 0.69 phospholipid-transporting ATPase, putative [Plasmodium vivax]
