#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65995.1           -           5451 86at5820             -           2862         0 2997.5 208.5   1  35     2e-15   1.2e-11   40.5   0.3     1    47     3    49     3    55 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65995.1           -           5451 86at5820             -           2862         0 2997.5 208.5   2  35   5.9e-10   3.6e-06   22.4   0.0    48    84    80   117    74   121 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65995.1           -           5451 86at5820             -           2862         0 2997.5 208.5   3  35   0.00023       1.4    3.8   0.0    84   104   155   175   150   178 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65995.1           -           5451 86at5820             -           2862         0 2997.5 208.5   4  35   5.4e-32   3.3e-28   95.5   1.0   105   203   230   331   224   343 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65995.1           -           5451 86at5820             -           2862         0 2997.5 208.5   5  35   3.1e-34   1.9e-30  103.0   0.0   200   299   358   463   349   474 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65995.1           -           5451 86at5820             -           2862         0 2997.5 208.5   6  35     0.013        77   -1.9   0.0   303   323   537   557   532   563 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65995.1           -           5451 86at5820             -           2862         0 2997.5 208.5   7  35   5.2e-15   3.2e-11   39.2   0.0   326   390   607   673   603   677 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65995.1           -           5451 86at5820             -           2862         0 2997.5 208.5   8  35   3.5e-05      0.21    6.6   0.0   386   420   711   748   699   750 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65995.1           -           5451 86at5820             -           2862         0 2997.5 208.5   9  35   3.6e-07    0.0022   13.2   0.4   418   453   800   835   798   859 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65995.1           -           5451 86at5820             -           2862         0 2997.5 208.5  10  35   2.6e-23   1.6e-19   66.8   0.1   450   516   870   940   865   964 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65995.1           -           5451 86at5820             -           2862         0 2997.5 208.5  11  35   6.1e-19   3.7e-15   52.2   1.4   511   578   996  1070   990  1091 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65995.1           -           5451 86at5820             -           2862         0 2997.5 208.5  12  35   1.1e-12   6.6e-09   31.5   0.0   576   642  1109  1187  1105  1190 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65995.1           -           5451 86at5820             -           2862         0 2997.5 208.5  13  35   7.4e-13   4.5e-09   32.0   0.0   642   691  1225  1279  1222  1285 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65995.1           -           5451 86at5820             -           2862         0 2997.5 208.5  14  35   2.4e-12   1.5e-08   30.3   0.1   683   742  1318  1392  1316  1396 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65995.1           -           5451 86at5820             -           2862         0 2997.5 208.5  15  35   3.5e-22   2.1e-18   63.0   0.0   762   833  1575  1647  1571  1657 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
