#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0829000.1-p1   -           1298 2069at5820           -            719  1.2e-277  921.9   3.8   1   7     2e-99   4.2e-96  321.7   0.0    21   215   219   419   213   435 0.95 | transcript=PVP01_0829000.1 | gene=PVP01_0829000 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_08_v2:1256630-1260665(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829000.1-p1   -           1298 2069at5820           -            719  1.2e-277  921.9   3.8   2   7   1.1e-19   2.4e-16   58.0   0.0   228   280   507   560   496   574 0.93 | transcript=PVP01_0829000.1 | gene=PVP01_0829000 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_08_v2:1256630-1260665(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829000.1-p1   -           1298 2069at5820           -            719  1.2e-277  921.9   3.8   3   7       0.1   2.2e+02   -1.3   0.0   278   294   583   599   578   603 0.79 | transcript=PVP01_0829000.1 | gene=PVP01_0829000 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_08_v2:1256630-1260665(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829000.1-p1   -           1298 2069at5820           -            719  1.2e-277  921.9   3.8   4   7   7.6e-30   1.6e-26   91.7   0.0   293   367   658   742   652   745 0.87 | transcript=PVP01_0829000.1 | gene=PVP01_0829000 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_08_v2:1256630-1260665(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829000.1-p1   -           1298 2069at5820           -            719  1.2e-277  921.9   3.8   5   7   3.3e-50   7.3e-47  158.9   0.1   368   466   780   879   776   882 0.97 | transcript=PVP01_0829000.1 | gene=PVP01_0829000 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_08_v2:1256630-1260665(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829000.1-p1   -           1298 2069at5820           -            719  1.2e-277  921.9   3.8   6   7   2.2e-61   4.9e-58  195.9   0.8   466   610   917  1084   915  1088 0.86 | transcript=PVP01_0829000.1 | gene=PVP01_0829000 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_08_v2:1256630-1260665(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829000.1-p1   -           1298 2069at5820           -            719  1.2e-277  921.9   3.8   7   7   4.3e-27   9.4e-24   82.5   0.0   612   713  1117  1256  1113  1259 0.79 | transcript=PVP01_0829000.1 | gene=PVP01_0829000 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_08_v2:1256630-1260665(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 2069at5820           -            719   5.1e-40  136.3  13.7   1   4   2.1e-22   4.5e-19   67.1   2.9    13   218    16   237     7   264 0.81 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 2069at5820           -            719   5.1e-40  136.3  13.7   2   4   1.8e-09   3.9e-06   24.3   0.1   308   366   412   477   404   493 0.80 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 2069at5820           -            719   5.1e-40  136.3  13.7   3   4   1.2e-15   2.7e-12   44.7   0.0   397   491   534   626   507   639 0.82 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 2069at5820           -            719   5.1e-40  136.3  13.7   4   4    0.0018         4    4.4   0.2   494   549   666   721   652   792 0.76 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
