#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099235.1-p1      -            179 12730at5820          -            150   8.1e-74  244.9   8.8   1   2   8.3e-23   7.7e-20   69.7   2.3     1    46     1    49     1    53 0.83 | transcript=PVX_099235.1 | gene=PVX_099235 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=Pv_Sal1_chr07:605542-606759(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099235.1-p1      -            179 12730at5820          -            150   8.1e-74  244.9   8.8   2   2   5.1e-57   4.7e-54  180.7   0.7    32   150    48   175    45   175 0.94 | transcript=PVX_099235.1 | gene=PVX_099235 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=Pv_Sal1_chr07:605542-606759(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117605.1-p1      -            104 12730at5820          -            150   1.5e-11   42.8   0.3   1   1   1.9e-14   1.7e-11   42.6   0.3    61   149    16   103     8   104 0.79 | transcript=PVX_117605.1 | gene=PVX_117605 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=Pv_Sal1_chr12:1999403-1999851(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099690.1-p1      -            133 12730at5820          -            150   7.6e-08   30.7   0.0   1   1   9.8e-11     9e-08   30.5   0.0    59   144    37   121    10   126 0.70 | transcript=PVX_099690.1 | gene=PVX_099690 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=Pv_Sal1_chr07:968851-970052(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083155.1-p1      -            157 12730at5820          -            150   3.2e-05   22.2   0.3   1   1   4.7e-08   4.3e-05   21.8   0.3    33   140    43   148    35   156 0.68 | transcript=PVX_083155.1 | gene=PVX_083155 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=Pv_Sal1_chr12:360977-362069(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083515.1-p1      -            209 12730at5820          -            150   4.9e-05   21.6   0.5   1   2   5.3e-08   4.9e-05   21.6   0.5    46   120    27   106     7   117 0.79 | transcript=PVX_083515.1 | gene=PVX_083515 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=Pv_Sal1_chr12:59525-60545(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083515.1-p1      -            209 12730at5820          -            150   4.9e-05   21.6   0.5   2   2       4.5   4.1e+03   -4.1   0.7    22    30   180   188   171   198 0.43 | transcript=PVX_083515.1 | gene=PVX_083515 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=Pv_Sal1_chr12:59525-60545(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 12730at5820          -            150    0.0028   15.9   1.8   1   3     6e-05     0.055   11.7   0.0    60   121    44   112    22   118 0.76 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 12730at5820          -            150    0.0028   15.9   1.8   2   3       2.3   2.1e+03   -3.2   0.2    99   132   144   176   138   196 0.50 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 12730at5820          -            150    0.0028   15.9   1.8   3   3     0.033        31    2.8   0.0    63    86   371   394   347   434 0.77 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
