#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1453500.1-p1   -           1110 2070at5820           -            724         0 1280.7  41.0   1   5  1.7e-125    8e-123  409.6   2.1     6   212    17   223    13   233 0.95 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 2070at5820           -            724         0 1280.7  41.0   2   5     5e-33   2.3e-30  103.9   0.1   207   285   268   352   262   355 0.91 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 2070at5820           -            724         0 1280.7  41.0   3   5   6.9e-47   3.2e-44  149.7   0.6   283   369   449   535   447   539 0.98 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 2070at5820           -            724         0 1280.7  41.0   4   5   7.9e-89   3.7e-86  288.4   8.0   369   531   625   787   619   790 0.98 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 2070at5820           -            724         0 1280.7  41.0   5   5  9.1e-107  4.3e-104  347.7   4.6   531   724   915  1108   909  1108 0.99 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 2070at5820           -            724   9.7e-56  187.8  19.0   1   4   3.1e-43   1.4e-40  137.7   0.7    10   282    37   322    30   324 0.82 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 2070at5820           -            724   9.7e-56  187.8  19.0   2   4   6.6e-07   0.00031   17.5   0.1   286   355   379   449   370   453 0.91 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 2070at5820           -            724   9.7e-56  187.8  19.0   3   4   1.8e-06   0.00083   16.1   0.4   398   490   473   564   464   584 0.84 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1451200.1-p1   -            763 2070at5820           -            724   9.7e-56  187.8  19.0   4   4   9.1e-10   4.2e-07   27.0   2.0   585   723   616   749   599   750 0.85 | transcript=PVP01_1451200.1 | gene=PVP01_1451200 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_14_v2:2221901-2224192(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 2070at5820           -            724   1.9e-50  170.3  35.0   1   4   3.4e-42   1.6e-39  134.2  12.1     8   281    93   368    88   373 0.86 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1146500.1-p1   -            923 2070at5820           -            724   1.9e-50  170.3  35.0   2   4   5.4e-05     0.025   11.2   2.2   278   366   470   559   461   572 0.81 | transcript=PVP01_1146500.1 | gene=PVP01_1146500 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=PvP01_11_v2:1977749-1980995(+) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
