#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67335.1           -            730 4434at5820           -            535  2.7e-289  958.5  23.8   1   3   1.9e-30   1.9e-27   94.4   0.8     1    61     1    61     1    73 0.91 RAP protein, putative [Plasmodium vivax]
SCO67335.1           -            730 4434at5820           -            535  2.7e-289  958.5  23.8   2   3  2.2e-208  2.2e-205  681.6  14.1    53   431    95   507    84   519 0.94 RAP protein, putative [Plasmodium vivax]
SCO67335.1           -            730 4434at5820           -            535  2.7e-289  958.5  23.8   3   3   9.1e-59   9.2e-56  187.8   0.0   426   530   552   658   548   666 0.93 RAP protein, putative [Plasmodium vivax]
SCO69828.1           -            943 4434at5820           -            535   2.3e-10   38.0   9.2   1   3       1.5   1.5e+03   -4.3   0.1    19    56   180   217   176   226 0.71 RAP protein, putative [Plasmodium vivax]
SCO69828.1           -            943 4434at5820           -            535   2.3e-10   38.0   9.2   2   3      0.66   6.7e+02   -3.1   4.0   218   322   295   400   267   424 0.75 RAP protein, putative [Plasmodium vivax]
SCO69828.1           -            943 4434at5820           -            535   2.3e-10   38.0   9.2   3   3   2.2e-13   2.3e-10   38.0   9.2   358   526   657   824   645   829 0.85 RAP protein, putative [Plasmodium vivax]
SCO68742.1           -            443 4434at5820           -            535   7.1e-10   36.4   0.2   1   1   1.2e-12   1.2e-09   35.6   0.2   467   530   338   402   335   405 0.87 RAP protein, putative [Plasmodium vivax]
SCO68069.1           -            976 4434at5820           -            535   6.3e-09   33.3   0.2   1   2         6   6.1e+03   -7.2   5.6   352   423   150   217   130   258 0.69 RAP protein, putative [Plasmodium vivax]
SCO68069.1           -            976 4434at5820           -            535   6.3e-09   33.3   0.2   2   2   6.2e-12   6.3e-09   33.3   0.2   471   522   849   900   845   912 0.88 RAP protein, putative [Plasmodium vivax]
SCO66186.1           -            446 4434at5820           -            535   2.3e-07   28.1   0.6   1   2     0.035        35    1.1   0.2   238   296    56   114    46   169 0.89 RAP protein, putative [Plasmodium vivax]
SCO66186.1           -            446 4434at5820           -            535   2.3e-07   28.1   0.6   2   2   2.3e-10   2.3e-07   28.1   0.6   418   530   325   439   211   443 0.82 RAP protein, putative [Plasmodium vivax]
SCO70021.1           -           1239 4434at5820           -            535      0.73    6.7  21.7   1   4      0.31   3.2e+02   -2.1   3.4   221   301   429   510   417   565 0.68 RAP protein, putative [Plasmodium vivax]
SCO70021.1           -           1239 4434at5820           -            535      0.73    6.7  21.7   2   4    0.0031       3.2    4.6   1.4   239   307   643   709   617   751 0.80 RAP protein, putative [Plasmodium vivax]
SCO70021.1           -           1239 4434at5820           -            535      0.73    6.7  21.7   3   4     0.057        57    0.4   0.0   435   467   924   957   876   960 0.82 RAP protein, putative [Plasmodium vivax]
SCO70021.1           -           1239 4434at5820           -            535      0.73    6.7  21.7   4   4   6.3e-06    0.0064   13.5   0.6   470   528  1031  1090  1025  1097 0.86 RAP protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4434at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4434at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4434at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:47:57 2026
# [ok]
