#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9481657.1         -            608 6506at5820           -            426    1e-220  731.7  85.5   1   4    0.0028       2.8    5.4   0.7     1    21     8    29     8    54 0.85 | transcript=PVW1_060020700_t1 | gene=PVW1_060020700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:671603-673429(+) | protein_length=608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481657.1         -            608 6506at5820           -            426    1e-220  731.7  85.5   2   4   4.9e-31     5e-28   96.9  10.9    19    76    57   114    43   117 0.92 | transcript=PVW1_060020700_t1 | gene=PVW1_060020700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:671603-673429(+) | protein_length=608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481657.1         -            608 6506at5820           -            426    1e-220  731.7  85.5   3   4   3.4e-97   3.4e-94  314.8  23.0    76   255   156   347   153   359 0.96 | transcript=PVW1_060020700_t1 | gene=PVW1_060020700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:671603-673429(+) | protein_length=608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481657.1         -            608 6506at5820           -            426    1e-220  731.7  85.5   4   4  3.7e-102   3.8e-99  331.2  29.2   250   425   426   605   423   606 0.97 | transcript=PVW1_060020700_t1 | gene=PVW1_060020700 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:671603-673429(+) | protein_length=608 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479725.1         -            324 6506at5820           -            426   3.5e-09   34.8   1.3   1   3      0.25   2.5e+02   -1.0   0.0   353   391    87   126    51   131 0.67 | transcript=PVW1_050016500_t1 | gene=PVW1_050016500 | organism=Plasmodium_vivax_PvW1 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | location=CAJZCX010000010:528850-529824(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479725.1         -            324 6506at5820           -            426   3.5e-09   34.8   1.3   2   3   4.4e-06    0.0044   14.7   0.1   307   340   132   165   106   173 0.83 | transcript=PVW1_050016500_t1 | gene=PVW1_050016500 | organism=Plasmodium_vivax_PvW1 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | location=CAJZCX010000010:528850-529824(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479725.1         -            324 6506at5820           -            426   3.5e-09   34.8   1.3   3   3   3.9e-07    0.0004   18.1   0.0   264   401   174   307   166   317 0.82 | transcript=PVW1_050016500_t1 | gene=PVW1_050016500 | organism=Plasmodium_vivax_PvW1 | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTD9] | location=CAJZCX010000010:528850-529824(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479676.1         -            322 6506at5820           -            426    0.0011   16.7   0.2   1   3     0.015        16    3.0   0.0   312   396    38   122     4   131 0.67 | transcript=PVW1_050012500_t1 | gene=PVW1_050012500 | organism=Plasmodium_vivax_PvW1 | gene_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | transcript_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | location=CAJZCX010000010:364461-365871(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479676.1         -            322 6506at5820           -            426    0.0011   16.7   0.2   2   3    0.0067       6.8    4.2   0.0   266   328   127   190   112   205 0.80 | transcript=PVW1_050012500_t1 | gene=PVW1_050012500 | organism=Plasmodium_vivax_PvW1 | gene_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | transcript_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | location=CAJZCX010000010:364461-365871(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9479676.1         -            322 6506at5820           -            426    0.0011   16.7   0.2   3   3   0.00084      0.85    7.1   0.0   352   376   294   319   252   322 0.68 | transcript=PVW1_050012500_t1 | gene=PVW1_050012500 | organism=Plasmodium_vivax_PvW1 | gene_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | transcript_product=Receptor for activated c kinase, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4GTC4] | location=CAJZCX010000010:364461-365871(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481766.1         -            706 6506at5820           -            426    0.0033   15.1   8.3   1   2   1.6e-05     0.016   12.8   3.5   293   361   185   250   137   276 0.76 | transcript=PVW1_060025100_t1 | gene=PVW1_060025100 | organism=Plasmodium_vivax_PvW1 | gene_product=WD repeat-containing protein 70, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Y5] | transcript_product=WD repeat-containing protein 70, putative [Source:UniProtKB/TrEMBL;Acc:A0A1G4H9Y5] | location=CAJZCX010000012:827729-829849(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
