#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091375.1-p1      -            708 5085at5820           -            546         0 1099.9  55.5   1   3   3.6e-28   5.7e-26   89.5  14.5     4    87    44   137    41   146 0.90 | transcript=PVX_091375.1 | gene=PVX_091375 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase PRP4K, putative | transcript_product=serine/threonine-protein kinase PRP4K, putative | location=Pv_Sal1_chr09:465008-468816(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091375.1-p1      -            708 5085at5820           -            546         0 1099.9  55.5   2   3   1.1e-35   1.7e-33  114.3   8.6    85   166   202   292   168   309 0.85 | transcript=PVX_091375.1 | gene=PVX_091375 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase PRP4K, putative | transcript_product=serine/threonine-protein kinase PRP4K, putative | location=Pv_Sal1_chr09:465008-468816(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091375.1-p1      -            708 5085at5820           -            546         0 1099.9  55.5   3   3  1.2e-275  1.9e-273  906.3  18.7   154   546   310   708   287   708 0.97 | transcript=PVX_091375.1 | gene=PVX_091375 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase PRP4K, putative | transcript_product=serine/threonine-protein kinase PRP4K, putative | location=Pv_Sal1_chr09:465008-468816(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 5085at5820           -            546   6.2e-29   99.3   0.1   1   2   3.4e-25   5.4e-23   79.7   0.0   216   420     8   208     3   218 0.86 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 5085at5820           -            546   6.2e-29   99.3   0.1   2   2     2e-06   0.00032   17.7   0.0   507   537   257   287   240   288 0.85 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118220.1-p1      -            885 5085at5820           -            546     5e-26   89.7  24.5   1   2   7.3e-25   1.2e-22   78.6  20.2    90   437   451   802   422   807 0.74 | transcript=PVX_118220.1 | gene=PVX_118220 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine kinase-1, putative | transcript_product=serine/threonine kinase-1, putative | location=Pv_Sal1_chr12:2512696-2515353(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118220.1-p1      -            885 5085at5820           -            546     5e-26   89.7  24.5   2   2     0.052       8.3    3.2   0.1   507   540   851   884   833   885 0.87 | transcript=PVX_118220.1 | gene=PVX_118220 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine kinase-1, putative | transcript_product=serine/threonine kinase-1, putative | location=Pv_Sal1_chr12:2512696-2515353(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 5085at5820           -            546   7.7e-26   89.1   0.5   1   1   7.2e-28   1.1e-25   88.5   0.5   210   420   117   329    88   348 0.81 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 5085at5820           -            546   1.7e-25   87.9   3.2   1   2   1.1e-25   1.8e-23   81.3   1.5   203   435    12   246     3   272 0.83 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 5085at5820           -            546   1.7e-25   87.9   3.2   2   2    0.0063      0.99    6.2   0.0   506   535   281   310   266   316 0.84 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 5085at5820           -            546   2.7e-25   87.3   1.7   1   2   3.1e-25   4.8e-23   79.9   0.9   217   426    14   229     6   242 0.81 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
