#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8   1  20   1.6e-99   8.8e-96  319.9  37.9    13   268    49   383    43   389 0.85 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8   2  20    6e-187  3.3e-183  609.9  34.0   266   610   422   793   420   795 0.94 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8   3  20   1.3e-33   7.2e-30  101.2   0.7   605   678   861   940   855   947 0.89 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8   4  20   9.3e-51   5.1e-47  158.1   9.1   680   784   987  1094   980  1100 0.94 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8   5  20   2.7e-59   1.5e-55  186.4   9.1   780   945  1145  1347  1126  1356 0.85 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8   6  20   1.8e-19     1e-15   54.2   0.3   945  1004  1435  1495  1422  1522 0.83 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8   7  20   2.4e-25   1.3e-21   73.7   1.2   990  1049  1540  1599  1533  1605 0.95 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8   8  20  1.6e-137  8.8e-134  445.9  31.3  1044  1277  1634  1885  1629  1906 0.92 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8   9  20   2.2e-13   1.2e-09   34.0   8.8  1275  1348  2031  2109  1990  2133 0.70 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8  10  20   4.3e-47   2.4e-43  145.9  12.9  1328  1459  2233  2380  2199  2384 0.83 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8  11  20   9.1e-22     5e-18   61.9   7.1  1424  1516  2416  2513  2402  2527 0.80 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8  12  20  3.8e-101   2.1e-97  325.2  38.2  1506  1739  2615  2895  2596  2911 0.81 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8  13  20  1.6e-162  8.9e-159  528.9  18.5  1743  2044  3161  3483  3144  3488 0.94 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8  14  20   2.3e-50   1.3e-46  156.7  10.2  2045  2139  3516  3610  3512  3614 0.96 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8  15  20  4.3e-109  2.4e-105  351.6  37.3  2151  2368  3799  4063  3775  4076 0.85 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8  16  20   3.8e-07    0.0021   13.4   0.1  2365  2387  4102  4124  4099  4137 0.92 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8  17  20   6.1e-36   3.4e-32  108.9   3.9  2387  2499  4218  4356  4216  4382 0.80 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8  18  20   2.1e-51   1.1e-47  160.2   9.2  2499  2636  4397  4551  4389  4557 0.89 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8  19  20   1.7e-62   9.2e-59  197.0   8.2  2635  2772  4656  4803  4650  4818 0.92 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081707.1-p1      -           4975 74at5820             -           2856         0 4012.1 414.8  20  20   9.1e-24     5e-20   68.5   0.0  2757  2856  4861  4975  4849  4975 0.73 | transcript=PVX_081707.1 | gene=PVX_081707 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr02:583711-598638(-) | protein_length=4975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/74at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/74at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/74at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:43 2026
# [ok]
