#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO74255.1           -           1449 1473at5820           -           1133         0 2018.0 142.9   1   2         0         0 1453.9 104.9     1   826     1   944     1   963 0.93 potassium channel, putative [Plasmodium vivax]
SCO74255.1           -           1449 1473at5820           -           1133         0 2018.0 142.9   2   2  3.6e-173  7.6e-170  565.6  30.1   795  1133  1096  1449  1070  1449 0.86 potassium channel, putative [Plasmodium vivax]
SCO75519.1           -           2032 1473at5820           -           1133   3.2e-10   37.0  45.9   1   5   2.8e-12   5.9e-09   32.8  34.3   108   405   570   874   533   952 0.76 potassium channel, putative [Plasmodium vivax]
SCO75519.1           -           2032 1473at5820           -           1133   3.2e-10   37.0  45.9   2   5   0.00054       1.1    5.4   5.7   499   560  1051  1113  1005  1141 0.77 potassium channel, putative [Plasmodium vivax]
SCO75519.1           -           2032 1473at5820           -           1133   3.2e-10   37.0  45.9   3   5     0.037        77   -0.7   1.6   564   640  1258  1337  1231  1418 0.54 potassium channel, putative [Plasmodium vivax]
SCO75519.1           -           2032 1473at5820           -           1133   3.2e-10   37.0  45.9   4   5   1.8e-08   3.8e-05   20.2   3.7   892   979  1662  1754  1654  1799 0.79 potassium channel, putative [Plasmodium vivax]
SCO75519.1           -           2032 1473at5820           -           1133   3.2e-10   37.0  45.9   5   5     0.064   1.3e+02   -1.5   2.8   546   628  1870  1953  1841  2026 0.73 potassium channel, putative [Plasmodium vivax]
SCO74721.1           -           1687 1473at5820           -           1133   9.5e-06   22.2   4.2   1   4   4.9e-07     0.001   15.4  36.7   277   569   543   837   333   849 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74721.1           -           1687 1473at5820           -           1133   9.5e-06   22.2   4.2   2   4      0.59   1.2e+03   -4.7   4.4   561   664   987  1093   971  1115 0.57 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74721.1           -           1687 1473at5820           -           1133   9.5e-06   22.2   4.2   3   4   4.5e-09   9.5e-06   22.2   4.2   873   957  1199  1284  1195  1315 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO74721.1           -           1687 1473at5820           -           1133   9.5e-06   22.2   4.2   4   4      0.29   6.1e+02   -3.7  14.3   997  1133  1538  1676  1505  1676 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1473at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvC01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1473at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1473at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvC01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:36:07 2026
# [ok]
