#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720471.1         -            408 7995at5820           -            332  1.4e-167  555.3  10.5   1   2   7.1e-80   1.2e-76  256.4   3.0     1   162     1   184     1   191 0.91 | transcript=PVPAM_090023600_t1 | gene=PVPAM_090023600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein 2/3 complex subunit 1, putative | transcript_product=actin-related protein 2/3 complex subunit 1, putative | location=CASCJQ010000009:861008-863035(-) | protein_length=408 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720471.1         -            408 7995at5820           -            332  1.4e-167  555.3  10.5   2   2   3.3e-94   5.3e-91  303.5   0.9   157   332   202   391   196   391 0.95 | transcript=PVPAM_090023600_t1 | gene=PVPAM_090023600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein 2/3 complex subunit 1, putative | transcript_product=actin-related protein 2/3 complex subunit 1, putative | location=CASCJQ010000009:861008-863035(-) | protein_length=408 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722738.1         -            694 7995at5820           -            332   4.4e-07   27.7  21.0   1   4     0.028        45    1.3   0.1   126   178     8    61     3    77 0.71 | transcript=PVPAM_130023900_t1 | gene=PVPAM_130023900 | organism=Plasmodium_vivax_PAM | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=CASCJQ010000013:858457-860541(+) | protein_length=694 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722738.1         -            694 7995at5820           -            332   4.4e-07   27.7  21.0   2   4   1.4e-08   2.3e-05   22.0   0.6    39   121    78   162    73   176 0.78 | transcript=PVPAM_130023900_t1 | gene=PVPAM_130023900 | organism=Plasmodium_vivax_PAM | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=CASCJQ010000013:858457-860541(+) | protein_length=694 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722738.1         -            694 7995at5820           -            332   4.4e-07   27.7  21.0   3   4    0.0074        12    3.2   2.3    96   164   253   326   242   352 0.78 | transcript=PVPAM_130023900_t1 | gene=PVPAM_130023900 | organism=Plasmodium_vivax_PAM | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=CASCJQ010000013:858457-860541(+) | protein_length=694 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722738.1         -            694 7995at5820           -            332   4.4e-07   27.7  21.0   4   4   1.2e-05     0.019   12.4   1.0   120   183   600   658   595   667 0.82 | transcript=PVPAM_130023900_t1 | gene=PVPAM_130023900 | organism=Plasmodium_vivax_PAM | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=CASCJQ010000013:858457-860541(+) | protein_length=694 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 7995at5820           -            332    0.0001   19.9   2.6   1   2   3.1e-07    0.0005   17.6   0.0    74   153   324   404   289   420 0.80 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719219.1         -            638 7995at5820           -            332    0.0001   19.9   2.6   2   2     0.025        40    1.5   0.9    97   145   431   481   412   539 0.65 | transcript=PVPAM_060022600_t1 | gene=PVPAM_060022600 | organism=Plasmodium_vivax_PAM | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=CASCJQ010000006:761713-763629(-) | protein_length=638 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 7995at5820           -            332   0.00036   18.1   4.7   1   3     0.012        19    2.6   0.2    33   107   242   317   213   340 0.79 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 7995at5820           -            332   0.00036   18.1   4.7   2   3   4.6e-06    0.0074   13.8   0.4    97   157   349   411   318   417 0.83 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 7995at5820           -            332   0.00036   18.1   4.7   3   3     0.017        28    2.1   0.0    87   156   422   495   413   497 0.71 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7995at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
