#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000850.1-p1      -            700 4671at5820           -            475  6.4e-271  897.1  39.2   1   4   3.1e-29   8.4e-27   92.1   0.1     1    90    11   130    11   153 0.86 | transcript=PVX_000850.1 | gene=PVX_000850 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr03:258494-260596(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000850.1-p1      -            700 4671at5820           -            475  6.4e-271  897.1  39.2   2   4   6.8e-06    0.0019   15.2   1.0    86   111   184   209   180   261 0.85 | transcript=PVX_000850.1 | gene=PVX_000850 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr03:258494-260596(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000850.1-p1      -            700 4671at5820           -            475  6.4e-271  897.1  39.2   3   4   7.4e-17   2.1e-14   51.3   9.2   106   159   297   350   290   358 0.83 | transcript=PVX_000850.1 | gene=PVX_000850 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr03:258494-260596(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000850.1-p1      -            700 4671at5820           -            475  6.4e-271  897.1  39.2   4   4  6.2e-229  1.7e-226  750.6  11.6   138   475   362   700   347   700 0.97 | transcript=PVX_000850.1 | gene=PVX_000850 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr03:258494-260596(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 4671at5820           -            475   2.5e-77  258.8   5.6   1   3       1.6   4.3e+02   -2.5   0.1   185   212   331   358   291   379 0.69 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 4671at5820           -            475   2.5e-77  258.8   5.6   2   3   2.7e-36   7.4e-34  115.4   0.1   200   414   477   688   428   700 0.85 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 4671at5820           -            475   2.5e-77  258.8   5.6   3   3   2.8e-45   7.8e-43  145.0   0.2   196   416   793  1011   788  1023 0.91 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 4671at5820           -            475   4.4e-74  248.0   0.0   1   2     2e-35   5.5e-33  112.5   0.0   192   416   197   421   184   465 0.84 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 4671at5820           -            475   4.4e-74  248.0   0.0   2   2   9.9e-42   2.7e-39  133.3   0.0   195   425   476   706   466   722 0.89 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117590.1-p1      -            439 4671at5820           -            475   1.2e-50  170.8   0.2   1   1   7.7e-53   2.1e-50  170.0   0.2   188   375   107   293    44   351 0.91 | transcript=PVX_117590.1 | gene=PVX_117590 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=Pv_Sal1_chr12:1980846-1982165(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 4671at5820           -            475     6e-49  165.2  22.3   1   4         4   1.1e+03   -3.9   1.0   104   161    72   132    66   161 0.46 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
