#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721064.1         -            598 9065at5820           -            376  1.8e-174  578.5  12.3   1   3   8.2e-24   1.1e-20   72.4   0.0     8    77   128   203   123   207 0.90 | transcript=PVPAM_100033200_t1 | gene=PVPAM_100033200 | organism=Plasmodium_vivax_PAM | gene_product=subtilisin-like protease 3, putative | transcript_product=subtilisin-like protease 3, putative | location=CASCJQ010000010:1220685-1222481(+) | protein_length=598 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721064.1         -            598 9065at5820           -            376  1.8e-174  578.5  12.3   2   3   2.9e-26   3.8e-23   80.4   0.1    76   145   240   313   235   323 0.82 | transcript=PVPAM_100033200_t1 | gene=PVPAM_100033200 | organism=Plasmodium_vivax_PAM | gene_product=subtilisin-like protease 3, putative | transcript_product=subtilisin-like protease 3, putative | location=CASCJQ010000010:1220685-1222481(+) | protein_length=598 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721064.1         -            598 9065at5820           -            376  1.8e-174  578.5  12.3   3   3  3.5e-132  4.5e-129  429.1   5.0   141   375   342   584   337   585 0.97 | transcript=PVPAM_100033200_t1 | gene=PVPAM_100033200 | organism=Plasmodium_vivax_PAM | gene_product=subtilisin-like protease 3, putative | transcript_product=subtilisin-like protease 3, putative | location=CASCJQ010000010:1220685-1222481(+) | protein_length=598 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721061.1         -            630 9065at5820           -            376     3e-64  215.7  12.6   1   3   0.00088       1.1    6.5   0.0    15    77   137   199   127   215 0.89 | transcript=PVPAM_100032900_t1 | gene=PVPAM_100032900 | organism=Plasmodium_vivax_PAM | gene_product=subtilisin-like protease 1 | transcript_product=subtilisin-like protease 1 | location=CASCJQ010000010:1211834-1213726(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721061.1         -            630 9065at5820           -            376     3e-64  215.7  12.6   2   3   2.7e-08   3.5e-05   21.3   0.1   101   147   293   339   257   343 0.78 | transcript=PVPAM_100032900_t1 | gene=PVPAM_100032900 | organism=Plasmodium_vivax_PAM | gene_product=subtilisin-like protease 1 | transcript_product=subtilisin-like protease 1 | location=CASCJQ010000010:1211834-1213726(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721061.1         -            630 9065at5820           -            376     3e-64  215.7  12.6   3   3     5e-60   6.5e-57  191.6   5.2   141   376   367   609   347   609 0.93 | transcript=PVPAM_100032900_t1 | gene=PVPAM_100032900 | organism=Plasmodium_vivax_PAM | gene_product=subtilisin-like protease 1 | transcript_product=subtilisin-like protease 1 | location=CASCJQ010000010:1211834-1213726(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720655.1         -           1410 9065at5820           -            376   6.9e-29   99.3   7.7   1   1   3.2e-30   4.1e-27   93.5   7.7   113   366   877  1148   871  1157 0.82 | transcript=PVPAM_090041900_t1 | gene=PVPAM_090041900 | organism=Plasmodium_vivax_PAM | gene_product=subtilisin-like protease 2, putative | transcript_product=subtilisin-like protease 2, putative | location=CASCJQ010000009:1640082-1644455(+) | protein_length=1410 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721063.1         -            957 9065at5820           -            376   2.3e-17   61.4   0.0   1   2     0.024        32    1.7   0.0   118   133   162   177   153   189 0.80 | transcript=PVPAM_100033100_t1 | gene=PVPAM_100033100 | organism=Plasmodium_vivax_PAM | gene_product=subtilisin-like ookinete protein SOPT, putative | transcript_product=subtilisin-like ookinete protein SOPT, putative | location=CASCJQ010000010:1216269-1219142(+) | protein_length=957 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721063.1         -            957 9065at5820           -            376   2.3e-17   61.4   0.0   2   2   1.4e-18   1.8e-15   55.2   0.0   141   374   226   486   205   488 0.74 | transcript=PVPAM_100033100_t1 | gene=PVPAM_100033100 | organism=Plasmodium_vivax_PAM | gene_product=subtilisin-like ookinete protein SOPT, putative | transcript_product=subtilisin-like ookinete protein SOPT, putative | location=CASCJQ010000010:1216269-1219142(+) | protein_length=957 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718197.1         -           1309 9065at5820           -            376    0.0081   13.5   0.3   1   1   1.1e-05     0.015   12.7   0.3   247   295   518   566   508   577 0.86 | transcript=PVPAM_030019700_t1 | gene=PVPAM_030019700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:640839-644768(-) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
