#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718896.1         -            639 5642at5820           -            463  2.1e-281  932.0  32.6   1   3       3.7   4.8e+03   -5.5   4.9   129   154    39    64    28    72 0.78 | transcript=PVPAM_050028800_t1 | gene=PVPAM_050028800 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000005:994180-996099(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718896.1         -            639 5642at5820           -            463  2.1e-281  932.0  32.6   2   3   2.5e-05     0.033   11.6   0.1     1    21   103   123   103   127 0.89 | transcript=PVPAM_050028800_t1 | gene=PVPAM_050028800 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000005:994180-996099(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718896.1         -            639 5642at5820           -            463  2.1e-281  932.0  32.6   3   3  4.8e-284  6.2e-281  930.5  28.9    20   463   185   638   178   638 0.97 | transcript=PVPAM_050028800_t1 | gene=PVPAM_050028800 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000005:994180-996099(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721503.1         -            718 5642at5820           -            463   1.5e-15   55.5   1.6   1   2      0.92   1.2e+03   -3.5   0.0   229   249    49    70    39    75 0.76 | transcript=PVPAM_110040800_t1 | gene=PVPAM_110040800 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=CASCJQ010000011:1501877-1504033(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721503.1         -            718 5642at5820           -            463   1.5e-15   55.5   1.6   2   2   1.1e-18   1.5e-15   55.5   1.6   272   411   161   293   102   321 0.86 | transcript=PVPAM_110040800_t1 | gene=PVPAM_110040800 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=CASCJQ010000011:1501877-1504033(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721268.1         -            367 5642at5820           -            463   1.1e-08   32.9   0.7   1   2   1.6e-11   2.1e-08   32.0   0.0   283   352    63   128    49   169 0.82 | transcript=PVPAM_110017000_t1 | gene=PVPAM_110017000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000011:514354-517480(+) | protein_length=367 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721268.1         -            367 5642at5820           -            463   1.1e-08   32.9   0.7   2   2      0.22   2.8e+02   -1.4   0.2   252   268   265   282   210   334 0.61 | transcript=PVPAM_110017000_t1 | gene=PVPAM_110017000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000011:514354-517480(+) | protein_length=367 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723016.1         -            570 5642at5820           -            463     5e-08   30.7   0.1   1   3   3.8e-11     5e-08   30.7   0.1   272   323   213   264   206   275 0.86 | transcript=PVPAM_130052200_t1 | gene=PVPAM_130052200 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=CASCJQ010000013:2069597-2071309(-) | protein_length=570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723016.1         -            570 5642at5820           -            463     5e-08   30.7   0.1   2   3      0.36   4.6e+02   -2.1   4.5   335   413   341   418   329   475 0.48 | transcript=PVPAM_130052200_t1 | gene=PVPAM_130052200 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=CASCJQ010000013:2069597-2071309(-) | protein_length=570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723016.1         -            570 5642at5820           -            463     5e-08   30.7   0.1   3   3       0.4   5.2e+02   -2.3   0.1    27    68   472   521   455   546 0.59 | transcript=PVPAM_130052200_t1 | gene=PVPAM_130052200 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=CASCJQ010000013:2069597-2071309(-) | protein_length=570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720891.1         -            365 5642at5820           -            463   1.1e-06   26.3   0.5   1   2   1.5e-09   1.9e-06   25.5   0.0   283   350    64   127    55   158 0.80 | transcript=PVPAM_100015900_t1 | gene=PVPAM_100015900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=CASCJQ010000010:476880-477977(+) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720891.1         -            365 5642at5820           -            463   1.1e-06   26.3   0.5   2   2      0.76   9.8e+02   -3.2   0.3   122   153   181   212   177   220 0.66 | transcript=PVPAM_100015900_t1 | gene=PVPAM_100015900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=CASCJQ010000010:476880-477977(+) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5642at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
