#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65438.1           -           3267 1275at5820           -           1790         0 2807.8 211.3   1  12   4.9e-10     3e-06   23.2   0.3     1    26     1    26     1    32 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65438.1           -           3267 1275at5820           -           1790         0 2807.8 211.3   2  12   1.6e-17   9.7e-14   48.1   0.4    27    75   173   224   168   227 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65438.1           -           3267 1275at5820           -           1790         0 2807.8 211.3   3  12   1.9e-82   1.1e-78  263.3  11.3    75   259   376   576   345   588 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65438.1           -           3267 1275at5820           -           1790         0 2807.8 211.3   4  12  2.8e-113  1.7e-109  365.5  18.7   258   471   736   954   731   957 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65438.1           -           3267 1275at5820           -           1790         0 2807.8 211.3   5  12  9.2e-117  5.6e-113  377.1  18.1   470   719   995  1284   992  1308 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65438.1           -           3267 1275at5820           -           1790         0 2807.8 211.3   6  12   2.1e-74   1.3e-70  236.7  10.4   686   841  1400  1559  1372  1571 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65438.1           -           3267 1275at5820           -           1790         0 2807.8 211.3   7  12  1.9e-132  1.1e-128  429.1  10.7   825  1060  1780  2016  1776  2025 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65438.1           -           3267 1275at5820           -           1790         0 2807.8 211.3   8  12    0.0001      0.61    5.6   0.0  1060  1089  2078  2108  2074  2125 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65438.1           -           3267 1275at5820           -           1790         0 2807.8 211.3   9  12     1e-88   6.1e-85  284.1  14.5  1085  1265  2229  2422  2206  2428 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65438.1           -           3267 1275at5820           -           1790         0 2807.8 211.3  10  12     8e-65   4.9e-61  204.9  22.3  1262  1438  2582  2820  2575  2827 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65438.1           -           3267 1275at5820           -           1790         0 2807.8 211.3  11  12   1.1e-59   6.8e-56  187.8   8.9  1438  1547  2852  2961  2848  2965 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65438.1           -           3267 1275at5820           -           1790         0 2807.8 211.3  12  12  2.1e-134  1.3e-130  435.6  17.9  1556  1790  3026  3267  3007  3267 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1275at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1275at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1275at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:30:27 2026
# [ok]
