#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722814.1         -           1502 1006at5820           -           1212         0 2659.1  64.6   1   3  3.4e-164  7.4e-161  535.8   6.3     1   247     5   261     5   265 0.97 | transcript=PVPAM_130031500_t1 | gene=PVPAM_130031500 | organism=Plasmodium_vivax_PAM | gene_product=DNA topoisomerase 2, putative | transcript_product=DNA topoisomerase 2, putative | location=CASCJQ010000013:1202567-1207761(+) | protein_length=1502 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722814.1         -           1502 1006at5820           -           1212         0 2659.1  64.6   2   3         0         0 2095.0  43.7   245  1167   329  1274   324  1286 0.98 | transcript=PVPAM_130031500_t1 | gene=PVPAM_130031500 | organism=Plasmodium_vivax_PAM | gene_product=DNA topoisomerase 2, putative | transcript_product=DNA topoisomerase 2, putative | location=CASCJQ010000013:1202567-1207761(+) | protein_length=1502 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722814.1         -           1502 1006at5820           -           1212         0 2659.1  64.6   3   3     4e-14   8.5e-11   38.7   0.5  1168  1207  1404  1445  1350  1448 0.91 | transcript=PVPAM_130031500_t1 | gene=PVPAM_130031500 | organism=Plasmodium_vivax_PAM | gene_product=DNA topoisomerase 2, putative | transcript_product=DNA topoisomerase 2, putative | location=CASCJQ010000013:1202567-1207761(+) | protein_length=1502 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723737.1         -            996 1006at5820           -           1212   1.1e-19   68.1  13.1   1   3   0.00013      0.27    7.3   0.2    47   127   138   215   127   230 0.72 | transcript=PVPAM_140066100_t1 | gene=PVPAM_140066100 | organism=Plasmodium_vivax_PAM | gene_product=DNA gyrase subunit B, putative | transcript_product=DNA gyrase subunit B, putative | location=CASCJQ010000014:2622770-2625760(+) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723737.1         -            996 1006at5820           -           1212   1.1e-19   68.1  13.1   2   3   1.7e-16   3.7e-13   46.5   4.5   240   493   450   708   443   724 0.80 | transcript=PVPAM_140066100_t1 | gene=PVPAM_140066100 | organism=Plasmodium_vivax_PAM | gene_product=DNA gyrase subunit B, putative | transcript_product=DNA gyrase subunit B, putative | location=CASCJQ010000014:2622770-2625760(+) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723737.1         -            996 1006at5820           -           1212   1.1e-19   68.1  13.1   3   3   4.3e-08   9.3e-05   18.7   0.1   493   531   751   789   735   823 0.81 | transcript=PVPAM_140066100_t1 | gene=PVPAM_140066100 | organism=Plasmodium_vivax_PAM | gene_product=DNA gyrase subunit B, putative | transcript_product=DNA gyrase subunit B, putative | location=CASCJQ010000014:2622770-2625760(+) | protein_length=996 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723571.1         -           1235 1006at5820           -           1212   9.2e-16   55.2   2.1   1   3   4.3e-19   9.2e-16   55.2   2.1   643   827   164   349   151   363 0.84 | transcript=PVPAM_140049500_t1 | gene=PVPAM_140049500 | organism=Plasmodium_vivax_PAM | gene_product=DNA gyrase subunit A, putative | transcript_product=DNA gyrase subunit A, putative | location=CASCJQ010000014:1913691-1917398(-) | protein_length=1235 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723571.1         -           1235 1006at5820           -           1212   9.2e-16   55.2   2.1   2   3         3   6.5e+03   -9.6  11.0   872  1000   436   568   426   607 0.69 | transcript=PVPAM_140049500_t1 | gene=PVPAM_140049500 | organism=Plasmodium_vivax_PAM | gene_product=DNA gyrase subunit A, putative | transcript_product=DNA gyrase subunit A, putative | location=CASCJQ010000014:1913691-1917398(-) | protein_length=1235 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723571.1         -           1235 1006at5820           -           1212   9.2e-16   55.2   2.1   3   3      0.95     2e+03   -5.6   3.0   987  1020   970  1004   964  1013 0.70 | transcript=PVPAM_140049500_t1 | gene=PVPAM_140049500 | organism=Plasmodium_vivax_PAM | gene_product=DNA gyrase subunit A, putative | transcript_product=DNA gyrase subunit A, putative | location=CASCJQ010000014:1913691-1917398(-) | protein_length=1235 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1006at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1006at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1006at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:34 2026
# [ok]
