#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092535.1-p1      -           3979 100at5820            -           2613         0 5130.2 235.3   1  10  7.1e-271  6.6e-268  890.5  34.0     1   452    52   511    52   538 0.97 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 100at5820            -           2613         0 5130.2 235.3   2  10   1.1e-31   1.1e-28   97.0   2.6   457   548   674   773   641   797 0.66 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 100at5820            -           2613         0 5130.2 235.3   3  10   3.1e-47   2.8e-44  148.6   9.2   522   650  1006  1141   990  1188 0.81 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 100at5820            -           2613         0 5130.2 235.3   4  10    0.0003      0.27    6.0  14.7   633   688  1248  1303  1190  1337 0.68 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 100at5820            -           2613         0 5130.2 235.3   5  10   1.3e-66   1.2e-63  212.9   0.5   684   805  1399  1520  1377  1528 0.93 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 100at5820            -           2613         0 5130.2 235.3   6  10         0         0 1184.4  39.7   789  1343  1625  2186  1620  2201 0.98 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 100at5820            -           2613         0 5130.2 235.3   7  10  3.3e-302    3e-299  994.5  20.5  1339  1794  2465  2934  2452  2941 0.97 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 100at5820            -           2613         0 5130.2 235.3   8  10    7e-135  6.5e-132  439.4  13.4  1792  2049  2984  3263  2972  3278 0.92 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 100at5820            -           2613         0 5130.2 235.3   9  10   1.9e-25   1.7e-22   76.3  10.9  2041  2108  3288  3357  3272  3363 0.92 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 100at5820            -           2613         0 5130.2 235.3  10  10         0         0 1134.1  20.1  2108  2597  3441  3931  3426  3939 0.98 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114990.1-p1      -           3144 100at5820            -           2613  8.4e-176  584.9 171.4   1   7   1.5e-36   1.4e-33  113.2  23.0    19   373    31   375    18   390 0.86 | transcript=PVX_114990.1 | gene=PVX_114990 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanylyl cyclase, putative | transcript_product=guanylyl cyclase, putative | location=Pv_Sal1_chr11:427613-439718(-) | protein_length=3144 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114990.1-p1      -           3144 100at5820            -           2613  8.4e-176  584.9 171.4   2   7      0.09        83   -2.2   0.0   468   509   387   428   380   444 0.90 | transcript=PVX_114990.1 | gene=PVX_114990 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanylyl cyclase, putative | transcript_product=guanylyl cyclase, putative | location=Pv_Sal1_chr11:427613-439718(-) | protein_length=3144 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114990.1-p1      -           3144 100at5820            -           2613  8.4e-176  584.9 171.4   3   7    0.0081       7.4    1.3  12.2   662   919   610   850   573   856 0.73 | transcript=PVX_114990.1 | gene=PVX_114990 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanylyl cyclase, putative | transcript_product=guanylyl cyclase, putative | location=Pv_Sal1_chr11:427613-439718(-) | protein_length=3144 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
