#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1337600.1-p1   -            519 6879at5820           -            333    1e-173  575.4  29.9   1   3    2e-104  3.3e-101  337.1   9.8     1   200     1   222     1   237 0.91 | transcript=PVP01_1337600.1 | gene=PVP01_1337600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1618430-1620701(-) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337600.1-p1   -            519 6879at5820           -            333    1e-173  575.4  29.9   2   3     0.035        57    1.0   0.4   183   221   306   344   280   350 0.84 | transcript=PVP01_1337600.1 | gene=PVP01_1337600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1618430-1620701(-) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1337600.1-p1   -            519 6879at5820           -            333    1e-173  575.4  29.9   3   3   4.2e-77   6.9e-74  247.3   5.7   200   333   386   519   363   519 0.95 | transcript=PVP01_1337600.1 | gene=PVP01_1337600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1618430-1620701(-) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1327900.1-p1   -            173 6879at5820           -            333   1.9e-06   25.6   2.9   1   2   2.2e-06    0.0036   14.8   1.7    32    86     3    55     1    59 0.86 | transcript=PVP01_1327900.1 | gene=PVP01_1327900 | organism=Plasmodium_vivax_P01 | gene_product=DIX domain-containing protein, putative | transcript_product=DIX domain-containing protein, putative | location=PvP01_13_v2:1188454-1189585(+) | protein_length=173 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1327900.1-p1   -            173 6879at5820           -            333   1.9e-06   25.6   2.9   2   2     4e-05     0.065   10.7   0.0   126   161    61    96    55   169 0.62 | transcript=PVP01_1327900.1 | gene=PVP01_1327900 | organism=Plasmodium_vivax_P01 | gene_product=DIX domain-containing protein, putative | transcript_product=DIX domain-containing protein, putative | location=PvP01_13_v2:1188454-1189585(+) | protein_length=173 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306100.1-p1   -            285 6879at5820           -            333   0.00025   18.6   0.2   1   2      0.29   4.7e+02   -2.0   0.0    39    60   128   149   121   158 0.79 | transcript=PVP01_0306100.1 | gene=PVP01_0306100 | organism=Plasmodium_vivax_P01 | gene_product=ribosomal protein L25, putative | transcript_product=ribosomal protein L25, putative | location=PvP01_03_v2:312904-314421(-) | protein_length=285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0306100.1-p1   -            285 6879at5820           -            333   0.00025   18.6   0.2   2   2   4.8e-07   0.00079   17.0   0.1    31   114   181   267   166   280 0.79 | transcript=PVP01_0306100.1 | gene=PVP01_0306100 | organism=Plasmodium_vivax_P01 | gene_product=ribosomal protein L25, putative | transcript_product=ribosomal protein L25, putative | location=PvP01_03_v2:312904-314421(-) | protein_length=285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 6879at5820           -            333    0.0014   16.1   0.2   1   3   8.6e-07    0.0014   16.1   0.2   286   328    21    63    10    67 0.90 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 6879at5820           -            333    0.0014   16.1   0.2   2   3         4   6.5e+03   -5.8   7.0   202   245   220   265   194   292 0.61 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805300.1-p1   -            755 6879at5820           -            333    0.0014   16.1   0.2   3   3       2.5   4.1e+03   -5.1  10.6   181   253   642   716   630   724 0.79 | transcript=PVP01_0805300.1 | gene=PVP01_0805300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_08_v2:244942-247209(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6879at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6879at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6879at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:59 2026
# [ok]
