#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3   1  15   9.7e-77   5.4e-73  244.8  25.6     1   166     1   205     1   220 0.83 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3   2  15      0.07   3.9e+02   -3.0  17.7   125   226   271   376   259   415 0.58 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3   3  15   4.9e-17   2.7e-13   47.2  13.5   194   241   439   489   391   530 0.75 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3   4  15   7.3e-07     0.004   13.5   6.3   215   274   538   599   503   621 0.78 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3   5  15   1.3e-16     7e-13   45.8   6.4   255   315   618   678   604   694 0.80 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3   6  15       0.1   5.7e+02   -3.5   6.0   307   345   698   741   693   780 0.55 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3   7  15         1   5.5e+03   -7.1  14.0   304   335   854   885   790   901 0.64 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3   8  15   3.3e-22   1.8e-18   64.3   1.2   328   379   940   992   931  1008 0.85 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3   9  15   2.5e-09   1.4e-05   21.7   3.0   380   415  1057  1092  1042  1096 0.86 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3  10  15   2.6e-18   1.4e-14   51.4  18.3   379   504  1093  1220  1089  1233 0.72 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110915.1-p1      -           1895 3211at5820           -            949         0 1119.7 439.3  11  15   1.4e-23   7.5e-20   68.9  13.8   447   529  1215  1303  1209  1348 0.78 | transcript=PVX_110915.1 | gene=PVX_110915 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:852566-858573(-) | protein_length=1895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
