#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1334400.1-p1   -           2421 588at5820            -           1267         0 2108.5 179.6   1  14  3.2e-185  1.1e-181  604.9   9.6     1   266    34   312    34   325 0.96 | transcript=PVP01_1334400.1 | gene=PVP01_1334400 | organism=Plasmodium_vivax_P01 | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=PvP01_13_v2:1481454-1489465(+) | protein_length=2421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334400.1-p1   -           2421 588at5820            -           1267         0 2108.5 179.6   2  14   1.7e-14   5.6e-11   39.4   1.7   263   328   393   481   388   485 0.83 | transcript=PVP01_1334400.1 | gene=PVP01_1334400 | organism=Plasmodium_vivax_P01 | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=PvP01_13_v2:1481454-1489465(+) | protein_length=2421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334400.1-p1   -           2421 588at5820            -           1267         0 2108.5 179.6   3  14   5.3e-56   1.7e-52  176.9   0.1   323   409   584   670   569   674 0.95 | transcript=PVP01_1334400.1 | gene=PVP01_1334400 | organism=Plasmodium_vivax_P01 | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=PvP01_13_v2:1481454-1489465(+) | protein_length=2421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334400.1-p1   -           2421 588at5820            -           1267         0 2108.5 179.6   4  14  1.9e-111    6e-108  360.6   7.9   407   596   693   880   685   897 0.92 | transcript=PVP01_1334400.1 | gene=PVP01_1334400 | organism=Plasmodium_vivax_P01 | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=PvP01_13_v2:1481454-1489465(+) | protein_length=2421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334400.1-p1   -           2421 588at5820            -           1267         0 2108.5 179.6   5  14     0.043   1.4e+02   -1.7   0.3   573   603   913   943   908   952 0.77 | transcript=PVP01_1334400.1 | gene=PVP01_1334400 | organism=Plasmodium_vivax_P01 | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=PvP01_13_v2:1481454-1489465(+) | protein_length=2421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334400.1-p1   -           2421 588at5820            -           1267         0 2108.5 179.6   6  14   6.3e-86   2.1e-82  276.0  25.7   595   802  1057  1263  1050  1278 0.86 | transcript=PVP01_1334400.1 | gene=PVP01_1334400 | organism=Plasmodium_vivax_P01 | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=PvP01_13_v2:1481454-1489465(+) | protein_length=2421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334400.1-p1   -           2421 588at5820            -           1267         0 2108.5 179.6   7  14   0.00036       1.2    5.2   0.0   737   771  1293  1327  1286  1350 0.84 | transcript=PVP01_1334400.1 | gene=PVP01_1334400 | organism=Plasmodium_vivax_P01 | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=PvP01_13_v2:1481454-1489465(+) | protein_length=2421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334400.1-p1   -           2421 588at5820            -           1267         0 2108.5 179.6   8  14   9.7e-27   3.2e-23   80.0  14.5   769   871  1433  1538  1427  1554 0.79 | transcript=PVP01_1334400.1 | gene=PVP01_1334400 | organism=Plasmodium_vivax_P01 | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=PvP01_13_v2:1481454-1489465(+) | protein_length=2421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334400.1-p1   -           2421 588at5820            -           1267         0 2108.5 179.6   9  14     0.048   1.6e+02   -1.8  13.2   812   874  1544  1602  1537  1654 0.59 | transcript=PVP01_1334400.1 | gene=PVP01_1334400 | organism=Plasmodium_vivax_P01 | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=PvP01_13_v2:1481454-1489465(+) | protein_length=2421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334400.1-p1   -           2421 588at5820            -           1267         0 2108.5 179.6  10  14     5e-29   1.6e-25   87.6   6.5   867   941  1683  1757  1665  1761 0.89 | transcript=PVP01_1334400.1 | gene=PVP01_1334400 | organism=Plasmodium_vivax_P01 | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=PvP01_13_v2:1481454-1489465(+) | protein_length=2421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334400.1-p1   -           2421 588at5820            -           1267         0 2108.5 179.6  11  14   1.4e-23   4.4e-20   69.5   7.5   939   993  1862  1916  1854  1928 0.90 | transcript=PVP01_1334400.1 | gene=PVP01_1334400 | organism=Plasmodium_vivax_P01 | gene_product=atypical protein kinase, ABC-1 family, putative | transcript_product=atypical protein kinase, ABC-1 family, putative | location=PvP01_13_v2:1481454-1489465(+) | protein_length=2421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
