#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65095.1           -            447 6254at5820           -            400  1.9e-243  806.2  17.5   1   1  2.2e-244  6.3e-242  801.2  17.5     1   400     6   447     6   447 0.94 chromatin assembly factor 1 protein WD40 domain, putative [Plasmodium vivax]
SCO69273.1           -            509 6254at5820           -            400     1e-53  181.4  20.6   1   3   6.5e-18   1.9e-15   55.4   6.6    28   165    33   175     6   199 0.84 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO69273.1           -            509 6254at5820           -            400     1e-53  181.4  20.6   2   3   0.00046      0.13    9.8   0.1   217   244   201   228   176   240 0.77 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO69273.1           -            509 6254at5820           -            400     1e-53  181.4  20.6   3   3   8.1e-39   2.3e-36  124.3   2.7   210   388   322   498   295   509 0.87 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO68631.1           -            533 6254at5820           -            400   3.3e-42  143.5   2.2   1   2   2.9e-26   8.4e-24   82.9   0.0    27   242    65   297    46   318 0.80 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO68631.1           -            533 6254at5820           -            400   3.3e-42  143.5   2.2   2   2   2.3e-19   6.8e-17   60.2   0.6   209   386   340   531   328   533 0.79 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO68494.1           -            644 6254at5820           -            400   5.7e-14   50.6   2.8   1   4       7.5   2.2e+03   -4.0   0.1    17    63   112   158   105   166 0.77 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO68494.1           -            644 6254at5820           -            400   5.7e-14   50.6   2.8   2   4     0.067        19    2.7   0.1   295   324   246   274   201   344 0.73 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO68494.1           -            644 6254at5820           -            400   5.7e-14   50.6   2.8   3   4   8.7e-12   2.5e-09   35.3   0.2   209   323   432   547   422   549 0.90 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO68494.1           -            644 6254at5820           -            400   5.7e-14   50.6   2.8   4   4   2.1e-08   6.1e-06   24.1   0.2   220   328   529   637   527   641 0.86 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO65804.1           -            322 6254at5820           -            400   5.3e-12   44.1   0.2   1   4      0.22        63    1.0   0.0   345   383    16    53    13    68 0.83 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 6254at5820           -            400   5.3e-12   44.1   0.2   2   4   1.6e-07   4.6e-05   21.2   0.0   209   324    72   189    66   199 0.87 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 6254at5820           -            400   5.3e-12   44.1   0.2   3   4   2.5e-08   7.3e-06   23.9   0.0   219   323   169   270   164   285 0.85 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 6254at5820           -            400   5.3e-12   44.1   0.2   4   4       1.3   3.9e+02   -1.6   0.0   266   280   305   319   292   322 0.49 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65922.1           -            458 6254at5820           -            400   6.3e-11   40.5   1.7   1   2     0.044        13    3.3   0.0   113   183   135   215   131   240 0.59 ribosome assembly protein RRB1, putative [Plasmodium vivax]
SCO65922.1           -            458 6254at5820           -            400   6.3e-11   40.5   1.7   2   2   7.2e-12   2.1e-09   35.5   0.7   250   356   328   433   318   453 0.86 ribosome assembly protein RRB1, putative [Plasmodium vivax]
SCO67096.1           -            595 6254at5820           -            400   1.4e-08   32.8   6.1   1   4       8.2   2.4e+03   -4.2   0.9   134   165   168   199   124   233 0.56 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO67096.1           -            595 6254at5820           -            400   1.4e-08   32.8   6.1   2   4   0.00029     0.083   10.5   0.1   244   281   276   313   267   335 0.84 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO67096.1           -            595 6254at5820           -            400   1.4e-08   32.8   6.1   3   4   1.7e-08   4.9e-06   24.4   0.0   185   313   337   470   324   476 0.82 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO67096.1           -            595 6254at5820           -            400   1.4e-08   32.8   6.1   4   4      0.89   2.6e+02   -1.0   0.0   201   252   488   539   470   573 0.61 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO65843.1           -            324 6254at5820           -            400   2.3e-08   32.1   4.8   1   3     0.011       3.3    5.2   0.0   284   327    29    71    24    83 0.84 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65843.1           -            324 6254at5820           -            400   2.3e-08   32.1   4.8   2   3   8.8e-09   2.6e-06   25.4   1.4   165   323   113   283    94   286 0.76 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65843.1           -            324 6254at5820           -            400   2.3e-08   32.1   4.8   3   3    0.0017      0.48    8.0   0.2   181   234   261   321   252   324 0.71 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO66204.1           -            654 6254at5820           -            400   5.3e-08   30.9   0.2   1   2   0.00086      0.25    8.9   0.1   249   285   342   378   329   401 0.74 cell division cycle protein 20 homolog, putative [Plasmodium vivax]
SCO66204.1           -            654 6254at5820           -            400   5.3e-08   30.9   0.2   2   2     3e-07   8.8e-05   20.3   0.0   228   346   402   522   379   532 0.82 cell division cycle protein 20 homolog, putative [Plasmodium vivax]
SCO70158.1           -            472 6254at5820           -            400   8.4e-08   30.2   5.1   1   2   6.4e-09   1.9e-06   25.8   0.9   211   323   175   289   156   292 0.79 polyadenylation factor subunit 2, putative [Plasmodium vivax]
SCO70158.1           -            472 6254at5820           -            400   8.4e-08   30.2   5.1   2   2   1.8e-05    0.0052   14.5   0.2   207   320   258   385   257   409 0.74 polyadenylation factor subunit 2, putative [Plasmodium vivax]
SCO68463.1           -            363 6254at5820           -            400   1.8e-07   29.2   4.1   1   3     0.067        19    2.7   0.0   285   324    11    53     4    63 0.81 WD repeat-containing protein 92, putative [Plasmodium vivax]
SCO68463.1           -            363 6254at5820           -            400   1.8e-07   29.2   4.1   2   3   1.1e-07   3.1e-05   21.8   0.1   227   324    41   144    17   152 0.75 WD repeat-containing protein 92, putative [Plasmodium vivax]
SCO68463.1           -            363 6254at5820           -            400   1.8e-07   29.2   4.1   3   3    0.0073       2.1    5.9   0.5   225   360   190   338   181   360 0.52 WD repeat-containing protein 92, putative [Plasmodium vivax]
SCO67557.1           -            660 6254at5820           -            400   2.7e-07   28.6   0.7   1   3   2.5e-06   0.00072   17.3   0.0   247   322   120   193   102   205 0.83 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 6254at5820           -            400   2.7e-07   28.6   0.7   2   3      0.15        42    1.6   0.1   346   381   365   400   341   418 0.85 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 6254at5820           -            400   2.7e-07   28.6   0.7   3   3     0.037        11    3.6   0.0   265   320   467   522   459   593 0.61 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67037.1           -            498 6254at5820           -            400   2.8e-07   28.5   0.8   1   2    0.0006      0.17    9.5   0.2   251   317   257   326   230   341 0.76 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO67037.1           -            498 6254at5820           -            400   2.8e-07   28.5   0.8   2   2   2.9e-06   0.00085   17.1   0.0   225   307   360   443   335   459 0.67 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO70259.1           -            565 6254at5820           -            400     5e-07   27.7   0.0   1   1   3.2e-09   9.3e-07   26.8   0.0   236   324    61   157    53   167 0.87 coronin, putative [Plasmodium vivax]
SCO65033.1           -           1073 6254at5820           -            400   3.4e-06   25.0   4.3   1   4     0.087        25    2.3   0.0   202   268   334   403   318   408 0.73 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO65033.1           -           1073 6254at5820           -            400   3.4e-06   25.0   4.3   2   4   6.6e-05     0.019   12.6   0.1   183   239   421   482   396   491 0.78 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO65033.1           -           1073 6254at5820           -            400   3.4e-06   25.0   4.3   3   4     0.001      0.29    8.7   0.0   249   343   524   624   514   639 0.73 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO65033.1           -           1073 6254at5820           -            400   3.4e-06   25.0   4.3   4   4       2.1     6e+02   -2.2   0.3   173   204   713   749   689   758 0.69 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO70063.1           -            763 6254at5820           -            400   1.3e-05   23.1   3.2   1   2   4.9e-06    0.0014   16.3   0.1   248   325    11    91     4   107 0.86 protein transport protein SEC13, putative [Plasmodium vivax]
