#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723381.1         -           1164 2563at5820           -            842         0 1583.3 114.4   1   3   1.3e-05     0.021   11.5   2.3     4    69    44   116    41   153 0.71 | transcript=PVPAM_140030000_t1 | gene=PVPAM_140030000 | organism=Plasmodium_vivax_PAM | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=CASCJQ010000014:1087357-1092596(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723381.1         -           1164 2563at5820           -            842         0 1583.3 114.4   2   3   1.2e-05      0.02   11.6  13.6    32   102   170   232   149   283 0.68 | transcript=PVPAM_140030000_t1 | gene=PVPAM_140030000 | organism=Plasmodium_vivax_PAM | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=CASCJQ010000014:1087357-1092596(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723381.1         -           1164 2563at5820           -            842         0 1583.3 114.4   3   3         0         0 1572.0  83.0    26   842   307  1164   282  1164 0.93 | transcript=PVPAM_140030000_t1 | gene=PVPAM_140030000 | organism=Plasmodium_vivax_PAM | gene_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | transcript_product=3',5'-cyclic nucleotide phosphodiesterase beta, putative | location=CASCJQ010000014:1087357-1092596(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723382.1         -            783 2563at5820           -            842   1.5e-68  230.4  59.0   1   2   1.8e-06     0.003   14.3  33.0   108   443    11   360     6   380 0.66 | transcript=PVPAM_140030100_t1 | gene=PVPAM_140030100 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=CASCJQ010000014:1095927-1099706(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723382.1         -            783 2563at5820           -            842   1.5e-68  230.4  59.0   2   2   3.7e-69   5.9e-66  221.8  17.9   521   807   470   752   445   765 0.92 | transcript=PVPAM_140030100_t1 | gene=PVPAM_140030100 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase gamma, putative | location=CASCJQ010000014:1095927-1099706(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722739.1         -           1005 2563at5820           -            842   7.3e-64  214.8  32.5   1   1   2.5e-66   4.1e-63  212.4  32.5   514   812   690   990   541   996 0.87 | transcript=PVPAM_130024000_t1 | gene=PVPAM_130024000 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase alpha, putative | location=CASCJQ010000013:862745-866256(+) | protein_length=1005 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722176.1         -            803 2563at5820           -            842   1.5e-41  141.0  23.1   1   3         4   6.5e+03  -10.5  18.9   141   341    43   253    27   279 0.64 | transcript=PVPAM_120041400_t1 | gene=PVPAM_120041400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | location=CASCJQ010000012:1429403-1432762(-) | protein_length=803 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722176.1         -            803 2563at5820           -            842   1.5e-41  141.0  23.1   2   3   9.3e-45   1.5e-41  141.0  23.1   471   738   345   627   327   688 0.81 | transcript=PVPAM_120041400_t1 | gene=PVPAM_120041400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | location=CASCJQ010000012:1429403-1432762(-) | protein_length=803 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722176.1         -            803 2563at5820           -            842   1.5e-41  141.0  23.1   3   3   2.1e-05     0.035   10.8   4.3   753   826   689   762   675   771 0.76 | transcript=PVPAM_120041400_t1 | gene=PVPAM_120041400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | transcript_product=cGMP-specific 3',5'-cyclic phosphodiesterase delta, putative | location=CASCJQ010000012:1429403-1432762(-) | protein_length=803 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2563at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
