#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO73165.1           -           1236 2329at5820           -            907         0 1410.1  35.5   1   2   3.1e-23   7.7e-21   72.6   1.2     1    61     1    61     1    93 0.82 WD repeat-containing protein 26, putative [Plasmodium vivax]
SCO73165.1           -           1236 2329at5820           -            907         0 1410.1  35.5   2   2         0         0 1341.1  27.1    88   906   142  1234   126  1235 0.82 WD repeat-containing protein 26, putative [Plasmodium vivax]
SCO72943.1           -            660 2329at5820           -            907   1.5e-22   78.2  21.6   1   5   3.7e-08   9.2e-06   22.7   0.2   563   674   104   214    12   218 0.70 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 2329at5820           -            907   1.5e-22   78.2  21.6   2   5       1.6   4.1e+02   -2.6   0.7    99   128   232   267   218   304 0.38 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 2329at5820           -            907   1.5e-22   78.2  21.6   3   5    0.0023      0.57    6.8   0.0   833   872   360   399   339   417 0.72 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 2329at5820           -            907   1.5e-22   78.2  21.6   4   5   3.1e-15   7.8e-13   46.1   0.5   577   653   491   566   485   581 0.88 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO72943.1           -            660 2329at5820           -            907   1.5e-22   78.2  21.6   5   5     3e-06   0.00076   16.4   0.7   577   609   627   659   600   660 0.92 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO71232.1           -            322 2329at5820           -            907   6.9e-15   52.9  13.1   1   2    0.0012      0.31    7.7   0.2   852   876    30    54    11    66 0.70 receptor for activated c kinase, putative [Plasmodium vivax]
SCO71232.1           -            322 2329at5820           -            907   6.9e-15   52.9  13.1   2   2   4.5e-15   1.1e-12   45.6   8.6   575   827    65   316    62   320 0.86 receptor for activated c kinase, putative [Plasmodium vivax]
SCO71271.1           -            324 2329at5820           -            907   1.2e-14   52.1   7.0   1   3   7.6e-07   0.00019   18.4   0.0   575   607    31    63    22    70 0.87 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO71271.1           -            324 2329at5820           -            907   1.2e-14   52.1   7.0   2   3   6.3e-08   1.6e-05   21.9   3.8   575   688    74   185    69   196 0.82 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO71271.1           -            324 2329at5820           -            907   1.2e-14   52.1   7.0   3   3   8.2e-05     0.021   11.6   0.0   579   692   202   321   198   324 0.73 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO72485.1           -            595 2329at5820           -            907   1.3e-13   48.6  22.8   1   2   1.8e-07   4.6e-05   20.4  17.7   387   646    76   345    26   347 0.52 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO72485.1           -            595 2329at5820           -            907   1.3e-13   48.6  22.8   2   2   6.2e-11   1.6e-08   31.9   0.3   777   897   346   461   343   468 0.83 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO71813.1           -           1013 2329at5820           -            907   1.4e-10   38.7  27.8   1   3   8.6e-08   2.2e-05   21.5   0.5   574   657    92   176    85   199 0.83 coatomer subunit beta, putative [Plasmodium vivax]
