#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0726200.1-p1   -            307 9003at5820           -            272    2e-164  544.1   8.6   1   1  9.5e-167  6.2e-164  542.5   8.6     1   272    12   307    12   307 0.94 | transcript=PVP01_0726200.1 | gene=PVP01_0726200 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=PvP01_07_v2:1125205-1126128(-) | protein_length=307 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0825700.1-p1   -            308 9003at5820           -            272  3.7e-112  372.7   0.7   1   1  7.6e-115  4.9e-112  372.3   0.7     6   254    19   282    15   297 0.92 | transcript=PVP01_0825700.1 | gene=PVP01_0825700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=PvP01_08_v2:1152073-1152999(+) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0723900.1-p1   -            516 9003at5820           -            272     7e-97  322.6   1.0   1   1   1.5e-99   9.9e-97  322.1   1.0     2   257   218   494   217   503 0.90 | transcript=PVP01_0723900.1 | gene=PVP01_0723900 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=PvP01_07_v2:1022564-1024282(-) | protein_length=516 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1334500.1-p1   -            304 9003at5820           -            272   8.8e-81  269.8   0.5   1   1   1.7e-83   1.1e-80  269.5   0.5     8   265    28   300    23   303 0.91 | transcript=PVP01_1334500.1 | gene=PVP01_1334500 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=PvP01_13_v2:1491222-1493377(-) | protein_length=304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0117400.1-p1   -            564 9003at5820           -            272   3.5e-56  189.1   0.4   1   1   8.5e-59   5.6e-56  188.5   0.4    26   262    72   336    47   345 0.82 | transcript=PVP01_0117400.1 | gene=PVP01_0117400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=PvP01_01_v2:781960-784201(-) | protein_length=564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116400.1-p1   -            682 9003at5820           -            272   5.4e-48  162.3   0.1   1   1   1.3e-50   8.5e-48  161.6   0.1    11   268   399   668   389   671 0.84 | transcript=PVP01_1116400.1 | gene=PVP01_1116400 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=PvP01_11_v2:707209-709257(-) | protein_length=682 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1240700.1-p1   -            878 9003at5820           -            272   5.7e-48  162.2   0.6   1   1   1.4e-49   9.2e-47  158.2   0.6    13   249   542   827   535   837 0.77 | transcript=PVP01_1240700.1 | gene=PVP01_1240700 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=PvP01_12_v2:1642983-1645747(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325700.1-p1   -            969 9003at5820           -            272   1.8e-36  124.5   1.3   1   2   2.7e-39   1.8e-36  124.5   1.3    33   259   255   504   229   514 0.78 | transcript=PVP01_1325700.1 | gene=PVP01_1325700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=PvP01_13_v2:1115890-1121168(-) | protein_length=969 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325700.1-p1   -            969 9003at5820           -            272   1.8e-36  124.5   1.3   2   2      0.78   5.1e+02   -1.6   0.5   109   141   857   887   842   913 0.78 | transcript=PVP01_1325700.1 | gene=PVP01_1325700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=PvP01_13_v2:1115890-1121168(-) | protein_length=969 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603400.1-p1   -           2056 9003at5820           -            272   8.6e-31  105.9   2.5   1   2   2.7e-05     0.018   13.0   0.0    11    54  1130  1175  1122  1186 0.86 | transcript=PVP01_0603400.1 | gene=PVP01_0603400 | organism=Plasmodium_vivax_P01 | gene_product=pseudophosphatase PPP8, putative | transcript_product=pseudophosphatase PPP8, putative | location=PvP01_06_v2:126689-133008(-) | protein_length=2056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603400.1-p1   -           2056 9003at5820           -            272   8.6e-31  105.9   2.5   2   2   2.9e-26   1.9e-23   81.8   0.9    58   246  1250  1497  1241  1516 0.71 | transcript=PVP01_0603400.1 | gene=PVP01_0603400 | organism=Plasmodium_vivax_P01 | gene_product=pseudophosphatase PPP8, putative | transcript_product=pseudophosphatase PPP8, putative | location=PvP01_06_v2:126689-133008(-) | protein_length=2056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1237600.1-p1   -            381 9003at5820           -            272   0.00025   19.1   0.6   1   1   6.6e-07   0.00043   18.3   0.6    26   113    65   164    48   204 0.76 | transcript=PVP01_1237600.1 | gene=PVP01_1237600 | organism=Plasmodium_vivax_P01 | gene_product=shewanella-like protein phosphatase 1, putative | transcript_product=shewanella-like protein phosphatase 1, putative | location=PvP01_12_v2:1488782-1489927(+) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9003at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9003at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9003at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:31 2026
# [ok]
