#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68452.1           -            224 11318at5820          -            201  6.8e-114  377.0  13.2   1   1  1.4e-116  1.1e-113  376.3  13.2     1   201     1   223     1   223 0.93 GTPase, putative [Plasmodium vivax]
SCO65132.1           -            194 11318at5820          -            201   1.1e-09   36.7   0.0   1   2         1   7.6e+02   -1.9   0.0    10    33    14    37    10    41 0.80 ras-related protein Rab-5C, putative [Plasmodium vivax]
SCO65132.1           -            194 11318at5820          -            201   1.1e-09   36.7   0.0   2   2   3.6e-12   2.7e-09   35.5   0.0   100   180    79   165    57   179 0.84 ras-related protein Rab-5C, putative [Plasmodium vivax]
SCO70067.1           -            213 11318at5820          -            201   3.7e-07   28.5   0.0   1   1     7e-10   5.3e-07   28.0   0.0   100   196    79   181    61   185 0.77 ras-related protein Rab-2, putative [Plasmodium vivax]
SCO67546.1           -            207 11318at5820          -            201   8.5e-06   24.1   0.7   1   2      0.17   1.3e+02    0.6   0.0     6    26    14    34    11    44 0.82 ras-related protein Rab-6, putative [Plasmodium vivax]
SCO67546.1           -            207 11318at5820          -            201   8.5e-06   24.1   0.7   2   2   6.3e-08   4.8e-05   21.6   0.1   102   182    85   171    72   194 0.75 ras-related protein Rab-6, putative [Plasmodium vivax]
SCO68523.1           -            229 11318at5820          -            201   0.00029   19.1   0.8   1   1   9.7e-07   0.00073   17.8   0.8    95   186    76   179    65   194 0.73 ras-related protein Rab-11B, putative [Plasmodium vivax]
SCO66988.1           -            752 11318at5820          -            201    0.0041   15.3   0.6   1   3      0.03        23    3.1   0.0     4    40    12    48     9   118 0.71 GTP-binding protein EngA, putative [Plasmodium vivax]
SCO66988.1           -            752 11318at5820          -            201    0.0041   15.3   0.6   2   3   0.00036      0.28    9.3   0.0     4    58   463   516   462   533 0.80 GTP-binding protein EngA, putative [Plasmodium vivax]
SCO66988.1           -            752 11318at5820          -            201    0.0041   15.3   0.6   3   3      0.95   7.2e+02   -1.8   0.1    29    56   566   593   537   615 0.71 GTP-binding protein EngA, putative [Plasmodium vivax]
SCO66352.1           -            206 11318at5820          -            201    0.0068   14.6   1.1   1   2    0.0038       2.9    6.0   0.2     3    28     8    33     6    65 0.87 ras-related protein RAB7, putative [Plasmodium vivax]
SCO66352.1           -            206 11318at5820          -            201    0.0068   14.6   1.1   2   2    0.0014         1    7.5   0.0   102   149    82   132    66   175 0.65 ras-related protein RAB7, putative [Plasmodium vivax]
SCO69248.1           -            499 11318at5820          -            201    0.0082   14.3   5.2   1   3   0.00036      0.28    9.3   0.0     3    29   104   130   103   175 0.92 GTPase Era, putative [Plasmodium vivax]
SCO69248.1           -            499 11318at5820          -            201    0.0082   14.3   5.2   2   3    0.0042       3.2    5.9   0.5   135   197   331   401   323   405 0.75 GTPase Era, putative [Plasmodium vivax]
SCO69248.1           -            499 11318at5820          -            201    0.0082   14.3   5.2   3   3      0.49   3.8e+02   -0.9   0.2    16    78   405   466   400   478 0.68 GTPase Era, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11318at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11318at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11318at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:32:44 2026
# [ok]
