#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAG9484280.1         -            913 6996at5820           -            561  9.9e-278  920.9  49.4   1   6   3.5e-29   1.1e-25   88.8   0.2     1    66    36   105    36   108 0.90 | transcript=PVW1_020023400_t1 | gene=PVW1_020023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:820365-823106(+) | protein_length=913 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484280.1         -            913 6996at5820           -            561  9.9e-278  920.9  49.4   2   6  4.4e-131  1.3e-127  425.2  14.6    65   307   162   425   158   430 0.91 | transcript=PVW1_020023400_t1 | gene=PVW1_020023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:820365-823106(+) | protein_length=913 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484280.1         -            913 6996at5820           -            561  9.9e-278  920.9  49.4   3   6   4.9e-41   1.5e-37  128.0   0.6   303   381   486   566   483   569 0.93 | transcript=PVW1_020023400_t1 | gene=PVW1_020023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:820365-823106(+) | protein_length=913 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484280.1         -            913 6996at5820           -            561  9.9e-278  920.9  49.4   4   6   5.5e-32   1.7e-28   98.1   1.1   382   446   596   659   593   673 0.90 | transcript=PVW1_020023400_t1 | gene=PVW1_020023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:820365-823106(+) | protein_length=913 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484280.1         -            913 6996at5820           -            561  9.9e-278  920.9  49.4   5   6   8.1e-41   2.5e-37  127.3   1.4   431   517   667   754   661   757 0.91 | transcript=PVW1_020023400_t1 | gene=PVW1_020023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:820365-823106(+) | protein_length=913 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9484280.1         -            913 6996at5820           -            561  9.9e-278  920.9  49.4   6   6   1.8e-25   5.6e-22   76.6   0.5   511   561   850   900   834   900 0.90 | transcript=PVW1_020023400_t1 | gene=PVW1_020023400 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000015:820365-823106(+) | protein_length=913 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481801.1         -           1142 6996at5820           -            561   1.4e-15   55.5  19.9   1   4   2.5e-05     0.076   10.1   2.1    16    90    37   117    29   137 0.64 | transcript=PVW1_060026600_t1 | gene=PVW1_060026600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:879244-882672(-) | protein_length=1142 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481801.1         -           1142 6996at5820           -            561   1.4e-15   55.5  19.9   2   4     8e-08   0.00024   18.3   0.6    61   115   483   537   466   553 0.84 | transcript=PVW1_060026600_t1 | gene=PVW1_060026600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:879244-882672(-) | protein_length=1142 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481801.1         -           1142 6996at5820           -            561   1.4e-15   55.5  19.9   3   4   9.3e-13   2.8e-09   34.6   0.9   140   225   589   677   583   686 0.83 | transcript=PVW1_060026600_t1 | gene=PVW1_060026600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:879244-882672(-) | protein_length=1142 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAG9481801.1         -           1142 6996at5820           -            561   1.4e-15   55.5  19.9   4   4    0.0056        17    2.3   0.1   329   361   885   918   866   936 0.78 | transcript=PVW1_060026600_t1 | gene=PVW1_060026600 | organism=Plasmodium_vivax_PvW1 | gene_product=unspecified product | transcript_product=unspecified product | location=CAJZCX010000012:879244-882672(-) | protein_length=1142 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6996at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvW1_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6996at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6996at5820.hmm /v3/inputs/annotations/plasmodb-68/PvW1.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:30 2026
# [ok]
