#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722087.1         -           4158 132at5820            -           2134         0 2477.9 156.1   1  25   1.1e-59     7e-56  188.0   0.2     8   166    83   288    79   297 0.78 | transcript=PVPAM_120032500_t1 | gene=PVPAM_120032500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1083071-1095934(-) | protein_length=4158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722087.1         -           4158 132at5820            -           2134         0 2477.9 156.1   2  25   3.8e-26   2.4e-22   76.8   1.7   167   216   320   369   314   372 0.94 | transcript=PVPAM_120032500_t1 | gene=PVPAM_120032500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1083071-1095934(-) | protein_length=4158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722087.1         -           4158 132at5820            -           2134         0 2477.9 156.1   3  25   7.1e-48   4.6e-44  148.8   7.6   215   324   404   533   401   535 0.81 | transcript=PVPAM_120032500_t1 | gene=PVPAM_120032500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1083071-1095934(-) | protein_length=4158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722087.1         -           4158 132at5820            -           2134         0 2477.9 156.1   4  25   0.00092         6    2.5   0.0   322   346   572   596   567   600 0.89 | transcript=PVPAM_120032500_t1 | gene=PVPAM_120032500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1083071-1095934(-) | protein_length=4158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722087.1         -           4158 132at5820            -           2134         0 2477.9 156.1   5  25     2e-28   1.3e-24   84.3   1.4   346   436   624   725   622   743 0.86 | transcript=PVPAM_120032500_t1 | gene=PVPAM_120032500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1083071-1095934(-) | protein_length=4158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722087.1         -           4158 132at5820            -           2134         0 2477.9 156.1   6  25   0.00013      0.86    5.3   0.2   439   470   807   841   800   844 0.84 | transcript=PVPAM_120032500_t1 | gene=PVPAM_120032500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1083071-1095934(-) | protein_length=4158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722087.1         -           4158 132at5820            -           2134         0 2477.9 156.1   7  25   3.4e-46   2.2e-42  143.2   0.5   466   589   905  1033   892  1036 0.92 | transcript=PVPAM_120032500_t1 | gene=PVPAM_120032500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1083071-1095934(-) | protein_length=4158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722087.1         -           4158 132at5820            -           2134         0 2477.9 156.1   8  25   5.2e-35   3.4e-31  106.1   4.8   570   661  1140  1231  1131  1235 0.93 | transcript=PVPAM_120032500_t1 | gene=PVPAM_120032500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1083071-1095934(-) | protein_length=4158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722087.1         -           4158 132at5820            -           2134         0 2477.9 156.1   9  25   6.6e-05      0.43    6.3   0.0   661   684  1265  1288  1262  1293 0.90 | transcript=PVPAM_120032500_t1 | gene=PVPAM_120032500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1083071-1095934(-) | protein_length=4158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722087.1         -           4158 132at5820            -           2134         0 2477.9 156.1  10  25   7.5e-40   4.8e-36  122.2   0.1   682   801  1332  1474  1327  1477 0.88 | transcript=PVPAM_120032500_t1 | gene=PVPAM_120032500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1083071-1095934(-) | protein_length=4158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722087.1         -           4158 132at5820            -           2134         0 2477.9 156.1  11  25   4.6e-49     3e-45  152.7   6.4   802   939  1513  1698  1511  1707 0.77 | transcript=PVPAM_120032500_t1 | gene=PVPAM_120032500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1083071-1095934(-) | protein_length=4158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
