#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1223500.1-p1   -           1198 1687at5820           -            883         0 1503.9  92.7   1   4   1.7e-44   3.7e-41  139.7   5.6     2   121    10   148     6   151 0.83 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 1687at5820           -            883         0 1503.9  92.7   2   4  4.2e-217  9.1e-214  710.8  19.3   125   499   259   643   245   655 0.95 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 1687at5820           -            883         0 1503.9  92.7   3   4   8.3e-32   1.8e-28   97.7   5.5   483   556   687   767   681   772 0.91 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223500.1-p1   -           1198 1687at5820           -            883         0 1503.9  92.7   4   4    8e-176  1.7e-172  574.2  38.3   554   883   837  1192   829  1192 0.94 | transcript=PVP01_1223500.1 | gene=PVP01_1223500 | organism=Plasmodium_vivax_P01 | gene_product=DNA polymerase theta, putative | transcript_product=DNA polymerase theta, putative | location=PvP01_12_v2:909867-915452(+) | protein_length=1198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1323900.1-p1   -           1083 1687at5820           -            883   1.1e-41  141.5  13.7   1   3   7.5e-09   1.6e-05   21.8   0.4    72   224   114   239   111   244 0.81 | transcript=PVP01_1323900.1 | gene=PVP01_1323900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_13_v2:1067548-1070799(-) | protein_length=1083 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1323900.1-p1   -           1083 1687at5820           -            883   1.1e-41  141.5  13.7   2   3   8.5e-18   1.8e-14   51.4   0.2   233   317   332   419   330   423 0.90 | transcript=PVP01_1323900.1 | gene=PVP01_1323900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_13_v2:1067548-1070799(-) | protein_length=1083 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1323900.1-p1   -           1083 1687at5820           -            883   1.1e-41  141.5  13.7   3   3   1.6e-24   3.6e-21   73.6   2.4   345   485   513   653   496   717 0.81 | transcript=PVP01_1323900.1 | gene=PVP01_1323900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_13_v2:1067548-1070799(-) | protein_length=1083 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1687at5820           -            883   1.1e-29  101.7  54.1   1   6    0.0083        18    1.8   0.8   121   155   367   403   265   414 0.77 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1687at5820           -            883   1.1e-29  101.7  54.1   2   6   4.8e-18     1e-14   52.2  18.0   232   482   604   856   522   952 0.82 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1687at5820           -            883   1.1e-29  101.7  54.1   3   6         3   6.5e+03   -7.2   3.9   576   639  1252  1317  1223  1330 0.58 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1687at5820           -            883   1.1e-29  101.7  54.1   4   6   6.9e-17   1.5e-13   48.4   7.5   124   362  1406  1646  1400  1680 0.71 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1687at5820           -            883   1.1e-29  101.7  54.1   5   6   1.6e-12   3.5e-09   33.9  12.6   388   593  1761  1969  1740  1992 0.75 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267900.1-p1   -           2439 1687at5820           -            883   1.1e-29  101.7  54.1   6   6      0.69   1.5e+03   -4.6   8.8    71   182  2220  2337  2165  2356 0.65 | transcript=PVP01_1267900.1 | gene=PVP01_1267900 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_12_v2:2835398-2843770(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1687at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1687at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1687at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:06 2026
# [ok]
