#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085755.1-p1      -            381 8409at5820           -            316    8e-184  608.7  15.5   1   1  4.2e-186  9.3e-184  608.5  15.5     1   316     8   349     8   349 0.96 | transcript=PVX_085755.1 | gene=PVX_085755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1497068-1498582(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099370.1-p1      -            378 8409at5820           -            316   1.1e-31  109.0   9.9   1   1   7.4e-34   1.6e-31  108.3   9.9     2   228     9   233     8   286 0.84 | transcript=PVX_099370.1 | gene=PVX_099370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ-like molecular chaperone protein, putative | transcript_product=DNAJ-like molecular chaperone protein, putative | location=Pv_Sal1_chr07:723075-725006(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114560.1-p1      -            380 8409at5820           -            316   3.1e-19   68.0   2.5   1   1   2.6e-21   5.8e-19   67.1   2.5    45   116    43   114    21   123 0.91 | transcript=PVX_114560.1 | gene=PVX_114560 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ domain protein, putative | transcript_product=DNAJ domain protein, putative | location=Pv_Sal1_chr11:840420-841562(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082455.1-p1      -            254 8409at5820           -            316   2.8e-15   55.0   0.4   1   1   1.9e-17   4.3e-15   54.4   0.4    46   110    41   107    33   120 0.88 | transcript=PVX_082455.1 | gene=PVX_082455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:901027-902604(+) | protein_length=254 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080080.1-p1      -            529 8409at5820           -            316   9.5e-14   50.0   2.0   1   2   4.3e-16   9.5e-14   50.0   2.0    42   115   185   258   180   276 0.88 | transcript=PVX_080080.1 | gene=PVX_080080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:348408-350329(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080080.1-p1      -            529 8409at5820           -            316   9.5e-14   50.0   2.0   2   2       1.3   2.9e+02   -0.9   1.8   207   271   446   516   431   528 0.63 | transcript=PVX_080080.1 | gene=PVX_080080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:348408-350329(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002875.1-p1      -            328 8409at5820           -            316   2.2e-13   48.8   0.2   1   1   1.4e-15   3.1e-13   48.3   0.2    47   113     3    73     1    85 0.89 | transcript=PVX_002875.1 | gene=PVX_002875 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=Pv_Sal1_chr04:340883-342215(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084650.1-p1      -            421 8409at5820           -            316   2.9e-13   48.4   0.9   1   1   2.3e-15   5.1e-13   47.6   0.9    45   113    24    89    16    98 0.91 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000775.1-p1      -            648 8409at5820           -            316   4.1e-13   47.9   0.1   1   1   2.8e-15   6.2e-13   47.3   0.1    45   114    81   150    74   156 0.93 | transcript=PVX_000775.1 | gene=PVX_000775 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone DNAJ protein, putative | transcript_product=chaperone DNAJ protein, putative | location=Pv_Sal1_chr03:316760-318706(+) | protein_length=648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084600.1-p1      -            245 8409at5820           -            316   4.7e-13   47.7   0.8   1   1     3e-15   6.7e-13   47.2   0.8    47   113     5    73     2    94 0.91 | transcript=PVX_084600.1 | gene=PVX_084600 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:466345-468037(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092455.1-p1      -            381 8409at5820           -            316   4.6e-11   41.2   2.2   1   2   2.1e-13   4.6e-11   41.2   2.2    46   117   110   181   103   209 0.91 | transcript=PVX_092455.1 | gene=PVX_092455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr09:1394400-1396156(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
