#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0606100.1-p1   -            181 12028at5820          -            181  5.1e-129  425.6   1.1   1   1  1.8e-131  5.7e-129  425.4   1.1     1   181     1   181     1   181 1.00 | transcript=PVP01_0606100.1 | gene=PVP01_0606100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=PvP01_06_v2:245359-246687(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619800.1-p1   -            178 12028at5820          -            181     1e-60  203.0   0.4   1   1   3.5e-63   1.1e-60  202.9   0.4     1   176     1   176     1   178 0.99 | transcript=PVP01_0619800.1 | gene=PVP01_0619800 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_06_v2:806517-807053(+) | protein_length=178 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1265000.1-p1   -            185 12028at5820          -            181     6e-39  132.1   0.6   1   1   2.2e-41     7e-39  131.9   0.6    14   175    13   175     1   180 0.92 | transcript=PVP01_1265000.1 | gene=PVP01_1265000 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_12_v2:2704793-2705612(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526200.1-p1   -            191 12028at5820          -            181   6.2e-30  102.7   0.0   1   1   2.4e-32   7.4e-30  102.4   0.0    14   145    17   148     6   189 0.94 | transcript=PVP01_0526200.1 | gene=PVP01_0526200 | organism=Plasmodium_vivax_P01 | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=PvP01_05_v2:1058972-1059963(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1417100.1-p1   -            207 12028at5820          -            181   3.2e-18   64.5   0.1   1   1   2.1e-20   6.5e-18   63.5   0.1    19   174    17   184    10   190 0.83 | transcript=PVP01_1417100.1 | gene=PVP01_1417100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_14_v2:749526-750672(+) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0718900.1-p1   -            191 12028at5820          -            181   6.4e-14   50.5   0.1   1   1   2.5e-16   7.8e-14   50.2   0.1     9   179    13   181     1   183 0.89 | transcript=PVP01_0718900.1 | gene=PVP01_0718900 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_07_v2:834565-835956(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113100.1-p1   -            201 12028at5820          -            181   9.9e-14   49.9   1.2   1   1   4.1e-16   1.3e-13   49.5   1.2    18   173    11   167     3   175 0.82 | transcript=PVP01_0113100.1 | gene=PVP01_0113100 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-18, putative | transcript_product=ras-related protein Rab-18, putative | location=PvP01_01_v2:591114-592334(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1463900.1-p1   -            261 12028at5820          -            181   1.8e-13   49.0   0.0   1   1   8.6e-16   2.7e-13   48.5   0.0    18   143    64   195    47   206 0.84 | transcript=PVP01_1463900.1 | gene=PVP01_1463900 | organism=Plasmodium_vivax_P01 | gene_product=signal recognition particle receptor subunit beta, putative | transcript_product=signal recognition particle receptor subunit beta, putative | location=PvP01_14_v2:2746065-2747351(+) | protein_length=261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411600.1-p1   -            205 12028at5820          -            181   5.3e-13   47.5   0.0   1   1   2.1e-15   6.5e-13   47.2   0.0    16   140    31   160    18   192 0.78 | transcript=PVP01_1411600.1 | gene=PVP01_1411600 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=PvP01_14_v2:524820-526310(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112100.1-p1   -            203 12028at5820          -            181   1.9e-11   42.5   0.4   1   1   8.1e-14   2.5e-11   42.1   0.4    16   134    25   152    16   185 0.81 | transcript=PVP01_1112100.1 | gene=PVP01_1112100 | organism=Plasmodium_vivax_P01 | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=PvP01_11_v2:501498-502541(-) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1021300.1-p1   -            200 12028at5820          -            181   8.1e-11   40.4   0.6   1   1   3.4e-13     1e-10   40.0   0.6    19   134    10   129     5   160 0.82 | transcript=PVP01_1021300.1 | gene=PVP01_1021300 | organism=Plasmodium_vivax_P01 | gene_product=ras-related protein Rab-1B, putative | transcript_product=ras-related protein Rab-1B, putative | location=PvP01_10_v2:912112-913699(-) | protein_length=200 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
